TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,19.52,30.5,2.84,2.0,76.5,0.29,10.6,January,Winter,Christmas & New Year,95.6025641025641,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 01:00:00,20.2,30.5,2.71,2.03,70.7,0.29,10.35,January,Winter,Christmas & New Year,88.31538461538462,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 02:00:00,15.52,24.0,2.7,2.03,67.37,0.28,10.68,January,Winter,Christmas & New Year,84.13153846153847,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 03:00:00,15.28,24.5,2.88,1.99,68.35,0.26,11.44,January,Winter,Christmas & New Year,85.3628205128205,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 04:00:00,13.0,23.0,2.7,2.04,66.73,0.22,11.65,January,Winter,Christmas & New Year,83.3274358974359,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 05:00:00,11.62,18.0,2.61,2.06,66.38,0.18,11.28,January,Winter,Christmas & New Year,82.8876923076923,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 06:00:00,12.26,20.0,2.81,2.04,67.26,0.16,10.64,January,Winter,Christmas & New Year,83.99333333333334,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 07:00:00,21.48,36.5,2.59,2.01,67.72,0.21,11.32,January,Winter,Christmas & New Year,84.57128205128205,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 08:00:00,29.45,49.0,2.78,1.98,67.83,0.26,12.1,January,Winter,Christmas & New Year,84.70948717948718,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 09:00:00,24.24,39.59,2.88,2.0,69.98,0.27,11.93,January,Winter,Christmas & New Year,87.41076923076923,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 10:00:00,19.17,32.0,2.73,1.99,73.34,0.24,13.15,January,Winter,Christmas & New Year,91.6323076923077,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 11:00:00,15.23,24.5,2.7,2.02,69.28,0.2,13.44,January,Winter,Christmas & New Year,86.53128205128206,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 12:00:00,13.08,20.0,2.71,1.95,70.06,0.17,14.54,January,Winter,Christmas & New Year,87.51128205128205,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 13:00:00,18.25,29.5,2.81,2.08,70.84,0.16,14.01,January,Winter,Christmas & New Year,88.49128205128206,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 14:00:00,25.8,39.0,2.74,2.07,70.96,0.17,14.16,January,Winter,Christmas & New Year,88.64205128205128,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 15:00:00,33.45,50.5,2.81,1.93,70.41,0.22,12.66,January,Winter,Christmas & New Year,87.95102564102564,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 16:00:00,48.38,73.0,2.8,2.0,70.62,0.35,11.46,January,Winter,Christmas & New Year,88.2148717948718,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 17:00:00,62.21,102.5,2.6,2.03,70.6,0.52,11.38,January,Winter,Christmas & New Year,105.13068965517242,Moderate,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 18:00:00,69.76,114.0,2.68,1.99,69.41,0.7,10.39,January,Winter,Christmas & New Year,130.90482758620692,Moderate,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 19:00:00,53.61,90.5,2.76,1.99,69.26,0.73,11.29,January,Winter,Christmas & New Year,90.5,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 20:00:00,35.66,56.99,2.94,1.95,70.12,0.54,12.1,January,Winter,Christmas & New Year,87.58666666666667,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
2024-01-01 21:00:00,19.84,35.64,2.68,1.93,68.96,0.4,12.16,January,Winter,Christmas & New Year,86.12923076923076,Satisfactory,Kohima,Nagaland,25.6618755,94.1019156
