TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,189.0,277.25,11.28,16.18,53.98,2.4,31.1,January,Winter,Christmas & New Year,353.1860465116279,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 01:00:00,181.0,239.75,91.75,37.65,39.63,5.57,10.77,January,Winter,Christmas & New Year,347.04651162790697,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 02:00:00,185.0,262.0,9.72,14.73,30.73,0.02,14.68,January,Winter,Christmas & New Year,350.1162790697674,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 03:00:00,175.0,249.25,11.22,16.4,28.0,0.02,17.45,January,Winter,Christmas & New Year,342.4418604651163,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 04:00:00,163.5,239.75,10.82,15.62,21.48,0.95,10.2,January,Winter,Christmas & New Year,333.6162790697674,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 05:00:00,160.25,254.5,13.32,16.38,22.65,1.66,5.42,January,Winter,Christmas & New Year,331.12209302325584,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 06:00:00,172.75,290.75,16.32,18.15,38.42,3.97,5.68,January,Winter,Christmas & New Year,340.7151162790698,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 07:00:00,204.25,349.5,16.52,19.88,53.28,0.02,14.35,January,Winter,Christmas & New Year,364.88953488372096,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 08:00:00,227.75,359.0,15.55,21.1,99.45,0.02,41.32,January,Winter,Christmas & New Year,382.9244186046512,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 09:00:00,281.25,416.0,14.2,21.82,131.8,0.02,70.32,January,Winter,Christmas & New Year,406.625,Severe,Angul,Odisha,21.102538,84.9536825
2024-01-01 10:00:00,284.0,405.75,15.95,23.02,14.22,0.95,99.42,January,Winter,Christmas & New Year,407.12,Severe,Angul,Odisha,21.102538,84.9536825
2024-01-01 11:00:00,264.75,387.5,20.1,25.12,14.22,0.44,134.65,January,Winter,Christmas & New Year,403.655,Severe,Angul,Odisha,21.102538,84.9536825
2024-01-01 12:00:00,253.5,366.75,11.92,23.12,157.77,0.8,175.5,January,Winter,Christmas & New Year,401.63,Severe,Angul,Odisha,21.102538,84.9536825
2024-01-01 13:00:00,239.75,331.0,8.28,18.5,123.15,0.82,177.58,January,Winter,Christmas & New Year,392.1337209302326,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 14:00:00,194.5,272.0,7.65,17.55,115.45,0.01,181.18,January,Winter,Christmas & New Year,357.40697674418607,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 15:00:00,174.25,240.75,7.7,17.58,101.25,0.01,177.88,January,Winter,Christmas & New Year,341.8662790697674,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 16:00:00,171.25,245.0,10.82,17.52,96.8,0.02,156.4,January,Winter,Christmas & New Year,339.5639534883721,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 17:00:00,184.0,278.0,12.28,18.3,99.15,0.27,148.68,January,Winter,Christmas & New Year,349.3488372093023,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 18:00:00,207.5,305.25,17.82,18.98,92.3,1.59,104.35,January,Winter,Christmas & New Year,367.3837209302326,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 19:00:00,233.5,351.75,22.58,20.98,90.98,3.9,84.1,January,Winter,Christmas & New Year,387.3372093023256,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 20:00:00,231.75,350.5,20.4,21.35,58.8,5.11,64.95,January,Winter,Christmas & New Year,385.99418604651163,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-01 21:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-01 22:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-01 23:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 00:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 01:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 02:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 03:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 04:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 05:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 06:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 07:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 08:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 09:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 10:00:00,55.0,115.25,11.0,5.8,14.22,0.95,35.9,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 11:00:00,55.0,115.25,11.0,5.8,160.4,0.01,30.77,January,Winter,Christmas & New Year,127.28963210702341,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 12:00:00,55.0,115.25,26.55,34.28,14.22,0.34,81.5,January,Winter,Christmas & New Year,110.46812080536913,Moderate,Angul,Odisha,21.102538,84.9536825
2024-01-02 13:00:00,221.75,331.25,24.1,22.38,129.3,0.52,114.75,January,Winter,Christmas & New Year,378.31976744186045,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 14:00:00,179.5,266.5,14.32,20.23,116.1,0.17,142.18,January,Winter,Christmas & New Year,345.8953488372093,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 15:00:00,156.75,215.75,35.4,23.48,183.45,0.42,135.35,January,Winter,Christmas & New Year,328.4360465116279,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 16:00:00,199.5,287.25,22.28,24.75,176.28,0.35,111.12,January,Winter,Christmas & New Year,361.24418604651163,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 17:00:00,189.0,296.25,25.15,24.0,116.72,0.48,110.55,January,Winter,Christmas & New Year,353.1860465116279,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 18:00:00,219.0,352.0,121.32,42.35,83.02,0.64,75.08,January,Winter,Christmas & New Year,376.2093023255814,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 19:00:00,239.0,337.5,32.98,25.08,104.6,0.72,64.03,January,Winter,Christmas & New Year,391.5581395348837,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 20:00:00,232.75,341.75,27.0,21.15,66.6,0.81,28.95,January,Winter,Christmas & New Year,386.76162790697674,Very Poor,Angul,Odisha,21.102538,84.9536825
2024-01-02 21:00:00,246.0,383.75,31.52,22.25,49.52,1.15,18.27,January,Winter,Christmas & New Year,396.93023255813955,Very Poor,Angul,Odisha,21.102538,84.9536825
