TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,135.75,227.0,0.27,2.5,2.92,1.51,9.1,January,Winter,Christmas & New Year,312.31976744186045,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 01:00:00,132.5,263.25,0.4,2.52,3.3,1.37,6.73,January,Winter,Christmas & New Year,309.8255813953488,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 02:00:00,138.0,287.0,0.63,2.5,3.2,1.33,5.42,January,Winter,Christmas & New Year,314.04651162790697,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 03:00:00,134.5,301.75,0.4,2.62,3.4,1.24,3.85,January,Winter,Christmas & New Year,311.36046511627904,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 04:00:00,124.75,317.0,0.52,2.48,3.88,1.18,3.1,January,Winter,Christmas & New Year,303.8779069767442,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 05:00:00,118.0,297.0,0.17,2.65,3.48,1.2,3.05,January,Winter,Christmas & New Year,293.17241379310343,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 06:00:00,115.25,245.5,0.35,2.6,2.75,1.66,3.62,January,Winter,Christmas & New Year,283.7844827586207,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 07:00:00,137.5,283.25,0.43,2.58,3.58,2.02,5.4,January,Winter,Christmas & New Year,313.66279069767444,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 08:00:00,162.75,372.25,0.42,2.52,37.15,2.29,19.5,January,Winter,Christmas & New Year,333.0406976744186,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 09:00:00,154.0,383.0,0.75,2.55,59.75,1.96,46.35,January,Winter,Christmas & New Year,341.1012658227848,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 10:00:00,185.0,340.0,0.25,2.45,44.6,1.6,100.7,January,Winter,Christmas & New Year,350.1162790697674,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 11:00:00,172.5,263.0,0.28,2.52,26.35,1.21,113.32,January,Winter,Christmas & New Year,340.5232558139535,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 12:00:00,130.25,180.25,0.48,2.58,15.52,1.04,117.18,January,Winter,Christmas & New Year,308.0988372093023,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 13:00:00,95.5,140.75,0.23,2.68,10.85,0.97,114.55,January,Winter,Christmas & New Year,216.36206896551724,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 14:00:00,80.75,123.25,0.28,2.65,7.82,0.98,111.48,January,Winter,Christmas & New Year,168.42241379310343,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 15:00:00,73.5,113.25,0.38,2.65,8.48,1.17,111.8,January,Winter,Christmas & New Year,143.67241379310343,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 16:00:00,82.25,135.5,0.52,2.5,14.9,1.25,82.68,January,Winter,Christmas & New Year,173.54310344827587,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 17:00:00,96.75,184.25,0.42,2.5,5.7,1.26,41.08,January,Winter,Christmas & New Year,220.6293103448276,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 18:00:00,112.75,179.75,0.3,2.6,5.12,1.18,30.8,January,Winter,Christmas & New Year,275.25,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 19:00:00,134.0,184.5,0.37,2.62,4.28,1.06,26.95,January,Winter,Christmas & New Year,310.9767441860465,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 20:00:00,131.5,187.75,0.35,2.6,3.62,1.12,17.62,January,Winter,Christmas & New Year,309.0581395348837,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 21:00:00,118.75,196.0,0.45,2.52,3.22,0.92,23.08,January,Winter,Christmas & New Year,295.73275862068965,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 22:00:00,102.25,167.75,0.17,2.68,3.22,0.84,21.35,January,Winter,Christmas & New Year,239.4051724137931,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-01 23:00:00,92.0,150.0,0.32,2.52,2.95,1.08,15.25,January,Winter,Christmas & New Year,204.41379310344828,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 00:00:00,82.5,159.0,0.45,2.62,2.38,1.55,10.47,January,Winter,Christmas & New Year,174.39655172413794,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 01:00:00,81.25,173.0,0.38,2.55,3.17,1.31,14.17,January,Winter,Christmas & New Year,170.1293103448276,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 02:00:00,65.75,129.0,0.5,2.42,2.7,1.31,7.4,January,Winter,Christmas & New Year,119.60402684563758,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 03:00:00,60.0,145.75,0.5,2.52,2.5,1.14,7.18,January,Winter,Christmas & New Year,130.73322147651007,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 04:00:00,56.0,133.0,0.4,2.6,2.37,0.93,6.4,January,Winter,Christmas & New Year,122.26174496644296,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 05:00:00,51.0,120.75,0.35,2.55,2.17,0.85,8.02,January,Winter,Christmas & New Year,114.12248322147651,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 06:00:00,44.5,97.75,0.2,2.6,1.65,1.11,8.0,January,Winter,Christmas & New Year,97.75,Satisfactory,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 07:00:00,57.25,116.5,0.28,2.58,2.0,1.58,10.3,January,Winter,Christmas & New Year,111.29865771812081,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 08:00:00,107.0,224.25,0.52,2.7,7.52,2.39,21.9,January,Winter,Christmas & New Year,255.6206896551724,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 09:00:00,184.0,381.25,0.52,2.58,32.8,1.86,59.02,January,Winter,Christmas & New Year,349.3488372093023,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 10:00:00,143.25,303.0,0.47,2.6,18.23,1.41,87.72,January,Winter,Christmas & New Year,318.0755813953488,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 11:00:00,105.0,210.0,0.38,2.6,5.42,1.0,110.52,January,Winter,Christmas & New Year,248.79310344827587,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 12:00:00,82.75,121.5,0.35,2.62,5.65,0.94,116.42,January,Winter,Christmas & New Year,175.25,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 13:00:00,84.75,124.75,0.37,2.62,8.1,1.0,115.75,January,Winter,Christmas & New Year,182.07758620689657,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 14:00:00,91.25,139.25,0.37,2.68,14.25,0.86,109.02,January,Winter,Christmas & New Year,201.85344827586206,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 15:00:00,77.0,134.0,0.33,2.55,4.3,0.98,107.4,January,Winter,Christmas & New Year,155.6206896551724,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 16:00:00,77.5,132.25,0.23,2.6,3.5,1.25,69.65,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 17:00:00,84.25,153.0,0.38,2.62,3.42,1.09,42.5,January,Winter,Christmas & New Year,180.3706896551724,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 18:00:00,98.75,172.5,0.17,2.7,3.92,1.21,21.25,January,Winter,Christmas & New Year,227.45689655172413,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 19:00:00,130.25,201.5,0.2,2.78,3.55,1.41,13.4,January,Winter,Christmas & New Year,308.0988372093023,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 20:00:00,148.75,215.0,0.2,2.7,3.15,1.22,19.77,January,Winter,Christmas & New Year,322.29651162790697,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 21:00:00,118.5,173.0,0.1,2.78,2.82,0.94,21.85,January,Winter,Christmas & New Year,294.87931034482756,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 22:00:00,98.0,147.25,0.38,2.6,2.78,0.72,23.68,January,Winter,Christmas & New Year,224.89655172413794,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-02 23:00:00,78.75,124.5,0.45,2.45,2.52,0.88,19.4,January,Winter,Christmas & New Year,161.5948275862069,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 00:00:00,62.0,117.0,0.5,2.48,2.17,1.3,16.27,January,Winter,Christmas & New Year,111.63087248322148,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 01:00:00,58.75,123.25,0.28,2.6,2.03,1.13,19.07,January,Winter,Christmas & New Year,115.78355704697987,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 02:00:00,58.5,98.75,0.43,2.68,1.97,1.04,16.52,January,Winter,Christmas & New Year,98.75,Satisfactory,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 03:00:00,47.0,94.25,0.35,2.65,2.25,0.87,13.38,January,Winter,Christmas & New Year,94.25,Satisfactory,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 04:00:00,49.75,105.5,0.23,2.55,1.85,0.87,13.92,January,Winter,Christmas & New Year,103.98993288590604,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 05:00:00,49.75,117.25,0.42,2.62,1.98,0.9,10.28,January,Winter,Christmas & New Year,111.79697986577182,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 06:00:00,52.5,149.25,0.5,2.55,0.78,1.2,5.75,January,Winter,Christmas & New Year,133.05872483221475,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 07:00:00,66.25,170.25,7.25,21.32,0.68,1.74,8.7,January,Winter,Christmas & New Year,147.01174496644296,Moderate,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 08:00:00,127.25,312.25,20.45,14.55,14.8,2.11,25.55,January,Winter,Christmas & New Year,305.79651162790697,Very Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 09:00:00,140.5,448.5,24.35,15.22,48.22,1.76,48.65,January,Winter,Christmas & New Year,411.7735294117647,Severe,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 10:00:00,116.0,315.0,19.27,14.58,37.48,1.52,63.3,January,Winter,Christmas & New Year,286.34482758620686,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 11:00:00,97.5,244.75,14.28,13.32,22.7,1.21,90.75,January,Winter,Christmas & New Year,223.18965517241378,Poor,Barbil,Odisha,22.1048613,85.3690447
2024-01-03 12:00:00,78.75,165.5,11.25,12.35,13.6,1.07,111.18,January,Winter,Christmas & New Year,161.5948275862069,Moderate,Barbil,Odisha,22.1048613,85.3690447
