TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,193.75,324.75,51.72,19.85,4.46,0.88,12.6,January,Winter,Christmas & New Year,356.8313953488372,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 01:00:00,222.25,335.5,50.77,20.08,4.72,0.87,8.02,January,Winter,Christmas & New Year,378.70348837209303,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 02:00:00,217.25,330.25,44.08,20.96,3.66,1.34,17.5,January,Winter,Christmas & New Year,374.8662790697674,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 03:00:00,175.0,255.0,32.87,20.85,3.49,0.81,24.34,January,Winter,Christmas & New Year,342.4418604651163,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 04:00:00,155.0,226.25,24.71,20.21,3.34,0.8,35.78,January,Winter,Christmas & New Year,327.09302325581393,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 05:00:00,143.0,212.12,27.16,19.09,3.19,0.94,25.14,January,Winter,Christmas & New Year,317.8837209302326,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 06:00:00,144.5,237.25,35.62,19.14,3.35,0.98,27.38,January,Winter,Christmas & New Year,319.0348837209302,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 07:00:00,150.62,282.38,32.18,19.24,5.76,0.86,40.09,January,Winter,Christmas & New Year,323.73162790697677,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 08:00:00,155.5,274.0,29.08,19.46,18.84,0.84,63.42,January,Winter,Christmas & New Year,327.4767441860465,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 09:00:00,165.25,283.25,26.65,19.98,25.28,0.86,95.78,January,Winter,Christmas & New Year,334.9593023255814,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 10:00:00,155.75,244.38,18.96,20.11,22.42,0.84,119.85,January,Winter,Christmas & New Year,327.6686046511628,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 11:00:00,139.88,223.88,16.55,19.68,36.34,0.81,131.66,January,Winter,Christmas & New Year,315.4893023255814,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 12:00:00,139.75,219.38,19.42,19.74,44.76,0.82,150.78,January,Winter,Christmas & New Year,315.38953488372096,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 13:00:00,143.25,227.88,21.72,19.41,45.92,0.72,164.74,January,Winter,Christmas & New Year,318.0755813953488,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 14:00:00,143.25,228.0,21.62,19.39,49.42,0.66,174.92,January,Winter,Christmas & New Year,318.0755813953488,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 15:00:00,145.38,220.38,23.49,20.9,48.47,0.73,165.18,January,Winter,Christmas & New Year,319.7102325581395,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 16:00:00,147.25,221.75,24.25,21.92,39.39,0.82,136.98,January,Winter,Christmas & New Year,321.1453488372093,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 17:00:00,160.5,249.12,48.14,21.52,24.64,1.21,74.05,January,Winter,Christmas & New Year,331.3139534883721,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 18:00:00,177.62,289.0,54.76,20.93,18.84,1.66,70.12,January,Winter,Christmas & New Year,344.45255813953486,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 19:00:00,167.5,274.62,34.19,21.32,18.55,1.48,87.42,January,Winter,Christmas & New Year,336.6860465116279,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 20:00:00,157.62,245.5,52.11,21.04,14.35,2.62,56.3,January,Winter,Christmas & New Year,329.10372093023256,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 21:00:00,160.62,286.75,66.5,21.0,9.98,2.84,26.3,January,Winter,Christmas & New Year,331.4060465116279,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 22:00:00,176.88,313.25,59.81,18.58,7.96,2.56,34.24,January,Winter,Christmas & New Year,343.8846511627907,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-01 23:00:00,166.5,273.12,47.9,17.74,6.35,1.74,32.24,January,Winter,Christmas & New Year,335.9186046511628,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 00:00:00,159.12,241.38,49.65,17.62,4.9,1.42,16.55,January,Winter,Christmas & New Year,330.25488372093025,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 01:00:00,151.12,216.88,39.66,18.14,4.54,1.01,39.53,January,Winter,Christmas & New Year,324.1153488372093,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 02:00:00,142.5,204.0,34.36,18.37,4.22,1.06,32.5,January,Winter,Christmas & New Year,317.5,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 03:00:00,136.62,191.88,29.22,19.8,3.72,0.89,28.05,January,Winter,Christmas & New Year,312.98744186046514,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 04:00:00,134.38,199.12,23.98,19.69,3.56,1.02,24.99,January,Winter,Christmas & New Year,311.26837209302323,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 05:00:00,134.54,214.5,28.76,18.4,3.32,1.06,14.59,January,Winter,Christmas & New Year,311.39116279069765,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 06:00:00,131.25,224.5,31.72,17.0,3.75,0.86,26.84,January,Winter,Christmas & New Year,308.8662790697674,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 07:00:00,130.38,244.12,27.75,16.69,5.35,0.74,52.66,January,Winter,Christmas & New Year,308.1986046511628,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 08:00:00,137.25,245.25,22.45,16.65,14.5,0.94,69.97,January,Winter,Christmas & New Year,313.47093023255815,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 09:00:00,151.0,249.25,25.52,17.98,31.02,1.36,86.04,January,Winter,Christmas & New Year,324.0232558139535,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 10:00:00,165.75,269.75,24.3,18.09,27.09,0.86,110.6,January,Winter,Christmas & New Year,335.34302325581393,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 11:00:00,160.75,248.75,17.16,19.24,30.98,0.86,132.91,January,Winter,Christmas & New Year,331.50581395348837,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 12:00:00,150.88,222.88,14.95,17.62,27.66,0.88,138.36,January,Winter,Christmas & New Year,323.93116279069767,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 13:00:00,133.25,194.88,17.1,15.82,19.13,0.65,139.28,January,Winter,Christmas & New Year,310.4011627906977,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 14:00:00,114.0,168.75,22.55,13.69,14.82,1.12,134.73,January,Winter,Christmas & New Year,279.51724137931035,Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 15:00:00,106.12,162.62,21.54,14.25,13.35,1.82,136.24,January,Winter,Christmas & New Year,252.61655172413793,Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 16:00:00,109.38,172.62,27.39,16.04,10.86,2.64,111.93,January,Winter,Christmas & New Year,263.7455172413793,Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 17:00:00,123.5,222.75,53.55,16.83,8.3,1.28,49.49,January,Winter,Christmas & New Year,302.9186046511628,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 18:00:00,144.38,291.62,49.42,19.38,9.04,1.1,65.62,January,Winter,Christmas & New Year,318.9427906976744,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 19:00:00,166.12,285.75,34.83,21.91,12.31,0.96,85.76,January,Winter,Christmas & New Year,335.62697674418604,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 20:00:00,171.5,254.12,33.22,23.22,9.4,0.99,81.68,January,Winter,Christmas & New Year,339.75581395348837,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 21:00:00,168.62,244.38,32.28,22.12,6.48,0.85,83.81,January,Winter,Christmas & New Year,337.54558139534885,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 22:00:00,152.75,228.38,30.7,20.12,5.58,0.79,77.87,January,Winter,Christmas & New Year,325.3662790697674,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-02 23:00:00,147.38,222.5,40.77,18.58,4.76,0.96,44.84,January,Winter,Christmas & New Year,321.24511627906975,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 00:00:00,145.75,234.5,42.68,17.87,3.88,1.03,29.53,January,Winter,Christmas & New Year,319.99418604651163,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 01:00:00,141.62,231.88,45.72,18.23,3.54,1.1,26.03,January,Winter,Christmas & New Year,316.8246511627907,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 02:00:00,139.88,240.0,36.72,19.52,3.55,1.3,34.77,January,Winter,Christmas & New Year,315.4893023255814,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 03:00:00,136.5,232.5,24.94,21.03,4.09,0.83,45.46,January,Winter,Christmas & New Year,312.8953488372093,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 04:00:00,134.75,225.12,22.22,20.36,4.38,0.8,47.59,January,Winter,Christmas & New Year,311.55232558139534,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 05:00:00,133.12,226.25,23.72,18.46,4.5,0.82,51.3,January,Winter,Christmas & New Year,310.3013953488372,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 06:00:00,132.5,228.88,32.29,17.04,4.49,1.02,44.74,January,Winter,Christmas & New Year,309.8255813953488,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 07:00:00,138.58,249.0,33.95,16.51,5.44,1.06,50.11,January,Winter,Christmas & New Year,314.49162790697676,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 08:00:00,140.75,250.62,32.84,15.86,9.6,0.92,65.39,January,Winter,Christmas & New Year,316.15697674418607,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 09:00:00,143.5,239.83,26.9,14.0,20.16,0.76,91.37,January,Winter,Christmas & New Year,318.2674418604651,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 10:00:00,130.25,203.5,23.24,13.54,24.4,0.72,111.56,January,Winter,Christmas & New Year,308.0988372093023,Very Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 11:00:00,106.12,173.75,18.23,14.5,22.21,0.7,125.52,January,Winter,Christmas & New Year,252.61655172413793,Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 12:00:00,92.12,157.25,16.48,13.78,20.6,0.75,133.89,January,Winter,Christmas & New Year,204.8234482758621,Poor,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 13:00:00,87.66,151.33,18.58,13.09,15.61,0.66,132.24,January,Winter,Christmas & New Year,192.01172413793103,Moderate,Bhubaneswar,Odisha,20.2602964,85.8394521
2024-01-03 14:00:00,79.88,149.0,20.7,12.75,13.3,0.62,135.65,January,Winter,Christmas & New Year,165.45241379310343,Moderate,Bhubaneswar,Odisha,20.2602964,85.8394521
