TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,213.75,341.75,48.38,16.42,6.95,1.46,13.47,January,Winter,Christmas & New Year,372.18023255813955,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 01:00:00,217.0,323.0,36.2,15.93,7.67,1.19,28.97,January,Winter,Christmas & New Year,374.6744186046512,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 02:00:00,173.75,280.75,19.5,15.23,7.1,0.96,36.28,January,Winter,Christmas & New Year,341.4825581395349,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 03:00:00,142.75,221.75,15.25,13.9,6.28,0.93,40.12,January,Winter,Christmas & New Year,317.6918604651163,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 04:00:00,141.75,193.75,27.18,13.0,5.18,1.05,18.9,January,Winter,Christmas & New Year,316.9244186046512,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 05:00:00,142.0,224.75,24.32,13.88,9.98,1.05,32.88,January,Winter,Christmas & New Year,317.1162790697674,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 06:00:00,156.33,224.67,30.97,13.7,13.13,1.28,27.43,January,Winter,Christmas & New Year,328.11372093023255,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 07:00:00,175.5,249.0,26.45,13.9,13.2,1.12,39.25,January,Winter,Christmas & New Year,342.8255813953488,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 08:00:00,169.75,254.75,24.78,14.05,15.92,1.14,46.25,January,Winter,Christmas & New Year,338.41279069767444,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 09:00:00,179.5,271.0,21.22,14.02,21.85,1.09,63.82,January,Winter,Christmas & New Year,345.8953488372093,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 10:00:00,163.25,238.75,19.18,13.9,25.7,1.07,81.3,January,Winter,Christmas & New Year,333.4244186046512,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 11:00:00,153.75,231.75,19.2,14.0,36.3,1.04,90.48,January,Winter,Christmas & New Year,326.1337209302326,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 12:00:00,147.25,222.0,15.78,13.6,25.0,0.95,99.7,January,Winter,Christmas & New Year,321.1453488372093,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 13:00:00,139.0,194.5,15.22,13.82,25.3,0.9,101.98,January,Winter,Christmas & New Year,314.8139534883721,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 14:00:00,139.75,194.0,15.92,14.42,31.62,0.85,106.95,January,Winter,Christmas & New Year,315.38953488372096,Very Poor,Cuttack,Odisha,20.4686,85.8792
2024-01-01 15:00:00,141.5,195.0,17.27,14.35,30.4,0.79,101.08,January,Winter,Christmas & New Year,316.7325581395349,Very Poor,Cuttack,Odisha,20.4686,85.8792
