TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,136.94,199.38,25.73,18.76,2.34,0.68,1.96,January,Winter,Christmas & New Year,313.233023255814,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 01:00:00,136.79,217.93,25.27,17.98,2.58,0.67,1.94,January,Winter,Christmas & New Year,313.11790697674417,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 02:00:00,135.71,220.28,25.72,18.78,2.43,0.67,2.15,January,Winter,Christmas & New Year,312.28906976744184,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 03:00:00,130.45,223.9,25.64,18.93,2.47,0.66,1.78,January,Winter,Christmas & New Year,308.2523255813953,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 04:00:00,128.97,223.14,25.66,18.97,2.5,0.65,1.52,January,Winter,Christmas & New Year,307.11651162790696,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 05:00:00,124.6,224.42,26.36,19.63,2.45,0.64,2.07,January,Winter,Christmas & New Year,303.7627906976744,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 06:00:00,112.9,202.06,26.02,19.35,2.58,0.64,2.1,January,Winter,Christmas & New Year,275.76206896551724,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 07:00:00,104.72,191.7,26.26,19.94,2.66,0.66,2.05,January,Winter,Christmas & New Year,247.83724137931034,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 08:00:00,99.99,186.42,25.33,18.27,2.57,0.68,2.45,January,Winter,Christmas & New Year,231.69,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 09:00:00,98.81,168.2,25.27,18.19,2.9,0.68,3.85,January,Winter,Christmas & New Year,227.66172413793103,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 10:00:00,102.57,145.76,25.25,18.07,10.48,0.68,11.52,January,Winter,Christmas & New Year,240.49758620689653,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 11:00:00,110.65,147.59,24.72,17.42,7.23,0.65,11.95,January,Winter,Christmas & New Year,268.08103448275864,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 12:00:00,109.76,157.96,24.74,17.25,7.6,0.61,18.36,January,Winter,Christmas & New Year,265.04275862068965,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 13:00:00,103.83,156.4,25.88,18.8,5.74,0.6,16.29,January,Winter,Christmas & New Year,244.79896551724136,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 14:00:00,103.78,148.84,25.05,17.72,4.81,0.58,15.54,January,Winter,Christmas & New Year,244.62827586206896,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 15:00:00,103.47,143.85,24.71,17.06,3.8,0.56,11.4,January,Winter,Christmas & New Year,243.57,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 16:00:00,100.55,136.94,25.14,17.56,2.98,0.56,5.49,January,Winter,Christmas & New Year,233.60172413793103,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 17:00:00,100.52,148.29,24.8,17.26,2.61,0.55,3.42,January,Winter,Christmas & New Year,233.49931034482756,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 18:00:00,105.32,167.51,25.45,18.28,2.46,0.57,3.44,January,Winter,Christmas & New Year,249.8855172413793,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 19:00:00,107.85,161.07,23.74,15.37,2.18,0.61,2.25,January,Winter,Christmas & New Year,258.5224137931034,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 20:00:00,116.91,164.12,24.32,16.48,2.21,0.65,2.11,January,Winter,Christmas & New Year,289.4513793103448,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 21:00:00,122.22,163.51,25.28,18.16,2.3,0.67,1.86,January,Winter,Christmas & New Year,301.93627906976747,Very Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 22:00:00,118.68,162.67,24.68,17.27,2.41,0.68,1.97,January,Winter,Christmas & New Year,295.4937931034483,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-01 23:00:00,112.4,161.72,24.95,17.78,2.38,0.68,2.1,January,Winter,Christmas & New Year,274.0551724137931,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 00:00:00,100.2,151.79,26.15,19.37,2.4,0.65,2.38,January,Winter,Christmas & New Year,232.40689655172415,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 01:00:00,88.24,131.16,24.76,17.14,2.28,0.62,1.59,January,Winter,Christmas & New Year,193.99172413793102,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 02:00:00,80.05,116.34,24.98,17.67,2.45,0.58,1.85,January,Winter,Christmas & New Year,166.03275862068966,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 03:00:00,71.04,121.4,25.42,18.5,2.32,0.57,1.86,January,Winter,Christmas & New Year,135.2744827586207,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 04:00:00,75.1,144.0,25.58,18.91,2.44,0.55,1.71,January,Winter,Christmas & New Year,149.13448275862066,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 05:00:00,73.9,157.29,25.72,18.58,2.35,0.53,1.85,January,Winter,Christmas & New Year,145.03793103448277,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 06:00:00,68.44,147.11,24.97,17.62,2.27,0.52,1.85,January,Winter,Christmas & New Year,131.63684563758392,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 07:00:00,58.85,127.69,25.55,18.2,2.3,0.53,1.86,January,Winter,Christmas & New Year,118.73362416107382,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 08:00:00,53.89,123.79,25.62,18.45,2.43,0.53,2.62,January,Winter,Christmas & New Year,116.14234899328859,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 09:00:00,60.77,132.36,25.27,17.94,2.94,0.55,5.25,January,Winter,Christmas & New Year,121.8365100671141,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 10:00:00,70.82,135.56,24.29,16.35,3.94,0.52,15.64,January,Winter,Christmas & New Year,134.52344827586205,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 11:00:00,74.3,130.42,23.87,15.92,4.06,0.5,23.2,January,Winter,Christmas & New Year,146.40344827586205,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 12:00:00,72.3,132.56,24.36,16.65,4.6,0.49,27.24,January,Winter,Christmas & New Year,139.5758620689655,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 13:00:00,73.41,131.87,25.27,18.08,3.32,0.46,26.19,January,Winter,Christmas & New Year,143.3651724137931,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 14:00:00,75.35,120.46,24.46,16.98,3.52,0.45,29.92,January,Winter,Christmas & New Year,149.98793103448276,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 15:00:00,77.18,121.3,24.02,15.98,2.78,0.44,13.78,January,Winter,Christmas & New Year,156.23517241379312,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 16:00:00,76.38,122.11,23.65,15.37,2.34,0.42,10.65,January,Winter,Christmas & New Year,153.50413793103445,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 17:00:00,76.61,133.6,24.72,17.45,2.22,0.45,2.17,January,Winter,Christmas & New Year,154.28931034482758,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 18:00:00,91.96,157.11,25.27,18.23,2.05,0.48,1.82,January,Winter,Christmas & New Year,204.2772413793103,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 19:00:00,104.4,162.52,25.19,17.89,2.31,0.51,2.22,January,Winter,Christmas & New Year,246.74482758620692,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 20:00:00,106.3,157.95,24.77,17.21,2.37,0.54,2.08,January,Winter,Christmas & New Year,253.23103448275862,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 21:00:00,104.96,158.22,24.68,16.96,2.31,0.56,1.9,January,Winter,Christmas & New Year,248.6565517241379,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 22:00:00,100.2,167.02,24.37,16.63,2.46,0.56,1.96,January,Winter,Christmas & New Year,232.40689655172415,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-02 23:00:00,97.7,169.35,24.81,17.33,2.49,0.56,1.94,January,Winter,Christmas & New Year,223.87241379310345,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 00:00:00,95.05,164.6,24.39,16.74,2.51,0.56,1.8,January,Winter,Christmas & New Year,214.8258620689655,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 01:00:00,91.9,156.68,25.23,18.28,2.55,0.55,1.78,January,Winter,Christmas & New Year,204.07241379310346,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 02:00:00,89.32,140.25,25.44,18.54,2.58,0.54,2.17,January,Winter,Christmas & New Year,197.67862068965513,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 03:00:00,83.66,124.29,26.36,19.8,2.55,0.53,1.99,January,Winter,Christmas & New Year,178.35655172413792,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 04:00:00,76.77,123.34,26.46,20.0,2.62,0.52,2.37,January,Winter,Christmas & New Year,154.8355172413793,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 05:00:00,70.51,121.17,25.28,18.11,2.6,0.5,1.72,January,Winter,Christmas & New Year,133.4651724137931,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 06:00:00,68.28,134.94,25.08,17.9,2.65,0.52,2.07,January,Winter,Christmas & New Year,125.85241379310345,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 07:00:00,74.41,155.02,23.48,14.48,2.62,0.51,1.84,January,Winter,Christmas & New Year,146.77896551724137,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 08:00:00,75.65,163.94,21.32,11.07,2.68,0.53,2.88,January,Winter,Christmas & New Year,151.01206896551724,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 09:00:00,79.02,154.82,25.02,17.78,3.72,0.52,6.2,January,Winter,Christmas & New Year,162.5165517241379,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 10:00:00,81.27,132.78,25.76,18.92,5.62,0.52,11.44,January,Winter,Christmas & New Year,170.19758620689652,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 11:00:00,78.86,134.07,24.38,16.59,4.08,0.51,15.46,January,Winter,Christmas & New Year,161.9703448275862,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 12:00:00,77.47,148.04,24.37,16.61,4.34,0.48,22.68,January,Winter,Christmas & New Year,157.2251724137931,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 13:00:00,74.03,137.23,25.4,18.37,5.48,0.47,24.92,January,Winter,Christmas & New Year,145.48172413793105,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 14:00:00,68.75,124.7,24.6,17.19,3.78,0.44,22.14,January,Winter,Christmas & New Year,127.45689655172414,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 15:00:00,68.77,118.99,24.82,17.39,3.98,0.44,21.48,January,Winter,Christmas & New Year,127.52517241379309,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 16:00:00,67.48,111.99,24.41,16.83,2.61,0.44,10.42,January,Winter,Christmas & New Year,123.12137931034485,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 17:00:00,67.78,113.86,24.1,16.27,2.2,0.45,2.68,January,Winter,Christmas & New Year,124.14551724137931,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 18:00:00,75.28,136.08,25.34,18.23,2.2,0.49,2.09,January,Winter,Christmas & New Year,149.74896551724137,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 19:00:00,85.85,133.38,24.91,17.5,2.18,0.53,2.51,January,Winter,Christmas & New Year,185.83275862068962,Moderate,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 20:00:00,99.85,134.6,24.71,17.33,2.26,0.56,1.82,January,Winter,Christmas & New Year,231.21206896551723,Poor,Nayagarh,Odisha,20.2393682,85.050728
2024-01-03 21:00:00,98.68,142.6,26.8,20.55,2.39,0.59,2.11,January,Winter,Christmas & New Year,227.21793103448277,Poor,Nayagarh,Odisha,20.2393682,85.050728
