TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,36.34,175.26,38.85,18.82,15.18,1.06,9.99,January,Winter,Christmas & New Year,150.34053691275167,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 01:00:00,36.34,171.5,38.85,18.82,16.62,1.08,19.32,January,Winter,Christmas & New Year,147.84228187919464,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 02:00:00,36.34,166.32,38.85,18.82,17.4,1.04,20.5,January,Winter,Christmas & New Year,144.40053691275168,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 03:00:00,36.34,167.84,38.85,18.82,12.02,1.0,28.64,January,Winter,Christmas & New Year,145.41046979865772,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 04:00:00,36.34,165.57,38.85,18.82,15.48,0.96,15.74,January,Winter,Christmas & New Year,143.90221476510067,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 05:00:00,36.34,163.59,38.85,18.82,14.95,0.96,9.97,January,Winter,Christmas & New Year,142.58664429530202,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 06:00:00,36.34,175.24,38.85,18.82,14.78,0.94,9.33,January,Winter,Christmas & New Year,150.32724832214765,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 07:00:00,36.34,166.67,38.85,18.82,16.81,1.04,13.19,January,Winter,Christmas & New Year,144.63308724832214,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 08:00:00,36.34,173.69,38.85,18.82,17.91,1.03,13.31,January,Winter,Christmas & New Year,149.29738255033556,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 09:00:00,36.34,179.9,38.85,18.82,12.02,1.04,23.0,January,Winter,Christmas & New Year,153.4234899328859,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 10:00:00,36.34,175.41,38.85,18.82,12.02,1.01,26.96,January,Winter,Christmas & New Year,150.44020134228188,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 11:00:00,36.34,172.04,38.85,18.82,12.02,1.01,30.34,January,Winter,Christmas & New Year,148.20107382550336,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 12:00:00,36.34,184.99,38.85,18.82,12.02,1.0,39.1,January,Winter,Christmas & New Year,156.80543624161075,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 13:00:00,36.34,182.89,38.85,18.82,12.02,0.81,41.74,January,Winter,Christmas & New Year,155.41013422818793,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 14:00:00,36.34,172.74,38.85,18.82,12.02,0.74,43.75,January,Winter,Christmas & New Year,148.66617449664432,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 15:00:00,36.34,155.02,38.85,18.82,19.03,0.71,36.93,January,Winter,Christmas & New Year,136.8924832214765,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 16:00:00,36.34,144.02,38.85,18.82,15.04,0.72,15.57,January,Winter,Christmas & New Year,129.58375838926176,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 17:00:00,36.34,139.7,38.85,18.82,13.74,0.82,8.2,January,Winter,Christmas & New Year,126.71342281879194,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 18:00:00,36.34,130.64,38.85,18.82,13.08,0.83,9.1,January,Winter,Christmas & New Year,120.69369127516778,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 19:00:00,36.34,138.58,38.85,18.82,13.56,0.82,9.15,January,Winter,Christmas & New Year,125.96926174496645,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 20:00:00,36.34,132.98,38.85,18.82,13.22,0.81,7.16,January,Winter,Christmas & New Year,122.24845637583891,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 21:00:00,36.34,127.63,38.85,18.82,12.09,0.75,6.37,January,Winter,Christmas & New Year,118.69375838926175,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 22:00:00,36.34,110.66,38.85,18.82,12.8,0.74,9.54,January,Winter,Christmas & New Year,107.41838926174496,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-01 23:00:00,36.34,107.6,38.85,18.82,13.99,0.7,13.1,January,Winter,Christmas & New Year,105.38523489932885,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 00:00:00,36.34,111.16,38.85,18.82,11.93,0.7,8.33,January,Winter,Christmas & New Year,107.75060402684564,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 01:00:00,36.34,113.01,38.85,18.82,12.73,0.74,10.59,January,Winter,Christmas & New Year,108.97979865771812,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 02:00:00,36.34,108.21,38.85,18.82,12.72,0.7,17.78,January,Winter,Christmas & New Year,105.79053691275168,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 03:00:00,36.34,100.15,38.85,18.82,13.26,0.69,19.6,January,Winter,Christmas & New Year,60.02275862068966,Satisfactory,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 04:00:00,54.39,103.74,35.62,34.91,12.5,0.64,20.76,January,Winter,Christmas & New Year,102.82053691275168,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 05:00:00,53.86,96.09,38.1,36.07,11.99,0.66,21.48,January,Winter,Christmas & New Year,96.09,Satisfactory,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 06:00:00,69.46,115.83,38.23,35.86,12.36,0.64,26.99,January,Winter,Christmas & New Year,129.8806896551724,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 07:00:00,69.09,115.07,38.72,34.72,13.18,0.65,25.84,January,Winter,Christmas & New Year,128.61758620689656,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 08:00:00,72.14,116.9,44.22,34.17,14.58,0.62,19.96,January,Winter,Christmas & New Year,139.0296551724138,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 09:00:00,70.73,115.27,57.08,34.66,19.67,0.65,12.29,January,Winter,Christmas & New Year,134.21620689655174,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 10:00:00,61.54,116.09,61.19,36.42,12.02,0.65,16.89,January,Winter,Christmas & New Year,111.02624161073825,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 11:00:00,62.21,119.39,55.31,38.87,15.67,0.62,22.23,January,Winter,Christmas & New Year,113.21885906040268,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 12:00:00,62.56,126.33,42.08,40.66,12.47,0.58,32.33,January,Winter,Christmas & New Year,117.83,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 13:00:00,60.32,118.42,36.38,41.33,12.18,0.51,35.15,January,Winter,Christmas & New Year,112.57436241610739,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 14:00:00,56.82,119.1,33.31,39.42,12.43,0.37,31.44,January,Winter,Christmas & New Year,113.02617449664429,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 15:00:00,55.64,107.88,34.99,40.11,13.61,0.44,27.59,January,Winter,Christmas & New Year,105.57127516778523,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 16:00:00,60.63,123.03,44.04,41.25,14.11,0.76,19.97,January,Winter,Christmas & New Year,115.63738255033557,Moderate,Tensa,Odisha,21.8782061,85.1842998
2024-01-02 17:00:00,71.48,144.74,44.31,41.16,12.58,0.76,10.6,January,Winter,Christmas & New Year,136.77655172413796,Moderate,Tensa,Odisha,21.8782061,85.1842998
