TIMESTAMP,PM2.5,PM10,NO2,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,112.24,220.81,27.44,30.48,0.2,January,Winter,Christmas & New Year,273.50896551724134,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 01:00:00,103.82,206.38,26.09,30.9,1.31,January,Winter,Christmas & New Year,244.76482758620688,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 02:00:00,102.64,199.73,25.61,22.31,3.04,January,Winter,Christmas & New Year,240.73655172413794,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 03:00:00,97.12,190.02,27.11,19.28,0.48,January,Winter,Christmas & New Year,221.89241379310346,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 04:00:00,90.63,175.96,25.85,17.31,0.66,January,Winter,Christmas & New Year,150.80563758389263,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 05:00:00,70.36,142.11,25.5,18.37,1.16,January,Winter,Christmas & New Year,132.95310344827587,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 06:00:00,55.63,97.6,26.21,6.04,1.3,January,Winter,Christmas & New Year,97.6,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 07:00:00,53.42,75.25,27.77,6.28,1.11,January,Winter,Christmas & New Year,88.88206896551725,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 08:00:00,54.7,78.41,26.42,18.69,0.86,January,Winter,Christmas & New Year,91.0448275862069,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 09:00:00,48.4,78.48,26.64,30.19,0.76,January,Winter,Christmas & New Year,80.4,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 10:00:00,38.7,78.51,25.72,18.69,0.36,January,Winter,Christmas & New Year,78.51,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 11:00:00,43.24,62.16,26.18,8.26,1.91,January,Winter,Christmas & New Year,95.1,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 12:00:00,42.98,74.38,26.19,0.64,1.2,January,Winter,Christmas & New Year,74.38,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 13:00:00,47.9,81.74,26.14,1.53,0.98,January,Winter,Christmas & New Year,81.74,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 14:00:00,54.32,81.22,26.26,10.16,0.34,January,Winter,Christmas & New Year,90.40275862068967,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 15:00:00,45.72,71.5,25.11,18.92,0.92,January,Winter,Christmas & New Year,75.87172413793104,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 16:00:00,27.48,68.73,25.02,15.82,0.71,January,Winter,Christmas & New Year,68.73,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 17:00:00,33.23,75.34,25.39,15.57,0.93,January,Winter,Christmas & New Year,75.34,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 18:00:00,59.9,71.29,25.96,10.43,0.85,January,Winter,Christmas & New Year,99.83103448275861,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 19:00:00,53.3,65.12,26.36,10.48,1.08,January,Winter,Christmas & New Year,88.67931034482758,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 20:00:00,57.5,80.59,26.23,15.8,0.41,January,Winter,Christmas & New Year,95.77586206896552,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 21:00:00,54.59,97.16,26.24,29.3,1.06,January,Winter,Christmas & New Year,97.16,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 22:00:00,61.09,95.66,26.62,13.66,0.65,January,Winter,Christmas & New Year,101.30724137931036,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-01 23:00:00,56.03,86.28,26.01,10.92,0.7,January,Winter,Christmas & New Year,93.29206896551725,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 00:00:00,62.9,97.96,25.64,8.41,0.45,January,Winter,Christmas & New Year,107.48620689655172,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 01:00:00,54.1,89.65,26.27,3.51,0.71,January,Winter,Christmas & New Year,90.03103448275863,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 02:00:00,58.16,100.59,27.07,6.97,0.6,January,Winter,Christmas & New Year,96.89103448275861,Satisfactory,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 03:00:00,62.43,89.83,25.96,25.54,1.12,January,Winter,Christmas & New Year,105.88172413793103,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 04:00:00,109.85,114.39,25.58,9.69,0.54,January,Winter,Christmas & New Year,265.34999999999997,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 05:00:00,99.96,121.12,26.92,22.69,0.96,January,Winter,Christmas & New Year,231.58758620689653,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 06:00:00,89.82,122.87,26.16,18.37,1.02,January,Winter,Christmas & New Year,199.3855172413793,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 07:00:00,91.0,126.93,26.14,32.4,0.76,January,Winter,Christmas & New Year,201.0,Poor,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 08:00:00,84.78,129.63,26.07,6.66,0.43,January,Winter,Christmas & New Year,182.18,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 09:00:00,82.1,143.54,26.18,15.26,0.35,January,Winter,Christmas & New Year,173.0310344827586,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 10:00:00,82.44,150.82,26.01,9.79,0.18,January,Winter,Christmas & New Year,174.19172413793103,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 11:00:00,74.52,137.64,25.92,17.61,0.39,January,Winter,Christmas & New Year,147.15448275862067,Moderate,Bathinda,Punjab,30.1794814,75.0471098
2024-01-02 12:00:00,45.73,162.18,26.24,7.85,0.12,January,Winter,Christmas & New Year,141.64979865771812,Moderate,Bathinda,Punjab,30.1794814,75.0471098
