TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,44.15,74.85,29.89,34.41,9.38,0.4,7.78,January,Winter,Christmas & New Year,74.85,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 01:00:00,37.43,71.48,29.65,34.34,9.09,0.37,7.22,January,Winter,Christmas & New Year,71.48,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 02:00:00,32.48,64.13,30.07,35.06,8.84,0.35,9.15,January,Winter,Christmas & New Year,64.13,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 03:00:00,30.37,58.99,29.93,35.55,8.66,0.33,8.94,January,Winter,Christmas & New Year,58.99,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 04:00:00,26.92,57.69,29.79,34.74,8.84,0.35,7.68,January,Winter,Christmas & New Year,57.69,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 05:00:00,23.0,53.96,30.06,34.84,8.7,0.34,8.22,January,Winter,Christmas & New Year,53.96,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 06:00:00,23.29,49.36,30.38,35.48,8.68,0.34,8.3,January,Winter,Christmas & New Year,49.36,Good,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 07:00:00,25.11,45.0,29.69,34.75,9.09,0.37,8.31,January,Winter,Christmas & New Year,45.0,Good,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 08:00:00,42.34,68.59,29.66,34.96,9.35,0.39,18.86,January,Winter,Christmas & New Year,70.16068965517242,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 09:00:00,52.52,91.26,30.2,35.56,10.12,0.46,23.95,January,Winter,Christmas & New Year,91.26,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 10:00:00,62.43,99.62,30.12,35.02,10.98,0.54,25.44,January,Winter,Christmas & New Year,105.88172413793103,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 11:00:00,85.99,141.13,30.62,34.94,10.75,0.52,26.84,January,Winter,Christmas & New Year,186.31068965517238,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 12:00:00,87.13,141.11,29.76,35.12,10.64,0.51,26.89,January,Winter,Christmas & New Year,190.20241379310343,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 13:00:00,74.04,110.94,29.78,35.03,10.35,0.48,26.24,January,Winter,Christmas & New Year,145.51586206896553,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 14:00:00,71.84,109.03,29.93,35.2,10.26,0.48,25.69,January,Winter,Christmas & New Year,138.00551724137932,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 15:00:00,68.8,109.2,29.92,35.04,10.54,0.5,25.14,January,Winter,Christmas & New Year,127.62758620689654,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 16:00:00,65.16,104.64,30.64,34.76,10.25,0.48,24.28,January,Winter,Christmas & New Year,115.20137931034482,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 17:00:00,61.15,100.74,29.9,35.15,11.02,0.55,23.97,January,Winter,Christmas & New Year,101.51206896551723,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 18:00:00,63.88,110.3,30.16,35.66,11.64,0.6,23.68,January,Winter,Christmas & New Year,110.83172413793105,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 19:00:00,67.01,116.35,29.8,35.2,11.19,0.56,23.06,January,Winter,Christmas & New Year,121.51689655172416,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 20:00:00,65.08,112.83,29.59,34.66,10.62,0.51,22.61,January,Winter,Christmas & New Year,114.92827586206896,Moderate,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 21:00:00,58.65,93.22,29.69,34.94,10.43,0.5,22.11,January,Winter,Christmas & New Year,97.71896551724137,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 22:00:00,54.09,84.6,29.68,35.46,9.75,0.43,22.3,January,Winter,Christmas & New Year,90.0141379310345,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-01 23:00:00,50.2,83.64,29.85,34.5,9.34,0.39,21.5,January,Winter,Christmas & New Year,83.64,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 00:00:00,49.74,86.27,29.49,34.58,9.09,0.37,21.58,January,Winter,Christmas & New Year,86.27,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 01:00:00,50.48,86.35,30.16,34.55,9.01,0.36,21.64,January,Winter,Christmas & New Year,86.35,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 02:00:00,52.22,88.3,30.24,35.25,8.86,0.35,21.48,January,Winter,Christmas & New Year,88.3,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 03:00:00,54.09,96.32,29.81,35.12,8.69,0.34,22.35,January,Winter,Christmas & New Year,96.32,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 04:00:00,52.06,100.41,30.01,35.18,8.95,0.36,21.53,January,Winter,Christmas & New Year,86.58413793103449,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
2024-01-02 05:00:00,46.62,98.19,30.12,34.9,9.04,0.37,20.64,January,Winter,Christmas & New Year,98.19,Satisfactory,Jalandhar,Punjab,31.2922312,75.5678878
