TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,32.88,75.23,23.94,58.8,2.95,0.23,38.77,January,Winter,Christmas & New Year,75.23,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 01:00:00,34.01,65.28,24.13,59.02,3.07,0.23,39.32,January,Winter,Christmas & New Year,65.28,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 02:00:00,31.91,62.76,23.95,59.01,3.26,0.25,38.93,January,Winter,Christmas & New Year,62.76,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 03:00:00,28.32,60.94,23.99,59.0,2.93,0.25,39.74,January,Winter,Christmas & New Year,60.94,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 04:00:00,23.56,53.19,23.92,59.26,2.55,0.27,38.56,January,Winter,Christmas & New Year,53.19,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 05:00:00,20.31,48.61,23.99,58.79,2.66,0.28,39.99,January,Winter,Christmas & New Year,48.61,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 06:00:00,22.0,44.78,23.94,58.84,2.46,0.26,39.88,January,Winter,Christmas & New Year,44.78,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 07:00:00,19.3,39.75,23.92,58.88,2.55,0.22,40.01,January,Winter,Christmas & New Year,40.01,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 08:00:00,18.85,34.84,24.16,59.04,2.99,0.25,40.3,January,Winter,Christmas & New Year,40.3,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 09:00:00,17.99,34.31,24.0,59.03,2.72,0.24,39.67,January,Winter,Christmas & New Year,39.67,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 10:00:00,20.42,33.14,24.07,58.96,3.03,0.26,39.25,January,Winter,Christmas & New Year,39.25,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 11:00:00,21.12,47.29,23.98,58.9,3.08,0.28,39.48,January,Winter,Christmas & New Year,47.29,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 12:00:00,21.3,41.7,24.05,59.15,3.17,0.28,39.65,January,Winter,Christmas & New Year,41.7,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 13:00:00,24.83,36.62,23.27,57.7,3.1,0.33,39.62,January,Winter,Christmas & New Year,41.38333333333333,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 14:00:00,23.88,47.86,21.07,54.06,3.05,0.38,39.22,January,Winter,Christmas & New Year,47.86,Good,Khanna,Punjab,30.700625,76.2220763
2024-01-01 15:00:00,31.31,78.94,21.0,53.92,3.56,0.48,38.73,January,Winter,Christmas & New Year,78.94,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 16:00:00,52.82,90.6,21.07,54.0,4.49,0.57,38.78,January,Winter,Christmas & New Year,90.6,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 17:00:00,77.85,107.9,20.92,53.87,4.64,0.46,38.7,January,Winter,Christmas & New Year,158.52241379310342,Moderate,Khanna,Punjab,30.700625,76.2220763
2024-01-01 18:00:00,79.08,122.29,21.03,53.9,4.18,0.28,38.66,January,Winter,Christmas & New Year,162.72137931034482,Moderate,Khanna,Punjab,30.700625,76.2220763
2024-01-01 19:00:00,63.32,108.94,20.96,53.76,4.23,0.26,38.48,January,Winter,Christmas & New Year,108.92,Moderate,Khanna,Punjab,30.700625,76.2220763
2024-01-01 20:00:00,49.0,94.37,20.81,53.64,3.77,0.22,39.18,January,Winter,Christmas & New Year,94.37,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 21:00:00,42.38,67.4,20.98,54.09,3.52,0.23,38.99,January,Winter,Christmas & New Year,70.22827586206897,Satisfactory,Khanna,Punjab,30.700625,76.2220763
2024-01-01 22:00:00,41.05,64.34,20.83,53.9,3.12,0.22,39.79,January,Winter,Christmas & New Year,67.98103448275862,Satisfactory,Khanna,Punjab,30.700625,76.2220763
