TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,48.28,105.78,9.97,8.87,6.02,0.93,32.55,January,Winter,Christmas & New Year,104.17597315436242,Moderate,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 01:00:00,45.84,99.19,9.87,8.73,6.15,0.82,31.74,January,Winter,Christmas & New Year,99.19,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 02:00:00,40.05,88.49,9.76,8.63,5.82,0.85,29.6,January,Winter,Christmas & New Year,88.49,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 03:00:00,32.61,70.9,9.71,8.6,6.04,0.85,30.52,January,Winter,Christmas & New Year,70.9,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 04:00:00,30.41,58.35,9.65,8.57,8.15,0.85,27.81,January,Winter,Christmas & New Year,58.35,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 05:00:00,24.04,51.14,9.67,8.54,8.18,0.77,31.37,January,Winter,Christmas & New Year,51.14,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 06:00:00,20.06,48.15,9.68,8.59,8.34,0.84,32.84,January,Winter,Christmas & New Year,48.15,Good,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 07:00:00,21.11,50.87,9.68,8.68,9.04,1.1,33.41,January,Winter,Christmas & New Year,51.0,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 08:00:00,22.23,50.98,9.83,8.89,6.01,0.96,32.99,January,Winter,Christmas & New Year,48.0,Good,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 09:00:00,25.38,51.15,9.72,8.96,5.02,1.28,27.48,January,Winter,Christmas & New Year,60.8,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 10:00:00,41.9,81.94,9.5,8.51,2.04,0.33,15.34,January,Winter,Christmas & New Year,81.94,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 11:00:00,61.15,122.58,9.5,8.56,4.34,0.74,23.45,January,Winter,Christmas & New Year,115.33838926174496,Moderate,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 12:00:00,59.8,121.29,13.56,11.98,10.75,0.75,23.49,January,Winter,Christmas & New Year,114.48127516778524,Moderate,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 13:00:00,48.86,102.23,22.88,21.76,16.11,0.71,25.07,January,Winter,Christmas & New Year,101.81724832214765,Moderate,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 14:00:00,42.66,87.08,23.78,22.34,21.37,0.68,25.53,January,Winter,Christmas & New Year,87.08,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 15:00:00,37.62,72.04,24.23,23.0,27.12,0.56,29.58,January,Winter,Christmas & New Year,72.04,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 16:00:00,34.74,63.88,24.36,22.75,9.52,0.72,27.71,January,Winter,Christmas & New Year,63.88,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 17:00:00,33.58,62.59,18.34,19.65,10.74,1.06,26.68,January,Winter,Christmas & New Year,62.59,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 18:00:00,33.32,64.18,18.34,19.65,10.01,1.5,24.95,January,Winter,Christmas & New Year,72.77777777777777,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
2024-01-01 19:00:00,33.52,66.55,18.34,19.65,8.94,1.86,25.18,January,Winter,Christmas & New Year,92.37777777777778,Satisfactory,Ludhiana,Punjab,30.9090157,75.851601
