TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,65.53,115.66,37.47,25.81,14.35,0.9,10.02,January,Winter,Christmas & New Year,116.46448275862069,Moderate,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 01:00:00,70.5,112.5,34.4,22.98,15.8,0.52,11.67,January,Winter,Christmas & New Year,133.4310344827586,Moderate,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 02:00:00,61.55,90.69,35.44,24.05,14.7,0.94,17.04,January,Winter,Christmas & New Year,102.87758620689654,Moderate,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 03:00:00,61.34,90.15,31.47,20.3,14.74,0.88,17.58,January,Winter,Christmas & New Year,102.16068965517242,Moderate,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 04:00:00,59.01,99.36,31.09,19.69,4.98,1.0,16.7,January,Winter,Christmas & New Year,99.36,Satisfactory,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 05:00:00,58.65,87.3,31.19,19.96,15.32,0.88,16.25,January,Winter,Christmas & New Year,97.71896551724137,Satisfactory,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 06:00:00,55.52,93.57,34.16,22.68,19.2,0.86,15.81,January,Winter,Christmas & New Year,93.57,Satisfactory,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 07:00:00,46.11,78.47,37.58,25.89,18.31,0.8,14.74,January,Winter,Christmas & New Year,78.47,Satisfactory,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 08:00:00,42.67,79.68,33.47,22.11,9.14,0.57,14.89,January,Winter,Christmas & New Year,79.68,Satisfactory,Alwar,Rajasthan,27.4140048,76.6170387
2024-01-01 09:00:00,62.07,97.02,36.42,25.22,17.28,1.06,14.22,January,Winter,Christmas & New Year,104.65275862068965,Moderate,Alwar,Rajasthan,27.4140048,76.6170387
