TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,72.75,128.75,20.08,12.8,0.82,0.98,9.18,January,Winter,Christmas & New Year,141.11206896551724,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 01:00:00,77.0,124.75,18.35,11.58,0.55,0.95,11.12,January,Winter,Christmas & New Year,155.6206896551724,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 02:00:00,68.5,134.0,17.58,11.12,0.42,0.93,10.3,January,Winter,Christmas & New Year,126.60344827586206,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 03:00:00,60.75,136.0,18.68,11.75,0.2,0.94,10.58,January,Winter,Christmas & New Year,124.25503355704699,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 04:00:00,66.5,145.25,18.68,11.92,0.32,0.95,17.45,January,Winter,Christmas & New Year,130.4010067114094,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 05:00:00,74.75,154.25,18.82,11.85,4.95,0.95,26.28,January,Winter,Christmas & New Year,147.93965517241378,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 06:00:00,73.0,151.25,18.4,11.68,4.95,0.94,27.62,January,Winter,Christmas & New Year,141.9655172413793,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 07:00:00,74.25,159.75,16.02,10.3,0.2,0.92,26.68,January,Winter,Christmas & New Year,146.23275862068965,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 08:00:00,77.5,156.75,16.02,10.68,0.27,0.93,28.1,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 09:00:00,70.5,154.75,16.18,10.85,0.15,0.98,24.33,January,Winter,Christmas & New Year,136.71308724832215,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 10:00:00,108.5,200.0,17.88,12.25,0.2,0.97,20.55,January,Winter,Christmas & New Year,260.7413793103448,Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 11:00:00,144.0,252.25,19.95,13.35,3.47,1.0,23.4,January,Winter,Christmas & New Year,318.6511627906977,Very Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 12:00:00,128.25,218.25,22.08,14.88,4.0,1.08,27.48,January,Winter,Christmas & New Year,306.5639534883721,Very Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 13:00:00,126.0,193.0,20.72,14.12,3.97,1.12,30.32,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 14:00:00,106.75,177.0,20.52,14.2,4.12,1.16,31.3,January,Winter,Christmas & New Year,254.76724137931035,Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 15:00:00,111.0,168.75,19.35,12.82,3.9,1.07,32.78,January,Winter,Christmas & New Year,269.2758620689655,Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 16:00:00,105.25,170.5,20.12,13.23,3.78,1.09,32.5,January,Winter,Christmas & New Year,249.64655172413794,Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 17:00:00,128.0,187.75,22.72,15.65,3.92,1.27,29.6,January,Winter,Christmas & New Year,306.37209302325584,Very Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 18:00:00,130.75,203.75,19.6,13.12,3.1,1.08,31.68,January,Winter,Christmas & New Year,308.4825581395349,Very Poor,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 19:00:00,85.25,146.75,20.8,13.18,2.78,1.03,27.65,January,Winter,Christmas & New Year,183.7844827586207,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 20:00:00,68.0,143.5,23.42,14.68,2.5,1.18,20.3,January,Winter,Christmas & New Year,129.23825503355704,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 21:00:00,68.25,150.75,22.65,13.98,3.25,1.06,22.82,January,Winter,Christmas & New Year,134.05536912751677,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 22:00:00,63.75,143.0,22.58,14.1,3.65,1.06,19.6,January,Winter,Christmas & New Year,128.90604026845637,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-01 23:00:00,53.5,125.75,18.85,11.95,3.9,0.99,16.85,January,Winter,Christmas & New Year,117.44463087248323,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 00:00:00,34.0,93.75,18.53,11.65,4.97,0.96,12.48,January,Winter,Christmas & New Year,93.75,Satisfactory,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 01:00:00,43.0,121.0,18.3,11.55,5.05,0.96,9.05,January,Winter,Christmas & New Year,114.28859060402685,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 02:00:00,54.5,148.25,17.73,11.2,5.25,0.98,9.62,January,Winter,Christmas & New Year,132.39429530201343,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 03:00:00,63.75,168.5,18.38,11.52,5.03,1.0,16.25,January,Winter,Christmas & New Year,145.8489932885906,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 04:00:00,37.5,141.0,17.25,11.1,4.88,1.01,25.15,January,Winter,Christmas & New Year,127.5771812080537,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 05:00:00,15.75,101.0,16.85,10.82,4.85,0.93,37.58,January,Winter,Christmas & New Year,101.0,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 06:00:00,28.0,113.75,16.77,10.92,4.55,0.83,37.78,January,Winter,Christmas & New Year,109.47147651006712,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 07:00:00,37.0,107.5,15.18,9.85,4.78,0.76,37.45,January,Winter,Christmas & New Year,105.31879194630872,Moderate,Baran,Rajasthan,24.9208165,76.6821985
2024-01-02 08:00:00,57.5,115.0,15.0,9.85,4.78,0.76,36.75,January,Winter,Christmas & New Year,110.30201342281879,Moderate,Baran,Rajasthan,24.9208165,76.6821985
