TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,98.75,177.0,24.4,20.08,13.25,0.88,30.95,January,Winter,Christmas & New Year,227.45689655172413,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 01:00:00,99.0,178.25,24.02,19.32,12.8,0.9,26.8,January,Winter,Christmas & New Year,228.31034482758622,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 02:00:00,89.75,159.25,19.55,18.8,12.6,0.88,26.12,January,Winter,Christmas & New Year,199.14655172413794,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 03:00:00,87.5,155.25,18.82,19.3,12.2,0.88,22.12,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 04:00:00,81.5,143.25,18.15,21.6,12.7,0.88,19.17,January,Winter,Christmas & New Year,170.98275862068965,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 05:00:00,70.5,121.0,18.27,21.35,13.2,0.88,19.9,January,Winter,Christmas & New Year,133.4310344827586,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 06:00:00,61.25,102.75,18.02,20.38,12.28,0.87,19.3,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 07:00:00,65.0,110.75,18.02,19.77,12.0,0.88,19.23,January,Winter,Christmas & New Year,114.65517241379311,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 08:00:00,67.25,115.0,19.77,18.98,11.68,0.96,19.95,January,Winter,Christmas & New Year,122.33620689655172,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 09:00:00,73.0,125.25,20.9,19.8,11.28,0.97,25.75,January,Winter,Christmas & New Year,141.9655172413793,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 10:00:00,85.5,150.75,19.55,19.62,11.45,0.89,31.17,January,Winter,Christmas & New Year,184.63793103448276,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 11:00:00,87.5,155.25,18.55,20.02,12.28,0.84,43.5,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 12:00:00,84.0,148.0,21.0,22.2,13.97,0.81,55.97,January,Winter,Christmas & New Year,179.51724137931035,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 13:00:00,79.0,138.0,20.58,22.15,14.1,0.75,67.8,January,Winter,Christmas & New Year,162.44827586206895,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 14:00:00,79.5,139.25,18.77,21.55,14.9,0.69,76.4,January,Winter,Christmas & New Year,164.1551724137931,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 15:00:00,75.75,132.25,17.95,21.28,14.85,0.65,79.85,January,Winter,Christmas & New Year,151.35344827586206,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 16:00:00,77.75,136.0,18.52,20.23,13.0,0.71,75.78,January,Winter,Christmas & New Year,158.1810344827586,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 17:00:00,85.75,151.75,25.1,21.48,11.92,0.94,58.55,January,Winter,Christmas & New Year,185.49137931034483,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 18:00:00,97.0,174.0,37.22,24.92,12.3,1.27,37.15,January,Winter,Christmas & New Year,221.48275862068965,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 19:00:00,110.75,201.75,37.85,23.95,12.62,1.28,21.42,January,Winter,Christmas & New Year,268.42241379310343,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 20:00:00,106.0,192.0,33.92,25.22,14.62,1.14,20.3,January,Winter,Christmas & New Year,252.20689655172413,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 21:00:00,106.0,192.0,30.3,23.88,15.02,1.05,22.0,January,Winter,Christmas & New Year,252.20689655172413,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 22:00:00,103.5,187.25,24.02,22.28,14.52,0.89,23.82,January,Winter,Christmas & New Year,243.67241379310343,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-01 23:00:00,96.75,173.75,23.85,21.75,14.25,0.9,21.22,January,Winter,Christmas & New Year,220.6293103448276,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 00:00:00,93.0,166.5,18.32,18.4,14.0,0.84,23.9,January,Winter,Christmas & New Year,207.82758620689654,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 01:00:00,77.75,135.75,17.55,16.77,13.58,0.91,13.65,January,Winter,Christmas & New Year,158.1810344827586,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 02:00:00,47.5,74.0,15.8,16.23,13.4,0.82,25.52,January,Winter,Christmas & New Year,78.87931034482759,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 03:00:00,42.5,64.25,14.12,15.85,13.18,0.77,29.78,January,Winter,Christmas & New Year,70.43103448275862,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 04:00:00,38.25,56.5,14.6,18.1,13.82,0.77,30.7,January,Winter,Christmas & New Year,63.25,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 05:00:00,36.75,53.5,16.4,18.75,14.28,0.78,25.7,January,Winter,Christmas & New Year,60.71551724137931,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 06:00:00,38.5,56.25,16.25,18.4,12.88,0.8,24.48,January,Winter,Christmas & New Year,63.672413793103445,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 07:00:00,40.0,59.25,17.6,18.58,12.7,0.86,28.88,January,Winter,Christmas & New Year,66.20689655172414,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 08:00:00,40.5,61.25,17.48,17.15,12.1,0.88,27.8,January,Winter,Christmas & New Year,67.05172413793103,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 09:00:00,41.75,63.75,18.4,17.73,11.75,0.91,29.08,January,Winter,Christmas & New Year,69.16379310344828,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 10:00:00,43.25,66.5,20.52,18.58,11.75,0.96,24.82,January,Winter,Christmas & New Year,71.69827586206897,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 11:00:00,49.0,77.75,19.9,19.05,3.0,0.97,25.38,January,Winter,Christmas & New Year,81.41379310344828,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 12:00:00,54.0,88.25,21.92,20.8,3.65,0.94,25.48,January,Winter,Christmas & New Year,89.86206896551724,Satisfactory,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 13:00:00,60.33,100.33,21.1,20.77,8.5,0.93,26.87,January,Winter,Christmas & New Year,46.5,Good,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 14:00:00,63.0,105.75,20.52,20.85,8.82,0.9,31.55,January,Winter,Christmas & New Year,107.82758620689656,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 15:00:00,63.75,107.5,21.12,20.82,8.82,0.9,34.0,January,Winter,Christmas & New Year,110.38793103448276,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 16:00:00,64.0,108.25,24.02,20.02,7.75,1.05,36.92,January,Winter,Christmas & New Year,111.24137931034483,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 17:00:00,74.75,130.25,34.02,22.4,7.6,1.35,26.2,January,Winter,Christmas & New Year,147.93965517241378,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 18:00:00,88.0,156.25,54.92,27.4,8.83,1.71,5.85,January,Winter,Christmas & New Year,193.17241379310343,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 19:00:00,106.5,193.0,55.98,35.22,10.82,2.68,3.02,January,Winter,Christmas & New Year,253.91379310344828,Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 20:00:00,131.5,242.75,53.68,28.35,14.9,2.44,3.98,January,Winter,Christmas & New Year,309.0581395348837,Very Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 21:00:00,130.0,239.5,38.25,15.18,17.32,1.2,15.72,January,Winter,Christmas & New Year,307.90697674418607,Very Poor,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 22:00:00,81.75,143.75,34.02,18.8,16.4,1.14,10.98,January,Winter,Christmas & New Year,171.83620689655174,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-02 23:00:00,70.75,121.75,26.4,18.23,13.3,0.95,16.23,January,Winter,Christmas & New Year,134.2844827586207,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-03 00:00:00,69.0,118.25,25.85,18.15,6.62,0.91,15.98,January,Winter,Christmas & New Year,128.31034482758622,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-03 01:00:00,74.0,127.25,34.17,21.88,7.3,1.07,5.5,January,Winter,Christmas & New Year,145.3793103448276,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
2024-01-03 02:00:00,88.25,156.0,39.98,23.98,9.25,1.17,5.52,January,Winter,Christmas & New Year,194.02586206896552,Moderate,Bhilwara,Rajasthan,25.4891177,74.3300726
