TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,99.68,212.08,7.48,50.39,2.1,1.43,12.55,January,Winter,Christmas & New Year,230.63172413793106,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 01:00:00,106.25,226.15,9.99,49.18,0.05,0.88,12.8,January,Winter,Christmas & New Year,253.06034482758622,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 02:00:00,114.95,244.58,13.49,73.02,1.08,0.1,12.4,January,Winter,Christmas & New Year,282.7603448275862,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 03:00:00,113.02,240.46,13.64,89.0,4.34,0.35,11.76,January,Winter,Christmas & New Year,276.17172413793105,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 04:00:00,111.46,237.16,10.73,68.2,3.53,1.37,11.6,January,Winter,Christmas & New Year,270.84620689655173,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 05:00:00,117.97,251.07,11.63,51.72,0.42,1.25,12.62,January,Winter,Christmas & New Year,293.07,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 06:00:00,116.06,246.94,13.64,56.74,8.56,0.32,12.74,January,Winter,Christmas & New Year,286.5496551724138,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 07:00:00,114.48,243.59,14.0,73.48,2.44,0.39,11.76,January,Winter,Christmas & New Year,281.1558620689655,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 08:00:00,119.99,255.33,18.75,44.0,3.38,1.52,10.4,January,Winter,Christmas & New Year,299.9658620689655,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 09:00:00,138.77,295.42,15.3,26.32,0.92,1.66,12.96,January,Winter,Christmas & New Year,314.6374418604651,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 10:00:00,150.35,319.9,19.24,25.75,8.56,0.98,12.58,January,Winter,Christmas & New Year,323.52441860465115,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 11:00:00,143.78,305.92,19.81,33.99,2.18,0.85,12.85,January,Winter,Christmas & New Year,318.48232558139534,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 12:00:00,141.33,300.71,17.38,35.65,5.45,1.6,13.4,January,Winter,Christmas & New Year,316.6020930232558,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 13:00:00,144.71,307.9,13.83,26.13,3.39,2.02,12.41,January,Winter,Christmas & New Year,319.1960465116279,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 14:00:00,151.92,323.3,19.66,37.94,0.15,1.51,13.17,January,Winter,Christmas & New Year,324.7293023255814,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 15:00:00,153.09,325.73,23.28,47.26,2.25,0.86,13.84,January,Winter,Christmas & New Year,325.6272093023256,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 16:00:00,141.86,301.85,22.74,46.64,5.07,1.64,12.62,January,Winter,Christmas & New Year,317.0088372093023,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 17:00:00,136.57,290.58,19.52,35.27,4.21,2.2,12.51,January,Winter,Christmas & New Year,312.94906976744187,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 18:00:00,146.21,311.09,21.36,40.13,1.32,1.94,13.32,January,Winter,Christmas & New Year,320.3472093023256,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 19:00:00,143.32,304.93,19.78,34.83,0.4,1.15,12.99,January,Winter,Christmas & New Year,318.1293023255814,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 20:00:00,127.41,271.09,17.98,39.41,4.21,1.57,12.94,January,Winter,Christmas & New Year,305.9193023255814,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 21:00:00,118.26,251.61,14.85,28.56,3.22,2.19,12.22,January,Winter,Christmas & New Year,294.06,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 22:00:00,124.57,265.04,14.88,22.64,1.11,2.12,12.98,January,Winter,Christmas & New Year,303.73976744186047,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-01 23:00:00,135.5,288.28,15.73,23.31,8.56,1.45,13.03,January,Winter,Christmas & New Year,312.1279069767442,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 00:00:00,139.85,297.54,16.51,36.66,5.49,1.19,12.49,January,Winter,Christmas & New Year,315.46627906976744,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 01:00:00,137.64,292.84,13.63,32.58,6.42,1.77,12.09,January,Winter,Christmas & New Year,313.7702325581395,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 02:00:00,144.45,307.26,12.7,20.14,4.2,2.02,12.31,January,Winter,Christmas & New Year,318.99651162790695,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 03:00:00,153.6,326.81,14.03,24.97,0.84,1.31,12.13,January,Winter,Christmas & New Year,326.0186046511628,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 04:00:00,155.34,330.52,15.0,36.28,7.71,0.76,13.39,January,Winter,Christmas & New Year,327.3539534883721,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 05:00:00,145.95,310.44,13.8,37.76,10.64,1.41,12.36,January,Winter,Christmas & New Year,320.14767441860465,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 06:00:00,132.1,281.07,11.6,25.88,8.76,1.96,11.77,January,Winter,Christmas & New Year,309.5186046511628,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 07:00:00,127.76,271.82,13.13,25.77,5.26,1.55,12.26,January,Winter,Christmas & New Year,306.1879069767442,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 08:00:00,124.08,264.0,14.24,34.28,7.11,0.48,12.92,January,Winter,Christmas & New Year,303.36372093023255,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 09:00:00,113.96,242.48,12.78,38.08,11.01,0.82,12.08,January,Winter,Christmas & New Year,279.3806896551724,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 10:00:00,87.64,186.46,12.57,34.18,11.08,1.49,12.64,January,Winter,Christmas & New Year,191.94344827586207,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 11:00:00,0.9,170.46,14.48,35.31,7.28,1.49,12.34,January,Winter,Christmas & New Year,147.15127516778523,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 12:00:00,20.09,68.6,18.84,36.71,7.58,0.51,12.87,January,Winter,Christmas & New Year,68.6,Satisfactory,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 13:00:00,36.75,91.3,19.41,38.91,12.01,0.69,11.64,January,Winter,Christmas & New Year,91.3,Satisfactory,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 14:00:00,48.5,118.73,24.23,43.22,9.54,0.56,12.42,January,Winter,Christmas & New Year,112.7803355704698,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 15:00:00,52.2,145.77,27.67,45.29,5.98,1.18,10.94,January,Winter,Christmas & New Year,130.74651006711412,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 16:00:00,73.11,175.49,32.34,58.2,7.44,1.1,6.39,January,Winter,Christmas & New Year,150.493355704698,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 17:00:00,142.56,155.97,35.43,89.3,10.15,1.59,7.13,January,Winter,Christmas & New Year,317.54604651162794,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 18:00:00,104.56,154.96,36.99,121.23,10.7,1.4,5.62,January,Winter,Christmas & New Year,247.29103448275862,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 19:00:00,108.92,180.71,33.44,120.85,9.43,1.41,7.89,January,Winter,Christmas & New Year,262.1751724137931,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 20:00:00,122.04,235.22,29.11,113.3,5.54,1.18,7.37,January,Winter,Christmas & New Year,301.7981395348837,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 21:00:00,78.85,210.33,28.16,90.64,6.71,1.08,6.67,January,Winter,Christmas & New Year,173.64208053691277,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 22:00:00,74.01,186.06,23.36,81.24,6.87,0.82,5.76,January,Winter,Christmas & New Year,157.5163758389262,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-02 23:00:00,75.84,191.14,21.13,83.03,6.55,0.74,6.23,January,Winter,Christmas & New Year,160.891677852349,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 00:00:00,96.22,223.74,20.77,85.35,4.34,1.36,5.84,January,Winter,Christmas & New Year,218.82,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 01:00:00,103.39,249.58,21.09,84.86,3.98,1.39,6.52,January,Winter,Christmas & New Year,243.29689655172413,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 02:00:00,108.63,240.07,18.69,86.34,7.04,1.43,6.12,January,Winter,Christmas & New Year,261.1851724137931,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 03:00:00,95.5,240.42,18.31,74.07,5.9,1.16,6.56,January,Winter,Christmas & New Year,216.36206896551724,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 04:00:00,97.74,239.15,20.16,71.43,3.46,1.27,3.77,January,Winter,Christmas & New Year,224.00896551724136,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 05:00:00,79.53,230.26,20.34,66.04,1.98,1.29,6.17,January,Winter,Christmas & New Year,186.8841610738255,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 06:00:00,70.6,211.45,19.2,69.92,3.58,1.07,6.24,January,Winter,Christmas & New Year,174.38624161073824,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 07:00:00,74.29,187.06,18.51,58.23,2.69,0.86,5.44,January,Winter,Christmas & New Year,158.1808053691275,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 08:00:00,72.89,183.54,17.55,44.75,4.91,1.09,6.6,January,Winter,Christmas & New Year,155.84201342281878,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 09:00:00,81.16,221.35,19.03,51.84,3.53,1.43,6.56,January,Winter,Christmas & New Year,180.96409395973154,Moderate,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 10:00:00,107.77,236.74,19.63,68.88,5.58,1.48,6.39,January,Winter,Christmas & New Year,258.24931034482756,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 11:00:00,120.16,257.95,38.65,88.87,4.83,1.47,5.96,January,Winter,Christmas & New Year,207.95,Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 12:00:00,130.09,283.59,32.92,72.98,3.65,1.49,6.78,January,Winter,Christmas & New Year,307.9760465116279,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
2024-01-03 13:00:00,142.65,319.09,35.04,88.0,4.07,1.89,7.24,January,Winter,Christmas & New Year,317.61511627906975,Very Poor,Bhiwadi,Rajasthan,28.2039413,76.837441
