TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,173.75,320.75,14.05,52.5,3.18,0.94,13.28,January,Winter,Christmas & New Year,341.4825581395349,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 01:00:00,166.5,301.0,12.0,50.92,2.42,0.96,12.15,January,Winter,Christmas & New Year,335.9186046511628,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 02:00:00,138.75,270.5,12.62,50.38,2.1,0.92,10.1,January,Winter,Christmas & New Year,314.62209302325584,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 03:00:00,119.0,218.5,10.68,49.02,1.98,0.87,12.85,January,Winter,Christmas & New Year,296.58620689655174,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 04:00:00,87.5,127.75,10.68,47.9,2.0,0.88,15.32,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 05:00:00,77.0,103.0,11.98,47.85,1.78,0.98,15.08,January,Winter,Christmas & New Year,155.6206896551724,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 06:00:00,77.5,108.5,12.22,48.32,1.95,1.08,14.95,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 07:00:00,92.0,128.0,14.15,48.72,2.05,1.11,15.62,January,Winter,Christmas & New Year,204.41379310344828,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 08:00:00,90.75,133.25,18.6,49.4,2.15,1.28,12.85,January,Winter,Christmas & New Year,122.4278523489933,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 09:00:00,98.0,149.5,23.08,49.22,2.78,1.32,19.15,January,Winter,Christmas & New Year,224.89655172413794,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 10:00:00,127.75,201.5,28.18,50.15,3.5,1.56,14.52,January,Winter,Christmas & New Year,306.18023255813955,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 11:00:00,150.0,249.5,38.75,55.45,3.27,1.92,15.4,January,Winter,Christmas & New Year,323.25581395348837,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 12:00:00,165.25,275.75,27.57,53.02,3.72,1.86,22.0,January,Winter,Christmas & New Year,334.9593023255814,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 13:00:00,164.75,272.0,23.08,49.98,3.52,1.42,31.52,January,Winter,Christmas & New Year,334.5755813953488,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 14:00:00,161.75,269.0,25.35,49.38,3.97,1.46,40.75,January,Winter,Christmas & New Year,332.2732558139535,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 15:00:00,164.75,284.0,26.88,51.82,4.0,1.35,44.42,January,Winter,Christmas & New Year,334.5755813953488,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 16:00:00,150.75,305.0,35.67,53.12,3.65,1.66,38.02,January,Winter,Christmas & New Year,323.8313953488372,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 17:00:00,166.0,357.75,63.42,55.78,4.4,3.19,7.05,January,Winter,Christmas & New Year,335.5348837209302,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 18:00:00,232.0,472.5,66.58,64.4,6.18,6.93,0.3,January,Winter,Christmas & New Year,425.75,Severe,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 19:00:00,310.5,552.75,66.95,73.58,6.35,5.42,0.5,January,Winter,Christmas & New Year,472.4838235294118,Severe,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 20:00:00,285.5,520.0,61.82,76.42,5.25,3.28,3.5,January,Winter,Christmas & New Year,453.4117647058824,Severe,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 21:00:00,236.0,466.0,34.72,68.18,4.4,1.04,3.5,January,Winter,Christmas & New Year,421.9647058823529,Severe,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 22:00:00,163.0,324.0,29.6,61.4,4.72,0.85,0.62,January,Winter,Christmas & New Year,333.2325581395349,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-01 23:00:00,145.25,284.75,22.35,54.45,3.78,0.78,2.85,January,Winter,Christmas & New Year,319.61046511627904,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 00:00:00,127.5,240.0,14.82,48.9,2.22,0.69,5.8,January,Winter,Christmas & New Year,305.98837209302326,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 01:00:00,105.75,192.75,11.85,46.3,2.25,0.64,6.82,January,Winter,Christmas & New Year,251.35344827586206,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 02:00:00,87.0,147.0,10.1,44.45,1.88,0.63,8.78,January,Winter,Christmas & New Year,189.75862068965517,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 03:00:00,71.0,111.25,8.7,44.35,1.6,0.64,12.9,January,Winter,Christmas & New Year,135.13793103448276,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 04:00:00,65.5,91.25,8.6,43.7,1.42,0.64,14.4,January,Winter,Christmas & New Year,116.36206896551724,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 05:00:00,58.0,79.25,9.28,42.98,0.95,0.68,13.35,January,Winter,Christmas & New Year,96.62068965517241,Satisfactory,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 06:00:00,63.0,94.75,10.82,43.02,1.02,0.88,11.85,January,Winter,Christmas & New Year,107.82758620689656,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 07:00:00,67.5,98.25,10.52,42.8,1.08,0.77,9.65,January,Winter,Christmas & New Year,123.1896551724138,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 08:00:00,54.5,68.75,12.48,43.52,1.35,0.92,10.75,January,Winter,Christmas & New Year,90.70689655172414,Satisfactory,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 09:00:00,69.25,92.25,17.77,46.7,2.1,1.3,10.2,January,Winter,Christmas & New Year,129.16379310344828,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 10:00:00,92.5,127.75,20.18,45.12,2.2,1.14,9.98,January,Winter,Christmas & New Year,206.1206896551724,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 11:00:00,86.25,153.0,21.6,47.85,2.23,1.1,11.72,January,Winter,Christmas & New Year,187.19827586206895,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 12:00:00,90.0,170.75,17.97,50.45,1.82,1.0,18.05,January,Winter,Christmas & New Year,200.0,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 13:00:00,92.0,156.25,17.45,48.58,1.27,1.05,25.55,January,Winter,Christmas & New Year,204.41379310344828,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 14:00:00,76.5,141.25,18.98,44.45,1.65,0.97,32.55,January,Winter,Christmas & New Year,153.91379310344828,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 15:00:00,67.5,148.25,22.75,45.42,1.85,1.01,33.65,January,Winter,Christmas & New Year,132.39429530201343,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 16:00:00,72.5,169.0,23.92,48.45,1.68,1.0,30.75,January,Winter,Christmas & New Year,146.18120805369128,Moderate,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 17:00:00,92.5,195.25,37.83,48.45,2.15,2.26,16.55,January,Winter,Christmas & New Year,206.1206896551724,Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 18:00:00,131.75,241.0,53.08,55.82,3.4,3.83,2.28,January,Winter,Christmas & New Year,309.25,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 19:00:00,213.5,367.25,45.85,62.68,3.88,3.16,1.4,January,Winter,Christmas & New Year,371.98837209302326,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 20:00:00,199.75,372.75,37.45,63.0,2.65,1.72,4.22,January,Winter,Christmas & New Year,361.4360465116279,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 21:00:00,144.25,265.5,35.97,62.58,1.82,1.65,4.45,January,Winter,Christmas & New Year,318.84302325581393,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
2024-01-02 22:00:00,121.25,235.0,25.48,60.05,1.2,1.17,10.2,January,Winter,Christmas & New Year,301.1918604651163,Very Poor,Bikaner,Rajasthan,28.0159286,73.3171367
