TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,149.5,223.75,16.5,19.42,1.95,0.92,18.65,January,Winter,Christmas & New Year,322.87209302325584,Very Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 01:00:00,139.0,210.0,15.1,19.52,1.7,0.86,20.27,January,Winter,Christmas & New Year,314.8139534883721,Very Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 02:00:00,117.0,185.0,14.72,19.4,1.3,0.81,21.58,January,Winter,Christmas & New Year,289.7586206896552,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 03:00:00,102.75,170.0,14.45,19.38,1.32,0.85,23.15,January,Winter,Christmas & New Year,241.11206896551724,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 04:00:00,101.0,159.0,13.45,19.15,1.58,0.82,23.82,January,Winter,Christmas & New Year,235.13793103448276,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 05:00:00,98.0,144.25,13.32,18.98,1.45,0.83,24.02,January,Winter,Christmas & New Year,224.89655172413794,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 06:00:00,102.0,146.5,13.25,18.77,1.38,0.85,20.92,January,Winter,Christmas & New Year,238.55172413793105,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 07:00:00,104.75,143.5,12.82,18.85,1.05,0.81,20.23,January,Winter,Christmas & New Year,247.93965517241378,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 08:00:00,88.5,126.5,14.02,19.05,1.27,0.84,24.25,January,Winter,Christmas & New Year,194.8793103448276,Moderate,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 09:00:00,88.5,126.5,16.08,18.95,1.52,0.86,35.9,January,Winter,Christmas & New Year,194.8793103448276,Moderate,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 10:00:00,95.75,134.0,15.65,18.82,1.25,0.84,32.58,January,Winter,Christmas & New Year,217.2155172413793,Poor,Bundi,Rajasthan,25.4367659,75.7361471
2024-01-01 11:00:00,99.75,150.5,15.45,18.8,1.27,0.82,33.48,January,Winter,Christmas & New Year,230.8706896551724,Poor,Bundi,Rajasthan,25.4367659,75.7361471
