TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,175.75,237.0,19.9,19.1,20.4,0.92,24.08,January,Winter,Christmas & New Year,343.0174418604651,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 01:00:00,159.0,208.5,23.15,18.12,12.1,1.08,20.15,January,Winter,Christmas & New Year,330.16279069767444,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 02:00:00,152.25,219.75,26.98,18.85,71.6,1.83,17.52,January,Winter,Christmas & New Year,324.9825581395349,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 03:00:00,154.0,247.75,19.85,20.52,51.38,1.95,19.18,January,Winter,Christmas & New Year,326.3255813953488,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 04:00:00,148.5,235.75,23.35,19.27,27.78,1.34,15.88,January,Winter,Christmas & New Year,322.1046511627907,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 05:00:00,131.75,197.75,28.05,20.27,63.5,1.7,11.48,January,Winter,Christmas & New Year,309.25,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 06:00:00,131.0,194.25,28.78,21.2,55.45,1.32,10.6,January,Winter,Christmas & New Year,308.6744186046512,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 07:00:00,124.75,178.5,32.17,22.65,81.82,1.18,8.62,January,Winter,Christmas & New Year,303.8779069767442,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 08:00:00,101.0,147.25,27.18,24.8,42.88,0.93,11.1,January,Winter,Christmas & New Year,235.13793103448276,Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 09:00:00,89.0,136.25,27.7,22.08,29.68,1.06,13.5,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 10:00:00,122.75,178.75,33.45,22.92,43.25,1.11,10.02,January,Winter,Christmas & New Year,302.34302325581393,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 11:00:00,167.25,212.5,32.95,26.12,46.22,1.08,9.35,January,Winter,Christmas & New Year,336.49418604651163,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 12:00:00,190.5,210.5,40.83,28.08,58.28,0.99,9.1,January,Winter,Christmas & New Year,354.33720930232556,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 13:00:00,156.25,199.5,42.8,30.33,99.58,1.07,15.42,January,Winter,Christmas & New Year,328.05232558139534,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 14:00:00,150.5,175.25,60.85,26.98,147.1,1.21,11.75,January,Winter,Christmas & New Year,323.63953488372096,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 15:00:00,137.0,188.0,68.8,35.3,183.25,1.25,13.15,January,Winter,Christmas & New Year,313.27906976744185,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 16:00:00,101.0,227.0,41.08,37.88,95.2,1.17,29.85,January,Winter,Christmas & New Year,235.13793103448276,Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 17:00:00,164.5,209.25,27.32,31.25,25.35,0.88,35.92,January,Winter,Christmas & New Year,334.3837209302326,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 18:00:00,158.75,200.0,25.22,26.32,11.72,0.92,33.48,January,Winter,Christmas & New Year,329.97093023255815,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 19:00:00,161.5,197.25,21.82,23.3,7.1,0.83,32.55,January,Winter,Christmas & New Year,332.0813953488372,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 20:00:00,155.75,186.25,22.35,20.65,5.5,0.81,29.25,January,Winter,Christmas & New Year,327.6686046511628,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 21:00:00,150.75,185.5,22.18,19.6,4.47,0.84,23.25,January,Winter,Christmas & New Year,323.8313953488372,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 22:00:00,146.5,183.0,21.72,19.88,2.78,0.92,17.1,January,Winter,Christmas & New Year,320.56976744186045,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-01 23:00:00,141.0,179.67,25.2,19.47,2.1,1.17,11.2,January,Winter,Christmas & New Year,316.3488372093023,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-02 00:00:00,139.5,185.5,25.98,19.5,3.3,1.08,9.85,January,Winter,Christmas & New Year,315.19767441860466,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-02 01:00:00,128.5,174.25,27.25,19.15,4.15,0.89,11.75,January,Winter,Christmas & New Year,306.75581395348837,Very Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
2024-01-02 02:00:00,111.67,153.67,22.87,18.67,9.47,1.93,16.27,January,Winter,Christmas & New Year,271.56310344827585,Poor,Chittorgarh,Rajasthan,24.7171578,74.4718129
