TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,99.75,161.25,22.58,15.38,3.95,1.25,23.58,January,Winter,Christmas & New Year,230.8706896551724,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 01:00:00,87.75,149.0,19.0,15.2,4.28,1.24,21.1,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 02:00:00,83.75,157.25,16.18,15.18,4.72,1.08,23.4,January,Winter,Christmas & New Year,178.66379310344826,Moderate,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 03:00:00,88.0,177.25,12.45,15.25,4.25,0.98,34.05,January,Winter,Christmas & New Year,193.17241379310343,Moderate,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 04:00:00,95.0,163.0,10.95,14.98,4.68,0.94,35.83,January,Winter,Christmas & New Year,214.6551724137931,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 05:00:00,99.5,162.75,11.25,15.05,5.0,0.98,35.4,January,Winter,Christmas & New Year,230.01724137931035,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 06:00:00,96.25,162.25,12.18,14.98,4.38,1.08,35.35,January,Winter,Christmas & New Year,218.92241379310346,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 07:00:00,90.75,151.75,13.02,15.08,4.6,1.15,33.92,January,Winter,Christmas & New Year,134.71979865771812,Moderate,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 08:00:00,90.75,159.0,14.9,14.95,4.72,1.24,30.8,January,Winter,Christmas & New Year,139.53691275167785,Moderate,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 09:00:00,96.75,167.0,15.75,14.9,5.12,1.28,31.32,January,Winter,Christmas & New Year,220.6293103448276,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 10:00:00,95.75,163.25,14.28,15.02,4.85,1.17,34.75,January,Winter,Christmas & New Year,217.2155172413793,Poor,Dausa,Rajasthan,26.8048658,76.4437457
2024-01-01 11:00:00,95.5,174.5,13.95,15.08,4.53,1.16,47.22,January,Winter,Christmas & New Year,216.36206896551724,Poor,Dausa,Rajasthan,26.8048658,76.4437457
