TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,203.5,366.75,42.0,84.42,6.38,0.74,12.2,January,Winter,Christmas & New Year,364.3139534883721,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 01:00:00,207.25,375.75,39.83,81.3,6.45,0.69,12.18,January,Winter,Christmas & New Year,367.1918604651163,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 02:00:00,197.75,370.25,36.4,77.32,6.22,0.69,13.0,January,Winter,Christmas & New Year,359.9011627906977,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 03:00:00,179.25,350.5,38.95,75.7,5.85,0.68,12.48,January,Winter,Christmas & New Year,345.70348837209303,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 04:00:00,187.5,372.5,39.25,66.55,5.95,0.65,13.08,January,Winter,Christmas & New Year,352.0348837209302,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 05:00:00,181.75,373.75,36.9,62.7,6.28,0.67,13.48,January,Winter,Christmas & New Year,347.62209302325584,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 06:00:00,174.75,365.5,33.12,60.48,6.1,0.67,14.88,January,Winter,Christmas & New Year,342.25,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 07:00:00,168.75,348.75,34.1,61.32,6.32,0.71,14.98,January,Winter,Christmas & New Year,337.6453488372093,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 08:00:00,170.5,371.0,37.22,69.47,5.88,0.66,14.65,January,Winter,Christmas & New Year,338.98837209302326,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 09:00:00,167.75,392.75,36.65,74.42,6.18,0.78,10.0,January,Winter,Christmas & New Year,353.31962025316454,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 10:00:00,163.5,384.75,35.5,64.88,6.3,0.8,7.95,January,Winter,Christmas & New Year,343.29430379746833,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 11:00:00,158.75,362.25,29.2,62.68,6.53,0.73,7.98,January,Winter,Christmas & New Year,329.97093023255815,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 12:00:00,152.75,334.0,35.5,71.08,6.22,0.76,7.22,January,Winter,Christmas & New Year,325.3662790697674,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 13:00:00,167.0,355.5,28.88,69.6,6.05,0.72,10.1,January,Winter,Christmas & New Year,336.30232558139534,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 14:00:00,157.0,303.0,25.78,66.92,6.18,0.66,10.4,January,Winter,Christmas & New Year,328.62790697674416,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 15:00:00,138.0,260.0,26.5,72.72,6.1,0.55,10.35,January,Winter,Christmas & New Year,314.04651162790697,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 16:00:00,154.75,286.0,29.85,82.92,6.0,0.61,10.3,January,Winter,Christmas & New Year,326.9011627906977,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 17:00:00,165.75,291.5,31.6,91.0,6.05,0.76,9.5,January,Winter,Christmas & New Year,335.34302325581393,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 18:00:00,160.25,269.5,31.48,95.02,6.22,0.72,7.98,January,Winter,Christmas & New Year,331.12209302325584,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 19:00:00,150.5,243.75,26.08,87.55,6.2,0.54,9.8,January,Winter,Christmas & New Year,323.63953488372096,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 20:00:00,138.0,225.0,23.98,83.55,5.9,0.47,12.48,January,Winter,Christmas & New Year,314.04651162790697,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 21:00:00,140.0,205.25,21.12,92.75,5.7,0.4,14.18,January,Winter,Christmas & New Year,315.5813953488372,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 22:00:00,135.75,197.25,21.22,88.2,5.7,0.38,14.23,January,Winter,Christmas & New Year,312.31976744186045,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-01 23:00:00,132.25,197.5,17.7,83.05,5.5,0.41,15.95,January,Winter,Christmas & New Year,309.6337209302326,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 00:00:00,132.0,190.5,17.4,87.2,5.43,0.72,17.2,January,Winter,Christmas & New Year,309.4418604651163,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 01:00:00,125.75,177.75,16.23,88.82,5.3,0.65,18.68,January,Winter,Christmas & New Year,304.6453488372093,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 02:00:00,115.75,163.75,14.48,86.35,5.18,0.63,18.8,January,Winter,Christmas & New Year,285.4913793103448,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 03:00:00,113.5,162.25,14.62,84.32,5.2,0.61,19.6,January,Winter,Christmas & New Year,277.8103448275862,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 04:00:00,108.0,159.0,14.32,80.5,6.32,0.64,20.5,January,Winter,Christmas & New Year,259.0344827586207,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 05:00:00,106.75,159.75,14.1,72.62,5.75,0.68,20.12,January,Winter,Christmas & New Year,254.76724137931035,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 06:00:00,116.5,170.5,13.6,71.82,6.3,0.68,22.45,January,Winter,Christmas & New Year,288.05172413793105,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 07:00:00,117.5,168.75,13.8,72.55,6.25,0.74,24.15,January,Winter,Christmas & New Year,291.4655172413793,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 08:00:00,118.5,185.5,19.58,75.85,6.78,0.84,25.2,January,Winter,Christmas & New Year,294.87931034482756,Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 09:00:00,127.0,232.5,30.1,86.95,6.43,1.03,18.57,January,Winter,Christmas & New Year,305.6046511627907,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 10:00:00,131.25,287.25,26.5,84.42,6.25,1.0,14.9,January,Winter,Christmas & New Year,308.8662790697674,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 11:00:00,132.0,268.25,21.85,75.9,6.93,0.99,13.8,January,Winter,Christmas & New Year,309.4418604651163,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 12:00:00,134.25,281.25,28.27,77.65,6.6,0.92,11.65,January,Winter,Christmas & New Year,311.1686046511628,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 13:00:00,147.25,291.5,27.32,82.2,6.72,1.01,11.32,January,Winter,Christmas & New Year,321.1453488372093,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 14:00:00,164.0,307.75,30.52,80.07,6.72,0.9,10.45,January,Winter,Christmas & New Year,334.0,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 15:00:00,181.5,327.75,28.35,82.08,6.6,0.81,21.935000000000002,January,Winter,Christmas & New Year,347.43023255813955,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 16:00:00,219.5,337.0,33.5,89.92,6.65,0.92,21.935000000000002,January,Winter,Christmas & New Year,376.59302325581393,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 17:00:00,199.75,330.25,34.5,103.88,6.65,1.02,1.75,January,Winter,Christmas & New Year,361.4360465116279,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 18:00:00,188.25,334.75,37.08,110.38,6.55,1.03,3.38,January,Winter,Christmas & New Year,352.6104651162791,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 19:00:00,180.75,307.75,32.92,106.2,6.05,0.93,5.8,January,Winter,Christmas & New Year,346.8546511627907,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 20:00:00,172.5,282.25,27.35,101.0,6.6,0.98,7.42,January,Winter,Christmas & New Year,340.5232558139535,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 21:00:00,163.75,267.0,24.22,86.65,6.35,0.87,8.7,January,Winter,Christmas & New Year,333.8081395348837,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 22:00:00,151.5,237.25,20.75,82.45,6.35,0.82,10.18,January,Winter,Christmas & New Year,324.40697674418607,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-02 23:00:00,153.25,236.5,17.77,81.55,6.55,0.85,12.2,January,Winter,Christmas & New Year,325.75,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 00:00:00,155.0,241.25,17.98,83.28,5.52,1.01,13.02,January,Winter,Christmas & New Year,327.09302325581393,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 01:00:00,161.0,246.5,19.73,86.2,5.1,0.98,13.58,January,Winter,Christmas & New Year,331.69767441860466,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 02:00:00,165.0,257.25,19.15,88.2,5.32,0.97,14.9,January,Winter,Christmas & New Year,334.7674418604651,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 03:00:00,153.75,242.5,17.2,85.22,4.9,1.02,15.5,January,Winter,Christmas & New Year,326.1337209302326,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 04:00:00,148.5,234.0,18.05,83.5,4.78,1.06,16.58,January,Winter,Christmas & New Year,322.1046511627907,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 05:00:00,142.25,230.75,19.2,82.68,4.62,1.01,15.7,January,Winter,Christmas & New Year,317.3081395348837,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 06:00:00,140.75,226.25,22.15,78.78,4.95,0.94,14.75,January,Winter,Christmas & New Year,316.15697674418607,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 07:00:00,144.0,221.0,23.52,80.08,5.05,0.96,14.65,January,Winter,Christmas & New Year,318.6511627906977,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 08:00:00,147.25,245.5,24.88,82.7,5.38,1.04,14.2,January,Winter,Christmas & New Year,321.1453488372093,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 09:00:00,140.75,262.25,25.05,83.6,5.1,1.01,14.33,January,Winter,Christmas & New Year,316.15697674418607,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 10:00:00,121.5,215.75,31.2,90.78,5.25,1.11,11.18,January,Winter,Christmas & New Year,301.3837209302326,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
2024-01-03 11:00:00,136.25,248.5,31.0,89.95,5.2,0.99,10.8,January,Winter,Christmas & New Year,312.70348837209303,Very Poor,Hanumangarh,Rajasthan,29.3659533,74.298429
