TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,119.84,196.21,28.8,35.92,7.95,0.89,26.07,January,Winter,Christmas & New Year,299.4537931034483,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 01:00:00,125.88,201.71,22.48,33.33,6.23,0.82,23.18,January,Winter,Christmas & New Year,304.74511627906975,Very Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 02:00:00,114.58,187.98,23.82,33.69,10.01,0.82,26.17,January,Winter,Christmas & New Year,281.49724137931037,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 03:00:00,102.84,174.02,24.22,32.31,10.35,0.86,27.14,January,Winter,Christmas & New Year,241.4193103448276,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 04:00:00,102.43,168.15,20.61,31.24,8.83,0.74,27.54,January,Winter,Christmas & New Year,240.01965517241382,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 05:00:00,101.2,170.66,15.87,32.3,8.03,0.79,25.28,January,Winter,Christmas & New Year,235.82068965517243,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 06:00:00,100.97,162.5,15.22,30.95,9.27,0.85,24.71,January,Winter,Christmas & New Year,235.0355172413793,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 07:00:00,99.73,151.05,20.72,31.34,8.33,1.01,20.34,January,Winter,Christmas & New Year,230.80241379310345,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 08:00:00,96.07,149.11,19.02,30.27,9.51,0.99,21.04,January,Winter,Christmas & New Year,218.30793103448275,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
2024-01-01 09:00:00,96.12,149.17,22.51,29.73,9.01,1.16,21.26,January,Winter,Christmas & New Year,218.4786206896552,Poor,Jaipur,Rajasthan,26.9154576,75.8189817
