TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,110.0,136.25,17.6,27.5,4.85,1.1,32.35,January,Winter,Christmas & New Year,265.8620689655172,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 01:00:00,111.75,131.75,17.35,27.92,3.92,1.1,28.05,January,Winter,Christmas & New Year,271.83620689655174,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 02:00:00,106.25,125.25,16.95,28.25,4.53,1.11,24.18,January,Winter,Christmas & New Year,253.06034482758622,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 03:00:00,106.0,127.75,16.95,28.22,5.18,1.14,20.15,January,Winter,Christmas & New Year,252.20689655172413,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 04:00:00,110.25,133.5,17.0,28.12,5.7,1.12,18.77,January,Winter,Christmas & New Year,266.7155172413793,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 05:00:00,113.5,137.0,16.85,27.02,5.4,1.12,17.42,January,Winter,Christmas & New Year,277.8103448275862,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 06:00:00,109.5,138.75,16.95,26.32,4.92,1.11,17.75,January,Winter,Christmas & New Year,264.1551724137931,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 07:00:00,109.25,153.75,16.7,27.55,5.08,1.16,19.52,January,Winter,Christmas & New Year,263.30172413793105,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 08:00:00,107.0,168.0,16.32,27.52,5.25,1.19,21.9,January,Winter,Christmas & New Year,255.6206896551724,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 09:00:00,100.0,161.0,16.0,28.3,4.85,1.18,24.12,January,Winter,Christmas & New Year,231.72413793103448,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 10:00:00,110.5,147.75,15.8,27.58,4.25,1.14,26.38,January,Winter,Christmas & New Year,267.5689655172414,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 11:00:00,115.0,143.75,16.3,26.32,3.72,1.12,28.85,January,Winter,Christmas & New Year,282.9310344827586,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 12:00:00,114.75,144.5,18.2,24.95,4.32,1.09,35.35,January,Winter,Christmas & New Year,282.07758620689657,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 13:00:00,108.75,134.25,16.6,23.38,4.3,1.07,38.25,January,Winter,Christmas & New Year,261.5948275862069,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 14:00:00,103.75,130.25,16.27,21.7,3.82,1.06,37.92,January,Winter,Christmas & New Year,244.52586206896552,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 15:00:00,104.5,136.5,16.82,22.38,3.88,1.08,37.08,January,Winter,Christmas & New Year,247.08620689655172,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 16:00:00,114.5,156.0,17.9,22.82,4.0,1.13,35.85,January,Winter,Christmas & New Year,281.2241379310345,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 17:00:00,108.0,150.25,18.27,23.28,4.2,1.12,34.98,January,Winter,Christmas & New Year,259.0344827586207,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 18:00:00,104.75,149.25,18.48,24.1,4.2,1.14,33.45,January,Winter,Christmas & New Year,247.93965517241378,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 19:00:00,109.0,158.75,19.15,25.6,4.82,1.17,32.92,January,Winter,Christmas & New Year,262.44827586206895,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 20:00:00,117.75,177.5,18.35,25.22,4.28,1.13,34.42,January,Winter,Christmas & New Year,292.3189655172414,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 21:00:00,103.25,164.0,18.35,25.68,4.12,1.12,34.5,January,Winter,Christmas & New Year,242.8189655172414,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 22:00:00,98.25,157.0,17.3,24.28,4.6,1.1,39.22,January,Winter,Christmas & New Year,225.75,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-01 23:00:00,92.5,139.0,16.23,24.6,4.8,1.02,42.25,January,Winter,Christmas & New Year,206.1206896551724,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 00:00:00,99.0,132.75,15.68,25.25,3.88,0.94,44.42,January,Winter,Christmas & New Year,228.31034482758622,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 01:00:00,100.5,137.5,15.6,25.02,3.58,0.92,46.28,January,Winter,Christmas & New Year,233.4310344827586,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 02:00:00,94.25,134.0,15.48,25.08,3.15,0.92,44.88,January,Winter,Christmas & New Year,212.0948275862069,Poor,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 03:00:00,84.5,124.0,14.98,24.0,3.08,0.93,44.85,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 04:00:00,82.0,125.75,14.52,22.95,3.02,0.93,43.4,January,Winter,Christmas & New Year,172.68965517241378,Moderate,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 05:00:00,70.25,111.75,14.45,22.3,2.98,0.94,42.0,January,Winter,Christmas & New Year,132.57758620689654,Moderate,Jhalawar,Rajasthan,24.3132368,76.5221078
2024-01-02 06:00:00,58.5,100.0,14.08,20.58,2.98,0.96,39.78,January,Winter,Christmas & New Year,100.0,Satisfactory,Jhalawar,Rajasthan,24.3132368,76.5221078
