TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,49.75,100.88,20.42,22.36,4.19,0.77,54.15,January,Winter,Christmas & New Year,82.68103448275862,Satisfactory,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 01:00:00,60.12,107.79,18.78,23.16,4.04,0.83,56.43,January,Winter,Christmas & New Year,105.51147651006711,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 02:00:00,72.12,114.63,18.55,24.26,3.94,0.89,57.6,January,Winter,Christmas & New Year,138.96137931034485,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 03:00:00,82.44,127.6,18.9,23.89,4.01,1.25,54.88,January,Winter,Christmas & New Year,174.19172413793103,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 04:00:00,88.12,133.17,18.53,24.0,7.02,1.29,50.98,January,Winter,Christmas & New Year,193.58206896551724,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 05:00:00,91.56,142.13,20.27,24.28,6.96,1.39,43.42,January,Winter,Christmas & New Year,202.91172413793103,Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 06:00:00,96.25,151.57,22.07,24.91,7.01,1.4,36.34,January,Winter,Christmas & New Year,218.92241379310346,Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 07:00:00,101.38,166.86,25.51,26.21,6.98,1.38,31.56,January,Winter,Christmas & New Year,236.43517241379308,Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 08:00:00,110.31,175.62,28.08,27.57,8.19,1.21,34.24,January,Winter,Christmas & New Year,266.92034482758623,Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 09:00:00,123.25,182.56,33.19,30.65,10.28,1.23,39.97,January,Winter,Christmas & New Year,302.7267441860465,Very Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 10:00:00,124.69,173.98,38.54,33.85,12.61,1.14,48.82,January,Winter,Christmas & New Year,303.8318604651163,Very Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 11:00:00,110.75,151.32,32.58,29.8,10.77,1.01,73.88,January,Winter,Christmas & New Year,268.42241379310343,Poor,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 12:00:00,76.69,134.0,20.19,25.55,7.01,0.94,102.59,January,Winter,Christmas & New Year,154.56241379310345,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
2024-01-01 13:00:00,53.5,103.44,16.26,21.96,6.67,0.83,108.7,January,Winter,Christmas & New Year,112.37761194029851,Moderate,Jodhpur,Rajasthan,26.2967719,73.0351433
