TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,118.98,145.41,32.53,24.92,7.67,0.9,16.51,January,Winter,Christmas & New Year,296.5179310344828,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 01:00:00,114.07,147.33,30.56,24.96,7.44,0.86,17.51,January,Winter,Christmas & New Year,279.7562068965517,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 02:00:00,114.12,153.88,23.05,21.39,8.25,0.84,11.82,January,Winter,Christmas & New Year,279.92689655172416,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 03:00:00,99.07,134.07,24.09,24.15,7.73,0.72,18.65,January,Winter,Christmas & New Year,228.54931034482757,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 04:00:00,99.7,130.72,22.41,23.51,7.4,0.79,19.68,January,Winter,Christmas & New Year,230.70000000000002,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 05:00:00,86.42,115.13,21.44,23.81,7.28,0.95,20.56,January,Winter,Christmas & New Year,187.77862068965516,Moderate,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 06:00:00,72.17,101.98,21.46,23.18,7.31,0.92,21.85,January,Winter,Christmas & New Year,139.13206896551725,Moderate,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 07:00:00,67.75,101.25,19.41,19.5,8.02,0.83,19.04,January,Winter,Christmas & New Year,124.04310344827586,Moderate,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 08:00:00,60.38,97.75,22.33,19.88,8.1,0.9,16.38,January,Winter,Christmas & New Year,97.75,Satisfactory,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 09:00:00,50.42,89.63,28.46,23.53,7.58,0.84,29.25,January,Winter,Christmas & New Year,89.63,Satisfactory,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 10:00:00,70.62,106.75,30.98,21.28,8.32,1.02,28.46,January,Winter,Christmas & New Year,133.8406896551724,Moderate,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 11:00:00,82.67,110.73,30.24,23.62,5.64,0.91,34.58,January,Winter,Christmas & New Year,174.97689655172414,Moderate,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 12:00:00,94.45,120.62,31.69,24.08,4.42,0.93,36.05,January,Winter,Christmas & New Year,212.77758620689656,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 13:00:00,108.06,133.52,30.52,24.43,4.37,0.91,38.04,January,Winter,Christmas & New Year,259.2393103448276,Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 14:00:00,125.62,152.55,31.45,25.4,4.16,0.91,38.74,January,Winter,Christmas & New Year,304.54558139534885,Very Poor,Kota,Rajasthan,25.1737019,75.8574194
2024-01-01 15:00:00,126.29,157.94,32.91,24.42,3.65,0.87,39.49,January,Winter,Christmas & New Year,305.05976744186046,Very Poor,Kota,Rajasthan,25.1737019,75.8574194
