TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,84.5,127.0,18.0,38.7,3.68,1.1,44.98,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 01:00:00,83.25,122.75,16.5,38.65,3.6,1.11,43.0,January,Winter,Christmas & New Year,176.95689655172413,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 02:00:00,81.25,120.0,15.0,39.8,3.35,1.17,40.42,January,Winter,Christmas & New Year,170.1293103448276,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 03:00:00,76.75,127.75,15.12,40.5,3.15,1.18,37.12,January,Winter,Christmas & New Year,154.76724137931035,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 04:00:00,80.25,138.5,15.4,41.22,3.22,1.25,35.22,January,Winter,Christmas & New Year,166.7155172413793,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 05:00:00,75.5,143.5,16.08,40.58,3.08,1.18,31.5,January,Winter,Christmas & New Year,150.5,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 06:00:00,72.75,120.25,17.73,40.88,2.98,1.13,29.85,January,Winter,Christmas & New Year,141.11206896551724,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 07:00:00,80.0,99.75,20.1,41.65,3.12,1.26,29.8,January,Winter,Christmas & New Year,165.86206896551724,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 08:00:00,84.5,106.75,20.82,41.88,2.8,1.3,29.75,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 09:00:00,87.0,113.25,20.9,40.78,3.35,1.28,31.48,January,Winter,Christmas & New Year,189.75862068965517,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 10:00:00,89.0,129.75,20.55,45.42,3.37,1.37,32.95,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 11:00:00,100.0,149.0,19.33,50.35,3.22,1.33,33.5,January,Winter,Christmas & New Year,231.72413793103448,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 12:00:00,103.5,163.75,20.18,51.48,3.52,1.19,34.33,January,Winter,Christmas & New Year,243.67241379310343,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 13:00:00,99.0,159.25,18.88,51.45,3.18,1.09,38.55,January,Winter,Christmas & New Year,228.31034482758622,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 14:00:00,90.75,171.25,17.38,45.95,2.85,0.98,51.62,January,Winter,Christmas & New Year,147.6761744966443,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 15:00:00,85.25,164.5,17.02,45.58,2.95,0.93,51.22,January,Winter,Christmas & New Year,183.7844827586207,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 16:00:00,78.0,147.0,14.9,47.22,2.5,0.44,34.33,January,Winter,Christmas & New Year,159.0344827586207,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 17:00:00,77.5,157.5,20.3,49.7,4.4,1.04,48.02,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 18:00:00,85.5,194.0,26.5,56.25,4.28,1.08,40.42,January,Winter,Christmas & New Year,184.63793103448276,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 19:00:00,99.5,213.0,29.05,55.28,4.28,1.0,36.8,January,Winter,Christmas & New Year,230.01724137931035,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 20:00:00,115.25,197.5,27.62,50.1,4.7,0.95,35.52,January,Winter,Christmas & New Year,283.7844827586207,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 21:00:00,131.75,214.25,24.02,46.4,4.68,0.85,35.8,January,Winter,Christmas & New Year,309.25,Very Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 22:00:00,130.33,223.0,21.4,43.7,4.7,0.84,36.97,January,Winter,Christmas & New Year,308.16023255813957,Very Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-01 23:00:00,114.5,226.5,19.4,45.25,4.1,0.98,35.9,January,Winter,Christmas & New Year,281.2241379310345,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 00:00:00,104.5,209.0,17.4,44.98,2.97,1.12,36.88,January,Winter,Christmas & New Year,247.08620689655172,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 01:00:00,91.0,180.0,16.23,44.78,3.12,1.1,34.9,January,Winter,Christmas & New Year,201.0,Poor,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 02:00:00,87.0,161.33,15.37,47.17,3.67,0.97,36.83,January,Winter,Christmas & New Year,189.75862068965517,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 03:00:00,84.25,160.75,15.15,46.5,3.32,0.98,36.05,January,Winter,Christmas & New Year,180.3706896551724,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 04:00:00,85.5,162.0,15.92,44.95,2.58,0.95,34.88,January,Winter,Christmas & New Year,184.63793103448276,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 05:00:00,85.0,154.0,16.8,41.02,3.35,0.98,31.9,January,Winter,Christmas & New Year,182.9310344827586,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 06:00:00,78.5,112.75,16.05,35.8,2.33,1.1,31.02,January,Winter,Christmas & New Year,160.74137931034483,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 07:00:00,75.5,84.0,17.08,34.25,2.3,1.2,34.05,January,Winter,Christmas & New Year,150.5,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 08:00:00,77.5,91.0,18.02,35.15,1.72,1.3,35.85,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
2024-01-02 09:00:00,80.5,101.25,20.78,38.95,1.6,1.11,35.25,January,Winter,Christmas & New Year,167.5689655172414,Moderate,Nagaur,Rajasthan,26.9873443,73.7389011
