TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,138.14,205.25,19.81,17.81,6.6,0.6,10.99,January,Winter,Christmas & New Year,314.1539534883721,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 01:00:00,135.31,190.57,19.77,18.94,7.24,0.54,11.1,January,Winter,Christmas & New Year,311.9820930232558,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 02:00:00,126.54,175.72,19.07,17.74,6.31,0.4,10.7,January,Winter,Christmas & New Year,305.25162790697675,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 03:00:00,108.8,165.67,19.9,17.32,6.25,0.11,8.86,January,Winter,Christmas & New Year,261.7655172413793,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 04:00:00,85.93,162.39,19.87,18.57,4.46,0.75,10.95,January,Winter,Christmas & New Year,186.10586206896554,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 05:00:00,77.36,160.18,20.45,18.15,4.56,0.84,13.2,January,Winter,Christmas & New Year,156.8496551724138,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 06:00:00,83.01,159.22,17.26,23.81,4.56,0.68,11.3,January,Winter,Christmas & New Year,176.13758620689657,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 07:00:00,99.46,158.28,16.46,23.82,4.05,0.74,9.8,January,Winter,Christmas & New Year,229.8806896551724,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 08:00:00,127.59,170.6,16.78,23.95,6.04,0.65,9.85,January,Winter,Christmas & New Year,306.05744186046513,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 09:00:00,131.49,182.07,17.46,24.47,6.8,0.78,11.26,January,Winter,Christmas & New Year,309.0504651162791,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 10:00:00,124.97,199.06,17.57,22.74,6.98,0.77,9.71,January,Winter,Christmas & New Year,304.0467441860465,Very Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 11:00:00,120.27,212.24,16.64,24.39,7.58,0.8,10.73,January,Winter,Christmas & New Year,174.91114093959732,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 12:00:00,117.14,199.16,16.21,23.82,12.18,0.48,12.87,January,Winter,Christmas & New Year,290.23655172413794,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 13:00:00,119.95,204.3,22.28,28.38,13.46,0.1,30.16,January,Winter,Christmas & New Year,299.8293103448276,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 14:00:00,114.46,197.04,22.89,26.14,14.89,0.94,30.16,January,Winter,Christmas & New Year,281.0875862068965,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 15:00:00,106.12,178.41,23.2,26.44,13.3,0.66,24.69,January,Winter,Christmas & New Year,252.61655172413793,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 16:00:00,97.54,184.52,25.22,24.87,7.19,0.37,23.74,January,Winter,Christmas & New Year,223.32620689655175,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 17:00:00,83.94,190.32,24.92,25.46,6.36,0.5,17.51,January,Winter,Christmas & New Year,179.31241379310345,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 18:00:00,90.39,211.44,24.9,25.27,6.82,0.55,10.04,January,Winter,Christmas & New Year,174.37959731543623,Moderate,Pali,Rajasthan,25.455221,73.419389
2024-01-01 19:00:00,107.11,211.24,24.76,25.29,7.92,0.74,15.74,January,Winter,Christmas & New Year,255.9962068965517,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 20:00:00,105.04,219.9,18.29,19.82,11.24,0.62,14.77,January,Winter,Christmas & New Year,248.92965517241382,Poor,Pali,Rajasthan,25.455221,73.419389
2024-01-01 21:00:00,84.94,204.74,18.21,20.29,10.08,0.76,14.38,January,Winter,Christmas & New Year,182.72620689655173,Moderate,Pali,Rajasthan,25.455221,73.419389
