TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,115.33,139.33,15.63,7.8,1.1,0.82,50.13,January,Winter,Christmas & New Year,284.05758620689653,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 01:00:00,111.25,138.5,17.85,10.42,0.78,0.89,39.65,January,Winter,Christmas & New Year,270.12931034482756,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 02:00:00,112.5,148.25,16.68,10.4,0.6,0.93,28.6,January,Winter,Christmas & New Year,274.3965517241379,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 03:00:00,111.0,138.25,14.72,10.38,0.48,0.9,23.38,January,Winter,Christmas & New Year,269.2758620689655,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 04:00:00,100.0,126.5,14.22,10.38,0.32,0.91,23.08,January,Winter,Christmas & New Year,231.72413793103448,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 05:00:00,100.0,134.5,16.3,9.6,0.5,0.98,23.55,January,Winter,Christmas & New Year,231.72413793103448,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 06:00:00,104.25,142.0,16.85,10.15,0.65,1.02,21.72,January,Winter,Christmas & New Year,246.23275862068965,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 07:00:00,107.5,147.25,20.38,10.58,0.62,1.07,31.68,January,Winter,Christmas & New Year,257.32758620689657,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 08:00:00,119.25,170.5,18.8,11.77,1.52,1.07,41.45,January,Winter,Christmas & New Year,297.4396551724138,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 09:00:00,134.0,189.0,19.08,13.12,3.2,1.07,39.72,January,Winter,Christmas & New Year,310.9767441860465,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 10:00:00,147.75,181.0,18.45,12.2,3.8,1.08,45.32,January,Winter,Christmas & New Year,321.52906976744185,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 11:00:00,144.25,171.75,15.15,7.82,4.6,0.99,54.68,January,Winter,Christmas & New Year,318.84302325581393,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 12:00:00,123.0,150.25,16.95,10.98,4.78,0.97,50.48,January,Winter,Christmas & New Year,302.5348837209302,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 13:00:00,114.75,135.25,15.8,9.43,4.7,0.9,60.4,January,Winter,Christmas & New Year,282.07758620689657,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 14:00:00,110.75,126.0,14.8,9.32,4.62,0.88,62.05,January,Winter,Christmas & New Year,268.42241379310343,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 15:00:00,111.0,127.75,14.75,8.88,4.72,0.86,66.05,January,Winter,Christmas & New Year,269.2758620689655,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 16:00:00,115.0,134.5,15.58,8.82,4.72,0.83,60.5,January,Winter,Christmas & New Year,282.9310344827586,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 17:00:00,120.0,140.75,17.98,10.07,4.15,0.91,58.1,January,Winter,Christmas & New Year,300.0,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 18:00:00,129.0,152.25,22.05,8.1,3.52,0.94,50.2,January,Winter,Christmas & New Year,307.13953488372096,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 19:00:00,140.5,173.75,25.22,7.98,2.85,1.02,42.35,January,Winter,Christmas & New Year,315.9651162790698,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 20:00:00,148.5,187.25,27.1,7.88,3.38,1.12,35.98,January,Winter,Christmas & New Year,322.1046511627907,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 21:00:00,152.0,200.75,34.1,6.6,3.38,1.29,25.6,January,Winter,Christmas & New Year,324.7906976744186,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 22:00:00,167.25,228.0,29.05,7.0,3.2,1.44,26.15,January,Winter,Christmas & New Year,336.49418604651163,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-01 23:00:00,159.0,214.75,24.72,7.6,3.12,1.47,25.8,January,Winter,Christmas & New Year,330.16279069767444,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 00:00:00,138.0,189.5,19.35,8.05,2.72,1.42,26.3,January,Winter,Christmas & New Year,314.04651162790697,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 01:00:00,127.33,170.67,16.17,9.8,2.87,1.35,26.63,January,Winter,Christmas & New Year,305.8579069767442,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 02:00:00,115.75,158.5,15.1,10.22,2.65,1.27,20.42,January,Winter,Christmas & New Year,285.4913793103448,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 03:00:00,107.0,146.5,13.95,10.12,2.55,1.21,19.2,January,Winter,Christmas & New Year,255.6206896551724,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 04:00:00,100.75,140.5,14.28,9.98,2.72,1.17,19.7,January,Winter,Christmas & New Year,234.2844827586207,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 05:00:00,98.25,133.75,13.42,8.93,2.6,1.14,19.08,January,Winter,Christmas & New Year,225.75,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 06:00:00,103.5,138.25,13.88,8.95,2.8,1.16,19.58,January,Winter,Christmas & New Year,243.67241379310343,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 07:00:00,123.25,154.75,16.08,9.6,2.82,1.15,19.25,January,Winter,Christmas & New Year,302.7267441860465,Very Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 08:00:00,86.75,103.25,20.05,9.85,2.85,1.18,19.2,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 09:00:00,78.0,102.0,18.27,10.88,3.9,1.13,37.83,January,Winter,Christmas & New Year,159.0344827586207,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 10:00:00,59.5,91.0,18.18,11.22,3.7,1.14,40.6,January,Winter,Christmas & New Year,99.15517241379311,Satisfactory,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 11:00:00,50.75,75.75,17.85,10.95,3.28,0.97,35.75,January,Winter,Christmas & New Year,84.37068965517241,Satisfactory,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 12:00:00,59.5,76.5,17.6,11.68,3.15,0.95,37.53,January,Winter,Christmas & New Year,99.15517241379311,Satisfactory,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 13:00:00,69.0,81.25,17.1,10.62,3.45,0.91,44.3,January,Winter,Christmas & New Year,128.31034482758622,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 14:00:00,69.25,85.5,16.23,7.75,3.97,0.86,51.52,January,Winter,Christmas & New Year,129.16379310344828,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 15:00:00,78.5,94.5,14.38,7.3,4.32,0.82,64.3,January,Winter,Christmas & New Year,160.74137931034483,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 16:00:00,78.25,92.25,14.15,6.8,4.45,0.77,63.95,January,Winter,Christmas & New Year,159.88793103448276,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 17:00:00,84.25,100.75,14.25,8.8,3.5,0.78,58.72,January,Winter,Christmas & New Year,180.3706896551724,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 18:00:00,92.0,106.0,16.4,12.25,3.25,0.91,57.3,January,Winter,Christmas & New Year,204.41379310344828,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 19:00:00,94.25,105.25,15.75,12.98,3.28,0.94,58.88,January,Winter,Christmas & New Year,212.0948275862069,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 20:00:00,92.5,105.75,15.4,12.9,3.3,0.94,57.52,January,Winter,Christmas & New Year,206.1206896551724,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 21:00:00,96.5,114.0,15.9,12.28,3.38,0.95,55.5,January,Winter,Christmas & New Year,219.77586206896552,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 22:00:00,101.0,114.0,13.73,10.25,3.5,0.9,59.35,January,Winter,Christmas & New Year,235.13793103448276,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-02 23:00:00,96.0,116.67,12.97,9.77,3.6,0.87,61.67,January,Winter,Christmas & New Year,218.0689655172414,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 00:00:00,101.5,119.75,13.55,10.02,3.38,0.8,59.2,January,Winter,Christmas & New Year,236.8448275862069,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 01:00:00,95.25,112.5,13.42,10.17,3.32,0.8,62.6,January,Winter,Christmas & New Year,215.50862068965517,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 02:00:00,100.25,113.25,15.25,10.8,5.25,0.8,59.08,January,Winter,Christmas & New Year,232.57758620689654,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 03:00:00,104.75,121.0,15.3,11.12,5.78,0.79,59.75,January,Winter,Christmas & New Year,247.93965517241378,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 04:00:00,107.5,125.5,15.0,11.2,5.6,0.79,58.45,January,Winter,Christmas & New Year,257.32758620689657,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 05:00:00,106.25,126.25,14.4,11.0,4.03,0.76,59.38,January,Winter,Christmas & New Year,253.06034482758622,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 06:00:00,97.25,114.25,13.92,10.7,3.82,0.64,59.18,January,Winter,Christmas & New Year,222.33620689655172,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 07:00:00,95.0,112.0,13.87,11.73,3.47,0.65,60.47,January,Winter,Christmas & New Year,214.6551724137931,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 08:00:00,98.25,107.75,13.68,12.88,3.35,0.62,63.8,January,Winter,Christmas & New Year,225.75,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 09:00:00,92.0,104.5,14.65,12.95,3.68,0.6,60.8,January,Winter,Christmas & New Year,204.41379310344828,Poor,Rajsamand,Rajasthan,25.2892459,73.8241077
2024-01-03 10:00:00,87.5,105.75,17.5,12.75,3.95,0.66,62.15,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Rajsamand,Rajasthan,25.2892459,73.8241077
