TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,139.5,214.25,23.38,35.2,0.95,0.92,25.5,January,Winter,Christmas & New Year,315.19767441860466,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 01:00:00,117.25,209.25,20.42,36.5,0.72,0.9,24.62,January,Winter,Christmas & New Year,290.6120689655172,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 02:00:00,109.0,210.0,15.72,39.95,0.75,0.91,26.5,January,Winter,Christmas & New Year,262.44827586206895,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 03:00:00,100.75,183.75,11.3,39.98,0.98,0.92,27.5,January,Winter,Christmas & New Year,234.2844827586207,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 04:00:00,79.75,121.5,10.38,37.58,1.27,0.86,23.58,January,Winter,Christmas & New Year,165.00862068965517,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 05:00:00,69.25,87.75,10.55,33.32,0.92,0.86,23.62,January,Winter,Christmas & New Year,129.16379310344828,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 06:00:00,64.25,79.25,13.1,30.4,0.52,0.94,20.65,January,Winter,Christmas & New Year,112.09482758620689,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 07:00:00,79.0,88.75,14.05,31.9,1.0,1.05,11.7,January,Winter,Christmas & New Year,162.44827586206895,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 08:00:00,97.0,110.5,14.72,32.38,1.3,1.14,15.25,January,Winter,Christmas & New Year,221.48275862068965,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 09:00:00,103.25,128.25,14.65,35.52,1.42,1.18,19.08,January,Winter,Christmas & New Year,242.8189655172414,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 10:00:00,114.75,142.75,15.22,42.62,1.3,1.14,32.42,January,Winter,Christmas & New Year,282.07758620689657,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 11:00:00,124.75,161.0,16.15,48.4,1.82,1.14,57.12,January,Winter,Christmas & New Year,303.8779069767442,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 12:00:00,134.25,186.25,21.1,42.98,2.0,1.04,80.9,January,Winter,Christmas & New Year,311.1686046511628,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 13:00:00,134.0,205.75,18.12,40.2,1.67,0.91,89.5,January,Winter,Christmas & New Year,310.9767441860465,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 14:00:00,122.75,192.5,16.02,36.22,2.0,0.75,104.3,January,Winter,Christmas & New Year,302.34302325581393,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 15:00:00,106.25,164.75,14.78,33.22,1.8,0.57,102.3,January,Winter,Christmas & New Year,253.06034482758622,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 16:00:00,87.0,136.75,13.78,30.85,2.15,0.55,92.6,January,Winter,Christmas & New Year,189.75862068965517,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 17:00:00,82.5,130.0,14.98,32.0,1.92,0.7,77.25,January,Winter,Christmas & New Year,174.39655172413794,Moderate,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 18:00:00,101.5,174.75,22.08,38.1,1.88,0.92,63.35,January,Winter,Christmas & New Year,236.8448275862069,Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 19:00:00,123.0,205.75,19.52,39.92,2.15,1.0,60.72,January,Winter,Christmas & New Year,302.5348837209302,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 20:00:00,152.5,228.25,19.58,41.7,1.92,1.04,54.3,January,Winter,Christmas & New Year,325.1744186046512,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
2024-01-01 21:00:00,161.75,233.5,19.95,38.08,1.38,1.07,43.8,January,Winter,Christmas & New Year,332.2732558139535,Very Poor,Sikar,Rajasthan,27.6625058,75.0279905
