TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,134.0,210.75,41.32,30.4,5.48,0.94,37.2,January,Winter,Christmas & New Year,310.9767441860465,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 01:00:00,125.25,181.75,46.75,32.17,5.5,0.92,19.25,January,Winter,Christmas & New Year,304.26162790697674,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 02:00:00,120.5,178.25,59.45,37.28,5.92,0.91,4.88,January,Winter,Christmas & New Year,152.3271812080537,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 03:00:00,108.5,169.5,22.82,33.62,7.08,0.88,28.58,January,Winter,Christmas & New Year,260.7413793103448,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 04:00:00,98.25,159.0,22.68,30.75,7.12,0.82,16.92,January,Winter,Christmas & New Year,225.75,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 05:00:00,95.75,154.5,38.75,35.85,7.05,0.85,7.65,January,Winter,Christmas & New Year,217.2155172413793,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 06:00:00,96.25,161.5,22.98,28.58,6.62,0.81,19.48,January,Winter,Christmas & New Year,218.92241379310346,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 07:00:00,90.0,153.25,21.67,24.92,5.35,0.9,20.58,January,Winter,Christmas & New Year,200.0,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 08:00:00,94.25,159.75,22.18,26.85,5.22,0.9,25.05,January,Winter,Christmas & New Year,212.0948275862069,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 09:00:00,107.5,174.0,48.9,34.92,5.25,1.06,25.1,January,Winter,Christmas & New Year,257.32758620689657,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 10:00:00,137.5,215.5,26.78,32.1,5.4,0.87,56.0,January,Winter,Christmas & New Year,313.66279069767444,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 11:00:00,116.25,187.25,24.15,35.05,7.1,0.76,92.32,January,Winter,Christmas & New Year,287.19827586206895,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 12:00:00,99.75,172.25,17.23,32.45,7.52,0.65,113.93,January,Winter,Christmas & New Year,230.8706896551724,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 13:00:00,92.5,169.5,17.35,30.72,7.7,0.61,119.18,January,Winter,Christmas & New Year,206.1206896551724,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 14:00:00,86.75,165.5,18.88,28.78,7.65,0.62,119.48,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 15:00:00,90.25,153.0,21.22,23.28,6.45,0.58,117.72,January,Winter,Christmas & New Year,135.5503355704698,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 16:00:00,93.5,159.75,21.65,22.5,5.48,0.59,117.8,January,Winter,Christmas & New Year,209.5344827586207,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 17:00:00,87.5,148.25,28.92,24.55,5.2,0.61,104.48,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 18:00:00,87.25,159.0,45.25,28.02,5.22,0.76,81.38,January,Winter,Christmas & New Year,190.61206896551724,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 19:00:00,90.0,167.75,54.0,33.2,6.42,0.76,62.45,January,Winter,Christmas & New Year,200.0,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 20:00:00,82.5,153.75,52.58,31.85,6.98,0.79,61.15,January,Winter,Christmas & New Year,174.39655172413794,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 21:00:00,86.75,170.25,57.78,29.62,6.95,0.82,56.5,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 22:00:00,80.5,157.0,46.45,27.82,6.85,0.72,59.4,January,Winter,Christmas & New Year,167.5689655172414,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-01 23:00:00,75.0,136.5,31.38,21.38,5.82,0.68,52.48,January,Winter,Christmas & New Year,148.79310344827587,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 00:00:00,80.0,143.0,28.88,21.02,5.48,0.66,47.15,January,Winter,Christmas & New Year,165.86206896551724,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 01:00:00,84.25,143.5,28.12,20.3,5.32,0.62,42.1,January,Winter,Christmas & New Year,180.3706896551724,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 02:00:00,68.0,110.0,23.92,19.02,5.2,0.6,47.0,January,Winter,Christmas & New Year,124.89655172413794,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 03:00:00,59.5,93.0,18.72,18.68,5.45,0.62,44.8,January,Winter,Christmas & New Year,99.15517241379311,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 04:00:00,55.5,86.0,28.2,22.0,6.78,0.65,29.15,January,Winter,Christmas & New Year,92.39655172413794,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 05:00:00,51.75,92.0,36.33,26.32,7.48,0.7,23.8,January,Winter,Christmas & New Year,92.0,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 06:00:00,61.5,110.0,43.42,25.82,7.25,0.79,16.48,January,Winter,Christmas & New Year,106.97986577181209,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 07:00:00,78.5,143.0,50.28,27.78,6.5,1.01,7.5,January,Winter,Christmas & New Year,160.74137931034483,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 08:00:00,127.75,248.25,60.4,33.3,5.7,1.46,11.85,January,Winter,Christmas & New Year,306.18023255813955,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 09:00:00,196.75,343.0,66.82,35.78,5.72,1.14,39.9,January,Winter,Christmas & New Year,359.1337209302326,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 10:00:00,147.5,272.25,29.18,27.58,5.6,0.73,73.75,January,Winter,Christmas & New Year,321.33720930232556,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 11:00:00,109.25,196.25,18.75,27.22,6.25,0.61,92.55,January,Winter,Christmas & New Year,263.30172413793105,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 12:00:00,86.75,139.5,14.92,31.1,7.65,0.45,106.0,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 13:00:00,63.75,104.75,11.82,22.4,8.0,0.45,109.8,January,Winter,Christmas & New Year,114.00298507462686,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 14:00:00,39.0,70.0,12.85,20.1,8.15,0.54,112.78,January,Winter,Christmas & New Year,118.40626865671642,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 15:00:00,39.5,75.25,13.85,19.2,7.92,0.54,118.7,January,Winter,Christmas & New Year,127.1537313432836,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 16:00:00,40.25,85.25,12.7,14.92,6.42,0.49,110.9,January,Winter,Christmas & New Year,115.62835820895523,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 17:00:00,33.75,95.0,15.68,14.42,5.5,0.51,96.7,January,Winter,Christmas & New Year,96.7,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 18:00:00,39.25,119.5,29.88,18.85,5.25,0.87,75.03,January,Winter,Christmas & New Year,113.29194630872483,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 19:00:00,71.5,157.75,37.98,24.05,5.48,1.18,65.22,January,Winter,Christmas & New Year,138.7063758389262,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 20:00:00,107.25,201.25,85.52,40.48,6.9,1.74,12.55,January,Winter,Christmas & New Year,256.4741379310345,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 21:00:00,119.75,227.75,61.9,34.25,7.02,1.17,26.28,January,Winter,Christmas & New Year,299.1465517241379,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 22:00:00,76.75,142.5,30.45,25.68,6.88,0.84,50.58,January,Winter,Christmas & New Year,154.76724137931035,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-02 23:00:00,53.0,102.25,50.53,26.52,6.58,0.79,29.0,January,Winter,Christmas & New Year,101.83053691275168,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 00:00:00,62.75,116.75,52.8,24.95,3.98,0.62,21.5,January,Winter,Christmas & New Year,111.46476510067114,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 01:00:00,67.5,116.75,41.8,24.1,3.8,0.54,27.18,January,Winter,Christmas & New Year,123.1896551724138,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 02:00:00,55.0,93.75,24.7,19.98,3.65,0.52,36.0,January,Winter,Christmas & New Year,93.75,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 03:00:00,47.0,73.0,23.4,20.52,3.52,0.51,40.3,January,Winter,Christmas & New Year,78.0344827586207,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 04:00:00,48.0,75.5,28.6,23.95,4.12,0.57,31.8,January,Winter,Christmas & New Year,79.72413793103448,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 05:00:00,53.25,89.0,48.45,29.15,4.85,0.67,4.95,January,Winter,Christmas & New Year,89.0,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 06:00:00,66.75,109.25,57.3,33.0,5.15,0.9,2.3,January,Winter,Christmas & New Year,120.62931034482759,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 07:00:00,96.25,195.25,68.75,40.5,5.28,1.48,2.25,January,Winter,Christmas & New Year,218.92241379310346,Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 08:00:00,144.5,311.25,57.92,38.4,3.92,1.34,9.45,January,Winter,Christmas & New Year,319.0348837209302,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 09:00:00,144.0,261.5,40.33,30.3,3.32,0.84,60.52,January,Winter,Christmas & New Year,318.6511627906977,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 10:00:00,83.25,187.75,19.42,24.28,3.3,0.49,83.35,January,Winter,Christmas & New Year,176.95689655172413,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 11:00:00,61.5,117.0,15.95,21.42,3.2,0.38,102.05,January,Winter,Christmas & New Year,111.63087248322148,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 12:00:00,47.75,92.5,13.45,21.38,4.25,0.32,106.88,January,Winter,Christmas & New Year,109.68835820895522,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 13:00:00,28.5,87.75,12.1,18.3,5.28,0.23,99.18,January,Winter,Christmas & New Year,99.18,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 14:00:00,18.5,77.0,10.75,16.27,5.65,0.22,97.8,January,Winter,Christmas & New Year,97.8,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 15:00:00,16.75,64.5,11.18,17.23,5.88,0.25,99.7,January,Winter,Christmas & New Year,99.7,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 16:00:00,18.5,85.25,11.05,15.32,5.28,0.23,100.28,January,Winter,Christmas & New Year,85.25,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 17:00:00,18.25,98.0,13.6,14.4,3.45,0.29,94.5,January,Winter,Christmas & New Year,98.0,Satisfactory,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 18:00:00,28.5,101.5,16.23,15.55,3.12,0.42,94.52,January,Winter,Christmas & New Year,101.33221476510067,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 19:00:00,35.5,102.25,41.35,21.42,3.58,0.44,68.7,January,Winter,Christmas & New Year,101.83053691275168,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 20:00:00,53.0,112.0,62.97,29.25,3.88,0.64,45.22,January,Winter,Christmas & New Year,108.30872483221476,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 21:00:00,120.75,193.75,56.9,30.02,5.3,0.8,41.42,January,Winter,Christmas & New Year,162.6258389261745,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 22:00:00,134.75,203.75,63.03,30.65,5.38,0.69,18.22,January,Winter,Christmas & New Year,311.55232558139534,Very Poor,Sirohi,Rajasthan,24.8114047,72.8300257
2024-01-03 23:00:00,66.25,137.75,68.65,33.67,5.3,0.7,7.3,January,Winter,Christmas & New Year,125.41778523489933,Moderate,Sirohi,Rajasthan,24.8114047,72.8300257
