TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,94.07,176.88,35.23,25.69,6.68,1.12,9.9,January,Winter,Christmas & New Year,211.48034482758618,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 01:00:00,96.8,196.9,36.88,24.45,5.9,1.21,10.26,January,Winter,Christmas & New Year,220.79999999999998,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 02:00:00,101.98,177.82,38.09,23.45,7.23,1.0,10.94,January,Winter,Christmas & New Year,238.4834482758621,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 03:00:00,97.3,162.6,31.38,23.03,7.44,0.98,9.76,January,Winter,Christmas & New Year,222.50689655172414,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 04:00:00,79.7,144.6,31.39,23.7,7.62,0.92,10.61,January,Winter,Christmas & New Year,164.83793103448278,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 05:00:00,64.88,133.0,34.51,24.68,7.64,0.88,9.07,January,Winter,Christmas & New Year,122.26174496644296,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 06:00:00,72.2,151.32,37.31,24.37,7.9,0.94,8.7,January,Winter,Christmas & New Year,139.2344827586207,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 07:00:00,75.5,149.38,37.17,24.24,9.02,0.95,9.09,January,Winter,Christmas & New Year,150.5,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 08:00:00,88.82,156.38,41.52,24.78,7.98,1.2,10.36,January,Winter,Christmas & New Year,195.971724137931,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 09:00:00,90.38,158.8,35.54,23.42,7.73,1.3,13.86,January,Winter,Christmas & New Year,139.4040268456376,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 10:00:00,96.82,160.05,38.88,24.16,9.43,1.21,14.18,January,Winter,Christmas & New Year,220.86827586206894,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 11:00:00,95.05,157.5,43.61,26.26,11.46,1.27,14.26,January,Winter,Christmas & New Year,214.8258620689655,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 12:00:00,88.95,155.32,38.48,26.0,13.12,1.14,13.79,January,Winter,Christmas & New Year,196.41551724137932,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 13:00:00,97.18,168.22,47.65,27.92,10.43,1.39,15.32,January,Winter,Christmas & New Year,222.09724137931036,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 14:00:00,95.75,183.7,63.16,30.77,10.45,1.76,14.47,January,Winter,Christmas & New Year,217.2155172413793,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 15:00:00,103.5,195.7,67.17,31.42,10.11,2.16,12.47,January,Winter,Christmas & New Year,243.67241379310343,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 16:00:00,90.78,203.65,86.35,36.78,10.93,2.23,11.57,January,Winter,Christmas & New Year,169.20369127516778,Moderate,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 17:00:00,106.5,205.5,95.52,40.72,9.29,2.65,9.85,January,Winter,Christmas & New Year,253.91379310344828,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 18:00:00,108.7,218.3,84.89,37.76,8.69,2.48,9.12,January,Winter,Christmas & New Year,261.42413793103447,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 19:00:00,119.22,237.55,74.03,34.92,8.38,2.26,8.93,January,Winter,Christmas & New Year,297.33724137931034,Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 20:00:00,130.72,264.55,61.98,31.04,8.27,1.89,9.36,January,Winter,Christmas & New Year,308.45953488372095,Very Poor,Udaipur,Rajasthan,24.578721,73.6862571
2024-01-01 21:00:00,129.25,249.7,59.51,28.19,8.4,1.6,8.28,January,Winter,Christmas & New Year,307.3313953488372,Very Poor,Udaipur,Rajasthan,24.578721,73.6862571
