TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,11.46,24.08,3.9,2.88,42.01,0.44,28.01,January,Winter,Christmas & New Year,52.268974358974354,Satisfactory,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 01:00:00,10.92,24.96,4.03,3.0,41.63,0.45,25.69,January,Winter,Christmas & New Year,51.791538461538465,Satisfactory,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 02:00:00,11.38,24.62,4.39,2.9,41.33,0.39,24.92,January,Winter,Christmas & New Year,51.41461538461538,Satisfactory,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 03:00:00,9.8,20.16,3.31,3.0,40.92,0.35,25.43,January,Winter,Christmas & New Year,25.43,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 04:00:00,13.42,19.41,1.09,3.0,40.52,0.32,28.4,January,Winter,Christmas & New Year,28.4,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 05:00:00,11.0,20.4,1.4,2.96,40.63,0.32,26.39,January,Winter,Christmas & New Year,26.39,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 06:00:00,12.17,19.77,4.47,3.05,40.57,0.31,24.15,January,Winter,Christmas & New Year,24.15,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 07:00:00,9.73,27.38,9.24,3.08,40.47,0.4,18.53,January,Winter,Christmas & New Year,27.38,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 08:00:00,10.88,20.88,9.87,2.97,40.37,0.51,23.6,January,Winter,Christmas & New Year,25.5,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 09:00:00,16.71,44.92,6.5,3.08,40.22,0.49,32.92,January,Winter,Christmas & New Year,44.92,Good,Gangtok,Sikkim,27.329046,88.6122673
2024-01-01 10:00:00,17.35,43.18,2.41,3.04,40.72,0.32,51.31,January,Winter,Christmas & New Year,51.31,Satisfactory,Gangtok,Sikkim,27.329046,88.6122673
