TIMESTAMP,PM10,NO2,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,30.0,8.75,8.15,0.42,22.05,January,Winter,Christmas & New Year,30.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 01:00:00,30.75,5.45,8.52,0.42,22.05,January,Winter,Christmas & New Year,30.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 02:00:00,33.0,5.13,8.73,0.12,22.05,January,Winter,Christmas & New Year,33.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 03:00:00,36.0,5.7,8.47,0.29,22.05,January,Winter,Christmas & New Year,36.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 04:00:00,44.5,7.1,6.75,0.22,22.05,January,Winter,Christmas & New Year,44.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 05:00:00,44.25,7.85,3.85,0.19,22.05,January,Winter,Christmas & New Year,44.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 06:00:00,48.25,8.9,6.02,0.42,22.05,January,Winter,Christmas & New Year,48.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 07:00:00,52.5,7.3,4.7,0.42,22.05,January,Winter,Christmas & New Year,52.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 08:00:00,62.0,7.78,10.15,0.42,22.05,January,Winter,Christmas & New Year,62.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 09:00:00,61.0,8.9,11.05,0.42,22.05,January,Winter,Christmas & New Year,61.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 10:00:00,67.5,10.38,13.4,0.42,22.05,January,Winter,Christmas & New Year,67.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 11:00:00,68.5,9.23,100.1,0.42,22.05,January,Winter,Christmas & New Year,107.32408026755853,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 12:00:00,64.0,8.55,7.92,0.42,22.05,January,Winter,Christmas & New Year,64.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 13:00:00,55.5,8.2,2.9,0.16,1.37,January,Winter,Christmas & New Year,55.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 14:00:00,57.0,6.95,3.72,0.12,0.2,January,Winter,Christmas & New Year,57.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 15:00:00,57.25,7.85,2.27,0.02,0.2,January,Winter,Christmas & New Year,57.25,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 16:00:00,58.5,7.98,7.85,0.12,22.05,January,Winter,Christmas & New Year,58.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 17:00:00,60.0,6.62,7.6,0.12,1.57,January,Winter,Christmas & New Year,60.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 18:00:00,64.25,6.8,9.25,0.26,1.18,January,Winter,Christmas & New Year,64.25,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 19:00:00,70.0,7.87,8.0,0.42,1.31,January,Winter,Christmas & New Year,70.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 20:00:00,56.75,6.9,12.32,0.42,0.78,January,Winter,Christmas & New Year,56.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 21:00:00,62.75,8.6,13.82,0.42,1.57,January,Winter,Christmas & New Year,62.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 22:00:00,71.5,6.25,12.45,0.42,22.05,January,Winter,Christmas & New Year,71.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-01-01 23:00:00,62.0,6.85,12.5,0.42,22.05,January,Winter,Christmas & New Year,62.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
