TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,34.75,73.37,3.98,11.51,2.53,0.23,January,Winter,Christmas & New Year,73.37,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 01:00:00,45.06,95.71,4.03,11.5,2.64,0.23,January,Winter,Christmas & New Year,95.71,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 02:00:00,40.23,85.28,3.99,11.51,2.82,0.23,January,Winter,Christmas & New Year,85.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 03:00:00,35.87,75.82,4.1,11.51,2.74,0.23,January,Winter,Christmas & New Year,75.82,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 04:00:00,32.16,67.73,4.0,11.51,2.92,0.23,January,Winter,Christmas & New Year,67.73,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 05:00:00,32.24,67.91,3.97,11.52,3.08,0.23,January,Winter,Christmas & New Year,67.91,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 06:00:00,33.53,70.73,3.89,11.52,2.98,0.23,January,Winter,Christmas & New Year,70.73,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 07:00:00,37.42,79.18,4.03,11.52,2.74,0.23,January,Winter,Christmas & New Year,79.18,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 08:00:00,43.23,91.81,4.02,11.52,2.65,0.23,January,Winter,Christmas & New Year,91.81,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 09:00:00,44.2,93.91,4.02,11.51,2.78,0.23,January,Winter,Christmas & New Year,93.91,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 10:00:00,39.22,83.1,3.94,11.52,2.81,0.23,January,Winter,Christmas & New Year,83.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 11:00:00,38.72,82.0,4.03,11.51,2.92,0.23,January,Winter,Christmas & New Year,82.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 12:00:00,35.38,74.71,4.1,11.5,2.91,0.23,January,Winter,Christmas & New Year,74.71,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 13:00:00,33.37,70.37,4.0,11.51,2.96,0.23,January,Winter,Christmas & New Year,70.37,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 14:00:00,28.18,59.1,3.97,11.5,3.01,0.23,January,Winter,Christmas & New Year,59.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 15:00:00,26.85,56.18,4.0,11.5,2.84,0.23,January,Winter,Christmas & New Year,56.18,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 16:00:00,33.03,69.62,4.0,11.5,2.97,0.23,January,Winter,Christmas & New Year,69.62,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 17:00:00,41.62,88.26,4.0,11.5,2.86,0.23,January,Winter,Christmas & New Year,88.26,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 18:00:00,42.4,90.0,3.99,11.5,2.57,0.23,January,Winter,Christmas & New Year,90.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 19:00:00,38.22,80.89,4.05,11.5,2.45,0.23,January,Winter,Christmas & New Year,80.89,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 20:00:00,38.64,81.82,3.96,11.5,2.28,0.23,January,Winter,Christmas & New Year,81.82,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 21:00:00,36.21,76.55,4.06,11.5,2.46,0.23,January,Winter,Christmas & New Year,76.55,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 22:00:00,42.64,90.49,3.97,11.5,2.37,0.23,January,Winter,Christmas & New Year,90.49,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-01 23:00:00,41.23,87.44,3.96,11.5,2.5,0.23,January,Winter,Christmas & New Year,87.44,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 00:00:00,37.69,79.73,3.94,11.5,2.49,0.23,January,Winter,Christmas & New Year,79.73,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 01:00:00,35.67,75.38,4.06,11.5,2.82,0.23,January,Winter,Christmas & New Year,75.38,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 02:00:00,39.68,84.08,4.06,11.5,2.91,0.23,January,Winter,Christmas & New Year,84.08,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 03:00:00,38.85,82.28,4.04,11.51,2.82,0.23,January,Winter,Christmas & New Year,82.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 04:00:00,38.3,81.1,4.11,11.5,2.86,0.23,January,Winter,Christmas & New Year,81.1,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 05:00:00,36.17,76.46,3.94,11.51,2.97,0.23,January,Winter,Christmas & New Year,76.46,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 06:00:00,37.63,79.63,3.94,11.52,2.74,0.23,January,Winter,Christmas & New Year,79.63,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 07:00:00,39.47,83.62,3.99,11.52,2.71,0.23,January,Winter,Christmas & New Year,83.62,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 08:00:00,42.15,89.47,4.06,11.51,2.83,0.23,January,Winter,Christmas & New Year,89.47,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 09:00:00,42.4,90.0,3.99,11.52,2.7,0.23,January,Winter,Christmas & New Year,90.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 10:00:00,21.24,44.760000000000005,4.06,11.46,8.76,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 11:00:00,35.04,74.0,4.01,11.5,2.33,0.23,January,Winter,Christmas & New Year,74.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
