TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,24.06,59.24,10.19,0.02,18.39,0.65,6.82,January,Winter,Christmas & New Year,59.24,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 01:00:00,23.08,66.32,8.34,0.02,18.39,0.56,6.74,January,Winter,Christmas & New Year,66.32,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 02:00:00,20.73,56.15,7.1,0.3,18.4,0.54,6.81,January,Winter,Christmas & New Year,56.15,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 03:00:00,19.16,52.0,6.24,0.3,18.29,0.52,6.69,January,Winter,Christmas & New Year,52.0,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 04:00:00,21.12,50.5,6.92,0.3,18.2,0.53,6.8,January,Winter,Christmas & New Year,35.2,Good,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 05:00:00,23.32,57.53,10.57,0.3,18.19,0.65,6.73,January,Winter,Christmas & New Year,57.53,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 06:00:00,26.71,67.56,14.03,0.12,18.45,0.92,6.72,January,Winter,Christmas & New Year,67.56,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 07:00:00,32.03,78.29,16.18,0.3,18.38,0.85,6.74,January,Winter,Christmas & New Year,78.29,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 08:00:00,32.79,82.51,10.92,0.02,18.06,0.45,6.76,January,Winter,Christmas & New Year,82.51,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 09:00:00,29.86,78.48,12.24,1.29,18.3,0.5,6.68,January,Winter,Christmas & New Year,78.48,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 10:00:00,32.29,86.79,11.96,0.3,18.42,0.46,6.77,January,Winter,Christmas & New Year,86.79,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 11:00:00,33.12,84.73,9.65,0.3,18.34,0.49,6.86,January,Winter,Christmas & New Year,84.73,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 12:00:00,30.94,80.32,12.34,0.11,18.55,0.64,6.69,January,Winter,Christmas & New Year,80.32,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 13:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 14:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 15:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 16:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 17:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 18:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 19:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 20:00:00,10.8,60.495000000000005,9.43,0.3,19.06,0.72,6.72,January,Winter,Christmas & New Year,60.495000000000005,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 21:00:00,43.2,112.0,33.7,0.46,18.23,1.52,6.78,January,Winter,Christmas & New Year,108.30872483221476,Moderate,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 22:00:00,36.0,106.71,18.71,0.89,18.21,0.8,6.68,January,Winter,Christmas & New Year,104.79389261744966,Moderate,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-01 23:00:00,27.96,79.4,9.22,0.38,18.18,0.54,6.76,January,Winter,Christmas & New Year,79.4,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 00:00:00,24.51,61.2,7.03,0.15,18.32,0.46,6.7,January,Winter,Christmas & New Year,61.2,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 01:00:00,23.85,54.24,6.22,0.3,18.3,0.4,6.69,January,Winter,Christmas & New Year,54.24,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 02:00:00,23.22,57.53,5.3,0.3,18.22,0.42,6.74,January,Winter,Christmas & New Year,57.53,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 03:00:00,25.81,58.25,5.81,0.3,17.82,0.49,6.77,January,Winter,Christmas & New Year,58.25,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 04:00:00,29.86,67.79,7.02,0.3,17.76,0.46,6.83,January,Winter,Christmas & New Year,67.79,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 05:00:00,28.84,69.5,7.33,0.3,18.42,0.59,6.69,January,Winter,Christmas & New Year,69.5,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 06:00:00,30.44,65.99,15.27,0.3,18.44,0.94,7.01,January,Winter,Christmas & New Year,65.99,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 07:00:00,36.58,90.7,24.13,0.24,18.44,1.14,6.83,January,Winter,Christmas & New Year,90.7,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 08:00:00,43.14,106.53,15.04,0.31,18.36,0.83,6.78,January,Winter,Christmas & New Year,104.67429530201342,Moderate,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 09:00:00,39.91,112.76,12.74,1.88,18.43,0.75,6.5,January,Winter,Christmas & New Year,108.81369127516778,Moderate,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 10:00:00,35.59,98.12,10.33,0.03,18.42,0.68,6.51,January,Winter,Christmas & New Year,98.12,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 11:00:00,36.24,94.5,11.11,0.1,18.35,0.57,6.8,January,Winter,Christmas & New Year,94.5,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 12:00:00,37.22,96.5,12.06,3.43,18.39,0.64,6.72,January,Winter,Christmas & New Year,96.5,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 13:00:00,33.22,86.46,20.51,0.4,18.47,0.86,6.76,January,Winter,Christmas & New Year,86.46,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 14:00:00,33.73,86.75,15.3,0.24,17.91,0.65,6.68,January,Winter,Christmas & New Year,86.75,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 15:00:00,30.52,75.19,10.24,0.3,18.1,0.54,6.76,January,Winter,Christmas & New Year,75.19,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 16:00:00,29.75,70.25,17.98,1.82,18.56,0.79,6.62,January,Winter,Christmas & New Year,70.25,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 17:00:00,30.78,82.8,24.8,4.15,18.66,1.05,6.9,January,Winter,Christmas & New Year,82.8,Satisfactory,Tirupur,Tamil Nadu,11.1671878,77.3472673
2024-01-02 18:00:00,32.33,104.39,32.05,0.36,18.48,1.27,6.78,January,Winter,Christmas & New Year,103.25241610738254,Moderate,Tirupur,Tamil Nadu,11.1671878,77.3472673
