TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,66.97,98.35,9.63,3.6,11.71,0.04,1.55,January,Winter,Christmas & New Year,121.3803448275862,Moderate,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 01:00:00,76.77,108.18,8.35,3.72,11.7,0.04,1.82,January,Winter,Christmas & New Year,154.8355172413793,Moderate,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 02:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 03:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 04:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 05:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 06:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 07:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 08:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 09:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 10:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 11:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 12:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 13:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 14:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 15:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 16:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 17:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 18:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 19:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 20:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 21:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 22:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-01 23:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 00:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 01:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 02:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 03:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 04:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 05:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 06:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 07:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 08:00:00,23.0,50.3,9.53,3.13,9.52,0.04,1.5,January,Winter,Christmas & New Year,38.333333333333336,Good,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 09:00:00,83.08,130.95,19.37,5.16,11.84,0.04,1.58,January,Winter,Christmas & New Year,176.37655172413793,Moderate,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 10:00:00,75.92,119.98,17.78,4.53,11.86,0.04,1.57,January,Winter,Christmas & New Year,151.9337931034483,Moderate,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 11:00:00,64.18,100.31,16.17,4.2,11.69,0.04,1.52,January,Winter,Christmas & New Year,111.85586206896554,Moderate,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 12:00:00,56.24,91.62,16.37,4.39,11.87,0.04,1.3,January,Winter,Christmas & New Year,93.64689655172414,Satisfactory,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 13:00:00,53.0,97.84,16.09,4.22,12.2,0.04,1.4,January,Winter,Christmas & New Year,97.84,Satisfactory,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 14:00:00,48.15,91.32,14.32,4.06,11.64,0.04,1.36,January,Winter,Christmas & New Year,91.32,Satisfactory,Vellore,Tamil Nadu,12.9021849,79.061104
2024-01-02 15:00:00,46.67,78.63,14.36,3.89,11.66,0.04,1.53,January,Winter,Christmas & New Year,78.63,Satisfactory,Vellore,Tamil Nadu,12.9021849,79.061104
