TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,45.91,88.96,16.29,12.21,7.9,0.66,26.67,January,Winter,Christmas & New Year,88.96,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-02,45.56,95.51,31.0,13.03,7.77,0.62,34.32,January,Winter,Christmas & New Year,95.51,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-03,53.89,93.15,15.95,13.04,8.66,0.67,31.08,January,Winter,Christmas & New Year,93.15,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-04,80.67,87.19,14.76,12.45,7.85,0.76,28.07,January,Winter,Christmas & New Year,168.1493103448276,Moderate,Hyderabad,Telangana,17.360589,78.4740613
2024-01-05,38.43,79.43,15.16,12.42,7.64,0.67,28.65,January,Winter,Christmas & New Year,79.43,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-06,32.22,70.35,15.29,12.63,8.51,0.54,26.33,January,Winter,Christmas & New Year,70.35,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-07,38.57,67.98,16.56,10.52,7.24,1.74,26.0,January,Winter,Christmas & New Year,85.84444444444443,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-08,37.52,77.42,19.23,10.54,7.32,0.69,29.67,January,Winter,Christmas & New Year,77.42,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-09,45.43,86.74,15.74,12.93,8.25,0.65,26.86,January,Winter,Christmas & New Year,86.74,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-10,46.69,92.1,19.26,12.74,8.86,0.76,25.04,January,Winter,Christmas & New Year,92.1,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-11,44.36,93.81,18.67,13.28,10.25,0.81,27.0,January,Winter,Christmas & New Year,93.81,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
2024-01-12,44.79,92.75,19.21,13.29,9.25,0.81,28.73,January,Winter,Christmas & New Year,92.75,Satisfactory,Hyderabad,Telangana,17.360589,78.4740613
