TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,44.02,94.13,20.35,13.5,10.57,0.47,9.91,January,Winter,Christmas & New Year,94.13,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 01:00:00,43.57,83.62,19.45,12.54,10.38,0.46,10.65,January,Winter,Christmas & New Year,83.62,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 02:00:00,43.26,75.32,19.58,11.53,10.35,0.49,10.29,January,Winter,Christmas & New Year,75.32,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 03:00:00,37.94,71.79,20.14,11.61,10.73,0.44,11.44,January,Winter,Christmas & New Year,71.79,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 04:00:00,37.0,66.36,20.33,11.45,11.04,0.37,11.1,January,Winter,Christmas & New Year,66.36,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 05:00:00,33.9,67.36,20.08,11.38,11.04,0.34,10.83,January,Winter,Christmas & New Year,67.36,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 06:00:00,32.21,65.22,19.25,11.93,10.01,0.32,10.36,January,Winter,Christmas & New Year,65.22,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 07:00:00,30.74,64.51,18.33,12.31,9.32,0.29,7.8,January,Winter,Christmas & New Year,64.51,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 08:00:00,32.67,68.77,18.89,12.52,11.26,0.34,9.7,January,Winter,Christmas & New Year,68.77,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 09:00:00,38.45,79.59,25.61,12.42,9.07,0.36,10.86,January,Winter,Christmas & New Year,79.59,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 10:00:00,34.31,71.49,19.98,12.83,9.13,0.45,11.36,January,Winter,Christmas & New Year,71.49,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 11:00:00,41.6,87.36,21.45,13.06,9.9,0.41,12.12,January,Winter,Christmas & New Year,87.36,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
2024-01-01 12:00:00,41.32,82.35,21.4,12.37,10.6,0.36,12.24,January,Winter,Christmas & New Year,82.35,Satisfactory,Agra,Uttar Pradesh,27.1752554,78.0098161
