TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,101.0,143.0,35.62,13.62,12.85,1.12,8.95,January,Winter,Christmas & New Year,235.13793103448276,Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 01:00:00,93.5,135.5,34.9,13.38,9.6,1.23,8.3,January,Winter,Christmas & New Year,209.5344827586207,Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 02:00:00,88.0,119.75,32.9,12.8,9.0,1.21,9.15,January,Winter,Christmas & New Year,193.17241379310343,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 03:00:00,83.25,112.5,31.72,12.42,9.32,1.1,9.07,January,Winter,Christmas & New Year,176.95689655172413,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 04:00:00,76.5,107.75,30.72,11.88,12.27,1.0,8.45,January,Winter,Christmas & New Year,153.91379310344828,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 05:00:00,70.75,97.75,29.0,11.08,16.12,0.97,8.02,January,Winter,Christmas & New Year,134.2844827586207,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 06:00:00,66.5,97.25,29.22,11.28,15.78,0.96,7.65,January,Winter,Christmas & New Year,119.77586206896552,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 07:00:00,65.5,97.75,30.45,11.78,14.85,0.99,6.18,January,Winter,Christmas & New Year,116.36206896551724,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 08:00:00,67.5,97.75,34.85,13.77,12.6,0.94,7.78,January,Winter,Christmas & New Year,123.1896551724138,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 09:00:00,68.5,97.75,34.72,14.18,14.22,0.92,9.75,January,Winter,Christmas & New Year,126.60344827586206,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 10:00:00,68.75,93.25,31.52,12.55,13.97,0.97,12.82,January,Winter,Christmas & New Year,127.45689655172414,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 11:00:00,74.75,102.75,30.05,12.22,15.78,0.79,11.28,January,Winter,Christmas & New Year,147.93965517241378,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 12:00:00,79.25,114.75,32.15,13.05,16.05,0.86,12.0,January,Winter,Christmas & New Year,163.30172413793105,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 13:00:00,85.0,125.5,33.67,13.52,16.15,0.9,14.48,January,Winter,Christmas & New Year,182.9310344827586,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 14:00:00,84.5,127.0,32.22,12.85,16.48,0.99,15.8,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 15:00:00,92.5,134.75,32.65,13.25,14.92,0.84,14.48,January,Winter,Christmas & New Year,206.1206896551724,Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 16:00:00,94.0,131.0,39.23,15.77,12.03,0.81,10.5,January,Winter,Christmas & New Year,211.24137931034483,Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 17:00:00,119.67,175.67,55.73,21.63,24.9,1.03,4.47,January,Winter,Christmas & New Year,298.8734482758621,Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
2024-01-01 18:00:00,148.75,235.25,60.3,23.08,30.92,1.14,2.33,January,Winter,Christmas & New Year,322.29651162790697,Very Poor,Baghpat,Uttar Pradesh,29.0374779,77.3062737
