TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,70.67,113.0,22.35,57.6,14.22,0.78,19.62,January,Winter,Christmas & New Year,134.01137931034484,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 01:00:00,72.25,113.25,21.45,56.72,14.05,0.75,20.78,January,Winter,Christmas & New Year,139.4051724137931,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 02:00:00,71.5,110.5,19.92,55.9,13.92,0.92,19.88,January,Winter,Christmas & New Year,136.8448275862069,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 03:00:00,65.25,98.0,19.15,54.22,14.8,0.92,21.8,January,Winter,Christmas & New Year,115.50862068965517,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 04:00:00,61.25,93.25,17.12,52.1,13.68,0.39,22.7,January,Winter,Christmas & New Year,101.85344827586206,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 05:00:00,73.75,117.67,51.28,51.92,17.55,0.68,6.95,January,Winter,Christmas & New Year,144.52586206896552,Moderate,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 06:00:00,105.5,166.0,59.9,55.78,21.52,0.84,3.72,January,Winter,Christmas & New Year,250.5,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 07:00:00,119.75,186.25,44.05,60.12,18.65,1.18,6.4,January,Winter,Christmas & New Year,299.1465517241379,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 08:00:00,109.25,179.75,41.5,60.9,13.9,0.55,18.6,January,Winter,Christmas & New Year,263.30172413793105,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 09:00:00,100.0,170.0,31.03,56.1,15.0,1.31,19.12,January,Winter,Christmas & New Year,231.72413793103448,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 10:00:00,106.0,178.25,36.3,57.1,14.32,2.07,23.28,January,Winter,Christmas & New Year,252.20689655172413,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 11:00:00,106.5,186.0,32.22,56.12,15.0,2.57,32.35,January,Winter,Christmas & New Year,253.91379310344828,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 12:00:00,110.25,197.75,30.32,54.48,15.9,1.28,48.1,January,Winter,Christmas & New Year,266.7155172413793,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 13:00:00,118.25,229.5,30.1,54.65,15.3,1.36,56.05,January,Winter,Christmas & New Year,294.0258620689655,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 14:00:00,134.5,264.5,27.18,51.9,15.0,1.38,61.92,January,Winter,Christmas & New Year,311.36046511627904,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 15:00:00,174.25,318.75,70.6,70.22,30.68,1.45,68.95,January,Winter,Christmas & New Year,341.8662790697674,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 16:00:00,174.0,308.75,67.05,69.7,23.78,0.11,63.85,January,Winter,Christmas & New Year,341.6744186046512,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 17:00:00,156.75,305.5,113.98,67.68,25.72,0.22,22.48,January,Winter,Christmas & New Year,328.4360465116279,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 18:00:00,169.0,352.5,123.72,72.1,22.88,0.35,10.52,January,Winter,Christmas & New Year,337.83720930232556,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 19:00:00,167.75,337.5,83.65,74.05,20.1,0.5,13.55,January,Winter,Christmas & New Year,336.87790697674416,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 20:00:00,152.0,280.25,57.78,64.9,18.6,1.26,8.7,January,Winter,Christmas & New Year,324.7906976744186,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 21:00:00,144.0,259.25,59.2,64.25,17.15,1.34,5.65,January,Winter,Christmas & New Year,318.6511627906977,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 22:00:00,143.25,261.0,62.95,63.72,16.73,1.31,4.07,January,Winter,Christmas & New Year,318.0755813953488,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-01 23:00:00,127.0,237.5,58.7,60.35,16.4,1.23,5.58,January,Winter,Christmas & New Year,305.6046511627907,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-02 00:00:00,109.5,201.67,48.52,58.68,14.32,0.82,7.42,January,Winter,Christmas & New Year,264.1551724137931,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-02 01:00:00,103.0,181.25,42.18,58.98,13.05,0.8,7.0,January,Winter,Christmas & New Year,241.9655172413793,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-02 02:00:00,110.0,187.25,62.98,58.55,15.75,0.52,3.97,January,Winter,Christmas & New Year,265.8620689655172,Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
2024-01-02 03:00:00,129.25,215.75,84.4,64.28,21.35,0.5,6.07,January,Winter,Christmas & New Year,307.3313953488372,Very Poor,Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
