TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,55.18,95.95,1.64,7.13,27.72,1.41,2.72,January,Winter,Christmas & New Year,95.95,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 01:00:00,56.84,103.59,1.42,7.62,28.05,1.47,2.7,January,Winter,Christmas & New Year,102.72087248322148,Moderate,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 02:00:00,61.93,113.94,1.48,7.78,27.62,1.25,3.17,January,Winter,Christmas & New Year,109.59771812080537,Moderate,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 03:00:00,39.24,76.6,1.6,7.74,27.68,1.01,3.88,January,Winter,Christmas & New Year,76.6,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 04:00:00,36.73,60.8,1.57,7.51,28.0,0.85,4.22,January,Winter,Christmas & New Year,60.8,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 05:00:00,32.61,54.21,1.3,7.29,27.4,0.77,4.3,January,Winter,Christmas & New Year,54.21,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 06:00:00,31.82,48.99,1.74,7.12,27.46,0.71,4.59,January,Winter,Christmas & New Year,52.38551724137931,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 07:00:00,33.04,56.6,1.59,6.95,27.42,0.69,4.35,January,Winter,Christmas & New Year,56.6,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 08:00:00,31.71,57.5,1.66,7.4,27.74,0.66,4.22,January,Winter,Christmas & New Year,57.5,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
2024-01-01 09:00:00,39.26,55.92,1.54,6.92,27.63,0.66,4.52,January,Winter,Christmas & New Year,64.95655172413792,Satisfactory,Gorakhpur,Uttar Pradesh,26.6677977,83.3642334
