TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,116.97,155.31,77.44,38.66,27.94,1.11,4.73,January,Winter,Christmas & New Year,289.65620689655174,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-02,79.71,159.24,74.09,33.94,26.87,1.07,4.83,January,Winter,Christmas & New Year,164.87206896551723,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-03,84.5,169.09,76.24,37.26,37.74,1.5,4.99,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-04,126.98,253.97,84.82,41.64,35.39,1.41,5.55,January,Winter,Christmas & New Year,305.5893023255814,Very Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-05,80.31,160.6,73.43,37.85,32.43,1.38,4.73,January,Winter,Christmas & New Year,166.92034482758623,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-06,100.48,200.87,80.38,39.87,31.76,1.26,4.75,January,Winter,Christmas & New Year,233.36275862068968,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-07,112.54,225.14,84.0,36.45,31.74,1.26,5.13,January,Winter,Christmas & New Year,274.5331034482759,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-08,99.25,198.62,82.49,36.51,33.94,1.35,4.98,January,Winter,Christmas & New Year,229.16379310344828,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-09,91.04,182.23,73.49,34.96,12.41,0.48,5.35,January,Winter,Christmas & New Year,201.13655172413795,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-10,70.31,140.58,59.22,34.33,31.86,1.27,4.83,January,Winter,Christmas & New Year,132.78241379310344,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-11,118.26,236.83,51.93,48.9,42.84,1.8,18.4,January,Winter,Christmas & New Year,294.06,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-12,107.96,215.91,24.76,49.08,48.55,1.95,26.41,January,Winter,Christmas & New Year,258.8979310344827,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-13,145.01,289.85,43.14,47.76,67.78,2.7,27.47,January,Winter,Christmas & New Year,319.4262790697674,Very Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-14,126.49,252.99,37.1,42.42,63.86,2.55,23.09,January,Winter,Christmas & New Year,305.2132558139535,Very Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-15,97.64,195.27,31.02,35.74,49.49,1.94,28.46,January,Winter,Christmas & New Year,223.66758620689654,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-16,89.33,178.33,15.87,40.1,56.88,2.26,22.48,January,Winter,Christmas & New Year,197.71275862068964,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-17,66.76,133.32,9.92,39.12,37.46,1.49,25.81,January,Winter,Christmas & New Year,122.47436241610738,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-18,54.01,107.94,13.07,37.56,39.83,1.6,19.35,January,Winter,Christmas & New Year,105.61114093959732,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-19,60.65,121.25,21.41,31.97,35.29,1.42,16.2,January,Winter,Christmas & New Year,114.45469798657719,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-20,88.16,176.55,27.87,33.4,32.48,1.38,24.76,January,Winter,Christmas & New Year,193.71862068965515,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-21,92.2,184.23,26.69,35.3,29.17,1.16,20.84,January,Winter,Christmas & New Year,205.09655172413795,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-22,90.42,180.97,18.41,33.32,31.41,1.34,26.13,January,Winter,Christmas & New Year,154.13442953020134,Moderate,Hapur,Uttar Pradesh,28.7166767,77.890433
2024-01-23,104.52,208.98,39.1,35.31,34.27,1.37,20.83,January,Winter,Christmas & New Year,247.15448275862067,Poor,Hapur,Uttar Pradesh,28.7166767,77.890433
