TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,34.25,89.03,13.88,22.31,15.01,0.71,7.97,January,Winter,Christmas & New Year,89.03,Satisfactory,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-02,28.61,74.39,10.66,22.29,9.74,0.63,12.51,January,Winter,Christmas & New Year,74.39,Satisfactory,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-03,27.88,70.05,10.23,22.23,8.15,0.63,7.06,January,Winter,Christmas & New Year,70.05,Satisfactory,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-04,70.86,172.83,12.84,22.32,8.67,0.77,7.72,January,Winter,Christmas & New Year,148.72597315436244,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-05,67.55,172.94,13.28,22.29,8.3,0.76,11.06,January,Winter,Christmas & New Year,148.79906040268457,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-06,43.04,118.37,12.8,22.33,8.41,0.69,13.2,January,Winter,Christmas & New Year,112.54114093959731,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-07,37.46,103.02,19.03,22.33,10.47,0.92,17.72,January,Winter,Christmas & New Year,102.34214765100671,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-08,31.97,87.83,26.63,22.3,11.0,0.82,9.64,January,Winter,Christmas & New Year,87.83,Satisfactory,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-09,59.21,130.08,12.48,22.34,9.29,0.68,6.74,January,Winter,Christmas & New Year,120.32161073825505,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-10,52.87,128.01,18.26,22.32,8.94,0.85,12.9,January,Winter,Christmas & New Year,118.94624161073826,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-11,47.32,115.23,25.28,22.32,9.44,0.71,25.44,January,Winter,Christmas & New Year,110.4548322147651,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-12,50.96,124.12,27.96,22.32,9.14,0.88,38.36,January,Winter,Christmas & New Year,116.36161073825504,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-13,48.37,117.99,24.31,22.32,12.2,0.59,26.44,January,Winter,Christmas & New Year,112.2886577181208,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-14,43.07,105.02,20.07,22.32,11.14,0.64,29.3,January,Winter,Christmas & New Year,103.67100671140939,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
2024-01-15,58.8,143.33,22.75,22.32,9.03,0.83,17.94,January,Winter,Christmas & New Year,129.12530201342284,Moderate,Jhansi,Uttar Pradesh,25.529855,78.6527802
