TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,70.21,138.87,11.17,36.14,9.42,1.03,17.49,January,Winter,Christmas & New Year,132.4410344827586,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-02,72.34,140.54,10.04,35.99,8.91,0.92,21.49,January,Winter,Christmas & New Year,139.71241379310345,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-03,124.24,193.76,14.6,56.09,11.98,1.08,18.35,January,Winter,Christmas & New Year,303.48651162790696,Very Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-04,98.83,151.9,13.15,45.4,9.71,0.85,21.9,January,Winter,Christmas & New Year,227.73,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-05,64.04,105.59,12.74,38.62,10.26,0.8,22.01,January,Winter,Christmas & New Year,111.37793103448278,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-06,99.87,160.12,14.58,39.89,10.12,0.95,20.34,January,Winter,Christmas & New Year,231.28034482758622,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-07,74.21,125.18,12.96,40.4,9.42,0.71,25.47,January,Winter,Christmas & New Year,146.0962068965517,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-08,80.72,139.72,15.14,41.18,10.14,0.81,25.57,January,Winter,Christmas & New Year,168.32,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-09,83.56,135.91,16.66,43.83,10.02,0.94,19.57,January,Winter,Christmas & New Year,178.0151724137931,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-10,82.77,140.78,22.23,49.41,10.31,0.82,21.44,January,Winter,Christmas & New Year,175.31827586206896,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-11,89.93,159.73,23.35,51.46,10.28,0.88,19.61,January,Winter,Christmas & New Year,199.76103448275865,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-12,111.56,204.96,24.5,56.87,11.3,1.06,21.57,January,Winter,Christmas & New Year,271.1875862068965,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-13,113.66,205.07,26.03,56.8,10.82,1.17,21.98,January,Winter,Christmas & New Year,278.35655172413794,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-14,126.18,210.98,24.11,54.64,10.48,1.29,19.11,January,Winter,Christmas & New Year,304.9753488372093,Very Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-15,63.21,115.79,18.67,46.23,10.32,0.92,20.43,January,Winter,Christmas & New Year,110.82691275167785,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-16,74.68,142.91,21.0,48.92,10.85,0.93,19.07,January,Winter,Christmas & New Year,147.70068965517243,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-17,64.47,122.97,19.11,47.34,10.0,0.81,20.15,January,Winter,Christmas & New Year,115.59751677852348,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-18,60.26,129.01,19.21,44.78,10.71,0.79,25.16,January,Winter,Christmas & New Year,119.61067114093959,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-19,64.6,125.78,19.81,47.12,11.01,0.72,19.67,January,Winter,Christmas & New Year,117.46456375838926,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-20,62.29,119.28,17.75,44.37,11.95,0.68,18.76,January,Winter,Christmas & New Year,113.14577181208054,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-21,74.56,147.52,19.03,46.08,11.49,0.78,23.22,January,Winter,Christmas & New Year,147.29103448275862,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-22,115.5,208.18,22.1,54.13,12.26,1.2,26.49,January,Winter,Christmas & New Year,284.6379310344828,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-23,122.38,211.83,21.19,52.33,11.38,1.24,20.71,January,Winter,Christmas & New Year,302.0590697674419,Very Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-24,66.13,137.96,24.11,50.68,14.08,1.14,23.1,January,Winter,Christmas & New Year,125.55731543624162,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-25,112.93,202.46,25.52,65.79,12.41,1.25,16.39,January,Winter,Christmas & New Year,275.86448275862074,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-26,99.12,185.88,25.04,57.29,11.68,1.51,21.15,January,Winter,Christmas & New Year,228.72000000000003,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-27,91.52,173.04,25.37,55.48,12.14,1.33,22.33,January,Winter,Christmas & New Year,202.7751724137931,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-28,81.65,147.59,22.4,52.79,11.25,1.2,20.01,January,Winter,Christmas & New Year,171.4948275862069,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-29,97.56,189.21,27.87,57.03,12.11,1.31,25.21,January,Winter,Christmas & New Year,223.3944827586207,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-30,121.89,246.5,31.5,63.51,13.76,1.75,24.6,January,Winter,Christmas & New Year,301.68302325581396,Very Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-01-31,106.98,222.08,32.68,67.55,12.81,1.57,25.56,January,Winter,Christmas & New Year,255.55241379310345,Poor,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-01,80.74,162.56,25.86,49.24,11.56,0.9,25.38,February,Winter,Winter Wedding,168.38827586206895,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-02,35.83,87.48,19.27,45.18,12.33,0.76,28.2,February,Winter,Winter Wedding,87.48,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-03,37.96,90.53,18.47,42.99,11.9,0.86,30.47,February,Winter,Winter Wedding,90.53,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-04,30.8,71.7,19.73,44.08,11.76,0.73,22.3,February,Winter,Winter Wedding,71.7,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-05,33.28,64.29,19.85,47.94,13.57,0.83,20.9,February,Winter,Winter Wedding,64.29,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-06,32.99,72.63,21.14,44.55,12.08,0.83,24.44,February,Winter,Winter Wedding,72.63,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-07,34.41,85.58,19.32,41.57,11.94,0.74,32.94,February,Winter,Winter Wedding,85.58,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-08,37.55,94.18,18.37,41.07,11.98,0.72,34.95,February,Winter,Winter Wedding,94.18,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-09,45.97,102.59,28.48,44.0,13.22,0.94,34.72,February,Winter,Winter Wedding,102.05644295302014,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-10,77.45,159.53,30.28,51.3,14.38,1.05,38.11,February,Winter,Winter Wedding,157.15689655172415,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-11,65.01,135.79,25.52,33.55,13.27,0.93,44.06,February,Winter,Winter Wedding,124.11550335570469,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-12,72.08,153.21,25.93,33.03,12.48,1.15,39.96,February,Winter,Winter Wedding,138.82482758620688,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-13,58.98,123.64,22.8,30.37,12.02,0.8,33.09,February,Winter,Winter Wedding,116.04268456375839,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-14,72.92,149.23,22.88,32.59,13.37,0.94,31.58,February,Winter,Winter Wedding,141.69241379310347,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-15,68.25,146.6,28.17,31.13,12.66,0.97,33.6,February,Winter,Winter Wedding,131.2979865771812,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-16,71.53,156.62,23.1,31.41,13.26,0.76,38.95,February,Winter,Winter Wedding,137.95557046979866,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-17,62.02,147.01,21.81,31.86,13.17,0.9,41.18,February,Winter,Winter Wedding,131.57040268456376,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-18,85.67,157.01,26.77,29.76,13.57,1.07,41.89,February,Winter,Winter Wedding,185.21827586206896,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-19,55.25,127.91,16.66,29.63,12.31,0.7,47.25,February,Winter,Winter Wedding,118.87979865771811,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-20,59.83,136.04,18.78,35.99,13.77,0.78,37.97,February,Winter,Winter Wedding,124.28161073825503,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-21,39.01,84.52,19.14,37.35,12.94,0.61,27.63,February,Winter,Winter Wedding,84.52,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-22,46.06,101.88,23.08,40.81,11.25,0.72,32.95,February,Winter,Winter Wedding,101.58469798657718,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-23,42.78,92.7,22.42,38.72,11.62,0.63,38.63,February,Winter,Winter Wedding,92.7,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-24,57.67,129.02,29.91,46.1,12.1,0.85,34.03,February,Winter,Winter Wedding,119.61731543624163,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-25,48.69,105.48,23.07,36.95,10.35,0.7,39.71,February,Winter,Winter Wedding,103.97664429530202,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-26,47.75,107.28,25.38,37.71,12.73,0.75,36.98,February,Winter,Winter Wedding,105.17261744966443,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-27,57.94,125.24,24.32,37.81,11.76,0.72,38.13,February,Winter,Winter Wedding,117.10577181208053,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-28,42.81,99.78,17.98,35.1,11.99,0.61,43.85,February,Winter,Winter Wedding,99.78,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-02-29,39.82,89.66,17.04,34.49,12.84,0.65,46.42,February,Winter,Winter Wedding,89.66,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-01,49.2,111.62,18.24,36.51,12.67,0.8,45.59,March,Summer,Holi Festival Season,108.05624161073825,Moderate,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-02,35.13,72.34,13.4,36.68,12.22,0.67,32.94,March,Summer,Holi Festival Season,72.34,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-03,17.76,34.69,11.48,33.35,13.14,0.62,29.54,March,Summer,Holi Festival Season,34.69,Good,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-04,21.19,42.42,11.82,33.09,11.92,0.68,26.75,March,Summer,Holi Festival Season,42.42,Good,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-05,30.99,70.16,12.58,30.94,12.15,0.71,35.39,March,Summer,Holi Festival Season,70.16,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-06,36.69,81.37,13.64,32.86,12.46,0.72,35.84,March,Summer,Holi Festival Season,81.37,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
2024-03-07,41.79,91.21,13.26,33.48,12.42,0.67,34.74,March,Summer,Holi Festival Season,91.21,Satisfactory,Lucknow,Uttar Pradesh,26.8381,80.9346001
