TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,84.53,130.01,24.62,27.62,14.22,0.95,18.12,January,Winter,Christmas & New Year,181.32655172413791,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-02,90.27,137.3,25.96,27.36,10.59,1.03,19.89,January,Winter,Christmas & New Year,125.11879194630873,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-03,89.96,128.31,26.74,27.44,10.3,1.11,14.56,January,Winter,Christmas & New Year,199.86344827586203,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-04,125.22,183.67,29.92,33.18,12.92,1.07,13.11,January,Winter,Christmas & New Year,304.2386046511628,Very Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-05,78.66,143.18,22.55,27.2,9.38,0.87,14.19,January,Winter,Christmas & New Year,161.28758620689655,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-06,103.65,185.91,27.72,28.38,10.56,0.98,15.57,January,Winter,Christmas & New Year,244.1844827586207,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-07,106.69,193.98,26.32,30.35,8.24,0.9,12.02,January,Winter,Christmas & New Year,254.56241379310345,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-08,81.54,131.1,23.89,28.28,9.49,1.06,12.58,January,Winter,Christmas & New Year,171.11931034482762,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-09,77.38,129.83,21.62,25.65,6.59,0.85,11.33,January,Winter,Christmas & New Year,156.91793103448273,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-10,94.2,161.68,24.29,31.58,8.0,0.91,12.67,January,Winter,Christmas & New Year,211.9241379310345,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-11,119.22,203.59,27.67,41.54,9.34,1.09,19.94,January,Winter,Christmas & New Year,297.33724137931034,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-12,135.39,237.91,31.97,38.71,10.84,1.14,19.2,January,Winter,Christmas & New Year,312.043488372093,Very Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-13,170.59,294.27,40.3,39.56,12.67,1.55,20.31,January,Winter,Christmas & New Year,339.05744186046513,Very Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-14,147.04,224.03,43.23,35.44,7.36,1.6,17.68,January,Winter,Christmas & New Year,320.98418604651164,Very Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-15,108.73,172.17,32.63,30.13,7.02,1.17,17.45,January,Winter,Christmas & New Year,261.52655172413796,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-16,103.59,142.18,24.76,29.38,7.15,1.32,13.53,January,Winter,Christmas & New Year,243.9796551724138,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-17,82.53,128.63,20.36,28.72,7.52,1.02,14.22,January,Winter,Christmas & New Year,174.4989655172414,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-18,68.68,107.37,23.66,33.12,8.32,1.13,14.82,January,Winter,Christmas & New Year,127.21793103448277,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-19,73.42,125.5,29.66,29.41,6.5,1.08,18.44,January,Winter,Christmas & New Year,143.3993103448276,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-20,112.75,201.38,43.8,32.58,11.05,1.64,33.03,January,Winter,Christmas & New Year,275.25,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-21,99.59,177.86,33.26,32.64,4.7,0.99,21.67,January,Winter,Christmas & New Year,230.3244827586207,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-22,93.5,164.94,22.45,29.23,6.93,1.18,20.82,January,Winter,Christmas & New Year,209.5344827586207,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-23,104.34,177.17,39.22,33.07,8.28,1.65,18.44,January,Winter,Christmas & New Year,246.54000000000002,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-24,114.8,220.57,40.02,35.37,7.59,1.62,18.14,January,Winter,Christmas & New Year,282.24827586206897,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-25,92.05,169.3,39.05,31.98,5.82,1.59,17.04,January,Winter,Christmas & New Year,204.58448275862068,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-26,122.16,202.7,45.95,39.3,9.92,1.66,29.02,January,Winter,Christmas & New Year,301.89023255813953,Very Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-27,87.73,177.01,35.27,40.04,6.15,1.24,32.37,January,Winter,Christmas & New Year,192.25068965517244,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-28,102.82,161.56,25.18,37.39,6.13,1.44,13.64,January,Winter,Christmas & New Year,241.3510344827586,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-29,109.51,197.49,43.22,43.12,13.3,1.64,26.76,January,Winter,Christmas & New Year,264.1893103448276,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-30,110.92,181.86,42.66,53.91,6.62,1.26,21.16,January,Winter,Christmas & New Year,269.00275862068963,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-01-31,120.48,172.11,42.27,65.74,14.41,1.47,22.9,January,Winter,Christmas & New Year,148.24758389261746,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-01,24.57,38.24,21.17,51.67,10.72,0.74,20.56,February,Winter,Winter Wedding,40.95,Good,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-02,41.32,76.67,28.96,42.38,18.44,0.83,21.42,February,Winter,Winter Wedding,76.67,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-03,44.76,99.1,37.57,38.16,17.58,0.92,22.64,February,Winter,Winter Wedding,99.1,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-04,36.05,59.44,23.07,39.62,13.77,0.74,27.91,February,Winter,Winter Wedding,59.53275862068965,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-05,41.9,72.8,18.27,50.48,13.07,0.75,22.34,February,Winter,Winter Wedding,72.8,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-06,28.87,68.96,22.74,32.82,10.62,0.71,10.57,February,Winter,Winter Wedding,68.96,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-07,41.69,92.85,26.44,31.79,13.3,0.68,12.88,February,Winter,Winter Wedding,92.85,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-08,39.35,96.83,26.74,30.71,17.23,0.75,12.2,February,Winter,Winter Wedding,96.83,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-09,59.22,114.29,36.48,37.48,20.74,1.03,8.91,February,Winter,Winter Wedding,109.83026845637585,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-10,93.18,156.07,41.6,47.05,15.4,1.07,10.31,February,Winter,Winter Wedding,208.44206896551725,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-11,77.5,136.79,36.81,45.61,16.97,0.91,10.58,February,Winter,Winter Wedding,157.32758620689654,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-12,98.15,172.29,48.99,53.76,25.83,1.17,11.03,February,Winter,Winter Wedding,225.40862068965518,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-13,110.44,189.96,51.55,56.13,23.25,1.11,10.42,February,Winter,Winter Wedding,267.36413793103446,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-14,112.31,188.24,47.58,57.85,17.03,1.04,9.62,February,Winter,Winter Wedding,273.74793103448275,Poor,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-15,80.16,145.69,36.55,48.75,19.89,1.19,27.94,February,Winter,Winter Wedding,166.40827586206893,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-16,68.82,131.22,35.48,41.27,13.41,1.23,59.51,February,Winter,Winter Wedding,127.6958620689655,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-17,61.76,127.56,39.09,39.01,11.97,1.08,57.94,February,Winter,Winter Wedding,118.64724832214765,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-18,88.2,171.4,44.3,45.73,15.06,1.4,56.98,February,Winter,Winter Wedding,193.85517241379313,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-19,80.92,163.48,19.93,49.34,9.54,1.21,69.69,February,Winter,Winter Wedding,169.00275862068966,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-20,66.28,110.17,22.53,47.75,9.8,1.21,50.26,February,Winter,Winter Wedding,119.0248275862069,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-21,66.76,123.92,22.08,44.81,9.96,1.16,40.44,February,Winter,Winter Wedding,120.6634482758621,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-22,36.99,110.91,25.08,29.6,12.99,0.81,42.77,February,Winter,Winter Wedding,107.5844966442953,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-23,32.57,85.99,29.97,24.33,13.95,0.84,48.18,February,Winter,Winter Wedding,85.99,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-24,47.45,112.46,43.27,27.0,17.78,1.07,46.26,February,Winter,Winter Wedding,108.61436241610738,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-25,48.58,111.35,31.08,28.35,18.59,1.02,55.33,February,Winter,Winter Wedding,107.87684563758388,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-26,40.77,105.53,38.09,28.22,17.81,1.13,45.56,February,Winter,Winter Wedding,104.00986577181209,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-27,35.18,87.45,29.13,30.73,12.26,1.0,48.24,February,Winter,Winter Wedding,87.45,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-28,39.0,96.8,23.78,31.59,15.13,1.0,51.11,February,Winter,Winter Wedding,96.8,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-02-29,39.42,88.05,26.8,33.0,17.65,0.99,52.5,February,Winter,Winter Wedding,88.05,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-03-01,58.9,132.89,36.05,38.7,16.53,1.35,69.61,March,Summer,Holi Festival Season,122.1886577181208,Moderate,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-03-02,23.89,48.31,14.13,37.48,12.19,0.88,45.78,March,Summer,Holi Festival Season,48.31,Good,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-03-03,17.57,35.06,12.98,33.69,10.14,0.85,32.84,March,Summer,Holi Festival Season,42.5,Good,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-03-04,14.74,51.62,18.21,23.12,11.98,0.74,46.5,March,Summer,Holi Festival Season,51.62,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
2024-03-05,26.65,74.5,18.14,23.81,13.01,0.82,59.8,March,Summer,Holi Festival Season,74.5,Satisfactory,Meerut,Uttar Pradesh,29.0018557,77.7679671
