TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,43.93,92.72,18.67,24.67,17.32,0.84,17.26,January,Winter,Christmas & New Year,92.72,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-02,60.07,132.02,19.72,24.62,17.34,1.05,19.35,January,Winter,Christmas & New Year,121.61060402684565,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-03,76.34,140.98,24.1,25.94,17.71,1.41,14.74,January,Winter,Christmas & New Year,153.36758620689656,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-04,65.9,124.63,22.41,26.42,18.36,1.44,15.48,January,Winter,Christmas & New Year,117.72758620689658,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-05,52.95,107.39,18.15,25.83,18.53,1.11,17.25,January,Winter,Christmas & New Year,105.24570469798658,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-06,56.25,116.19,17.82,25.84,18.5,0.99,18.66,January,Winter,Christmas & New Year,111.09268456375838,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-07,56.61,121.58,18.11,25.49,18.21,1.03,17.94,January,Winter,Christmas & New Year,114.67395973154362,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-08,38.92,78.95,17.24,24.94,18.27,0.88,17.54,January,Winter,Christmas & New Year,78.95,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-09,37.72,74.76,17.58,24.79,18.24,0.98,17.36,January,Winter,Christmas & New Year,74.76,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-10,54.25,116.77,18.85,25.01,18.27,0.82,17.5,January,Winter,Christmas & New Year,111.47805369127516,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-11,65.52,130.38,19.56,25.62,17.64,0.96,13.11,January,Winter,Christmas & New Year,120.52093959731543,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-12,82.32,183.89,21.52,25.35,17.85,1.29,11.8,January,Winter,Christmas & New Year,173.78206896551723,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-13,73.04,155.46,19.79,24.89,19.15,1.26,12.2,January,Winter,Christmas & New Year,142.10206896551728,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-14,74.13,138.16,21.55,24.98,19.71,1.57,12.42,January,Winter,Christmas & New Year,145.82310344827584,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-15,75.58,135.52,20.29,24.84,20.8,1.53,12.41,January,Winter,Christmas & New Year,150.77310344827586,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-16,77.87,148.95,21.56,22.96,19.74,1.37,15.06,January,Winter,Christmas & New Year,158.5906896551724,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-17,54.07,101.14,20.36,24.41,18.39,1.46,13.93,January,Winter,Christmas & New Year,101.09302013422818,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-18,40.93,77.5,17.77,23.71,17.2,1.03,21.05,January,Winter,Christmas & New Year,77.5,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-19,50.18,99.46,16.45,24.47,17.08,0.87,12.97,January,Winter,Christmas & New Year,99.46,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-20,56.02,112.53,18.71,23.52,17.35,0.86,13.16,January,Winter,Christmas & New Year,108.66087248322148,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-21,65.56,131.67,21.26,22.27,17.15,1.06,13.08,January,Winter,Christmas & New Year,121.37805369127516,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-22,67.17,135.16,18.59,21.46,18.9,0.79,13.5,January,Winter,Christmas & New Year,123.69691275167784,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-23,60.6,116.96,21.27,21.44,18.0,1.08,12.5,January,Winter,Christmas & New Year,111.60429530201341,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-24,71.02,147.76,21.06,18.99,18.82,1.11,13.75,January,Winter,Christmas & New Year,135.20620689655172,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-25,66.14,132.19,23.42,17.75,18.49,1.29,13.16,January,Winter,Christmas & New Year,121.72355704697986,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-26,87.5,163.82,24.32,18.02,19.37,1.56,13.33,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-27,79.45,154.2,21.75,17.9,19.51,1.25,13.2,January,Winter,Christmas & New Year,163.9844827586207,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-28,63.25,124.64,19.57,17.58,18.9,1.12,12.86,January,Winter,Christmas & New Year,116.70711409395973,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-29,70.78,156.76,20.91,17.28,20.92,1.18,14.26,January,Winter,Christmas & New Year,138.04859060402686,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-30,101.9,194.42,22.16,17.22,21.36,1.72,15.26,January,Winter,Christmas & New Year,238.21034482758623,Poor,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-01-31,79.28,159.27,20.18,16.8,20.78,1.41,16.23,January,Winter,Christmas & New Year,163.40413793103448,Moderate,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-01,20.82,42.24,15.86,17.44,20.01,0.54,19.95,February,Winter,Winter Wedding,42.24,Good,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-02,23.42,50.8,15.69,17.29,20.93,0.57,15.82,February,Winter,Winter Wedding,39.03333333333334,Good,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-03,32.93,72.38,16.57,16.36,20.21,0.6,15.9,February,Winter,Winter Wedding,72.38,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-04,31.58,62.57,15.14,15.72,20.4,0.61,17.64,February,Winter,Winter Wedding,62.57,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-05,33.08,65.79,16.21,16.56,20.89,0.61,23.26,February,Winter,Winter Wedding,65.79,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-06,27.9,68.34,17.44,20.24,19.81,0.54,15.71,February,Winter,Winter Wedding,68.34,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
2024-02-07,27.06,69.5,17.8,19.88,20.88,0.53,24.93,February,Winter,Winter Wedding,69.5,Satisfactory,Moradabad,Uttar Pradesh,28.8796553,78.8095335
