TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,98.07,123.23,34.06,27.24,11.65,1.33,15.33,January,Winter,Christmas & New Year,225.1355172413793,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-02,98.03,130.04,38.89,27.21,21.07,1.28,19.54,January,Winter,Christmas & New Year,224.99896551724137,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-03,117.02,141.9,38.6,31.48,14.56,1.45,20.61,January,Winter,Christmas & New Year,289.82689655172413,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-04,112.96,127.65,34.3,30.15,14.28,1.52,17.66,January,Winter,Christmas & New Year,275.9668965517241,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-05,87.48,104.47,31.02,26.9,16.78,1.22,19.55,January,Winter,Christmas & New Year,191.39724137931034,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-06,124.54,165.42,36.52,33.0,17.62,1.39,13.19,January,Winter,Christmas & New Year,303.7167441860465,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-07,112.15,142.74,32.5,31.35,17.3,1.3,14.6,January,Winter,Christmas & New Year,273.201724137931,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-08,88.91,105.08,33.04,27.46,10.89,1.31,14.32,January,Winter,Christmas & New Year,196.27896551724137,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-09,79.94,103.39,27.55,26.95,14.32,1.22,14.4,January,Winter,Christmas & New Year,165.65724137931034,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-10,112.6,143.11,31.95,33.74,16.44,1.09,17.62,January,Winter,Christmas & New Year,274.73793103448276,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-11,150.0,196.54,38.95,42.45,17.79,1.37,26.37,January,Winter,Christmas & New Year,323.25581395348837,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-12,169.42,227.15,44.29,41.15,20.08,1.66,13.68,January,Winter,Christmas & New Year,338.15953488372094,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-13,185.46,240.94,49.6,39.86,15.79,2.05,15.55,January,Winter,Christmas & New Year,350.4693023255814,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-14,159.92,184.61,43.75,36.19,19.83,1.91,15.78,January,Winter,Christmas & New Year,330.86883720930234,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-15,145.24,166.01,43.72,34.95,17.46,1.78,11.77,January,Winter,Christmas & New Year,319.60279069767444,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-16,155.77,189.05,52.33,39.85,19.54,2.27,10.04,January,Winter,Christmas & New Year,327.6839534883721,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-17,130.95,156.91,43.78,38.76,23.94,1.92,16.23,January,Winter,Christmas & New Year,308.6360465116279,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-18,132.92,155.61,42.09,37.28,15.33,1.84,14.14,January,Winter,Christmas & New Year,310.1479069767442,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-19,146.64,189.64,33.28,40.74,18.33,1.42,22.62,January,Winter,Christmas & New Year,320.6772093023256,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-20,117.18,147.38,43.15,28.41,18.6,1.6,30.91,January,Winter,Christmas & New Year,290.37310344827586,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-21,110.54,138.57,34.12,29.2,16.08,1.24,25.54,January,Winter,Christmas & New Year,267.7055172413793,Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-22,151.5,201.1,36.18,34.62,13.19,1.34,35.42,January,Winter,Christmas & New Year,324.40697674418607,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-23,155.95,190.03,41.83,33.98,16.72,1.55,13.98,January,Winter,Christmas & New Year,327.82209302325583,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-24,143.81,202.41,35.45,35.88,12.77,1.51,23.4,January,Winter,Christmas & New Year,318.5053488372093,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-25,122.11,152.99,30.19,32.34,5.34,1.45,22.45,January,Winter,Christmas & New Year,301.85186046511626,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-26,171.28,197.8,39.31,41.15,7.96,1.97,26.4,January,Winter,Christmas & New Year,339.586976744186,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-27,134.35,178.07,30.5,40.62,8.97,1.43,28.63,January,Winter,Christmas & New Year,311.2453488372093,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-28,135.01,154.35,23.97,42.48,6.91,1.7,9.93,January,Winter,Christmas & New Year,311.7518604651163,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-29,140.97,184.43,27.14,43.35,13.89,1.54,34.79,January,Winter,Christmas & New Year,316.32581395348836,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-30,145.52,160.87,30.76,44.03,11.85,1.51,28.35,January,Winter,Christmas & New Year,319.81767441860467,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-01-31,234.18,317.08,42.81,52.65,13.67,1.98,31.87,January,Winter,Christmas & New Year,387.85906976744184,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-01,52.04,66.08,16.99,29.71,5.59,0.83,27.93,February,Winter,Winter Wedding,86.5503448275862,Satisfactory,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-02,55.82,71.75,17.35,25.58,10.82,0.76,33.38,February,Winter,Winter Wedding,92.93724137931034,Satisfactory,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-03,58.96,83.57,26.21,23.91,6.09,0.96,31.23,February,Winter,Winter Wedding,98.24275862068966,Satisfactory,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-04,53.16,63.68,14.64,32.61,4.85,0.5,31.72,February,Winter,Winter Wedding,88.44275862068966,Satisfactory,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-05,60.73,85.3,16.16,30.21,7.33,0.69,27.09,February,Winter,Winter Wedding,85.3,Satisfactory,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-06,74.88,120.79,22.35,18.66,5.15,0.7,30.42,February,Winter,Winter Wedding,148.38344827586207,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-07,80.91,151.69,21.78,11.1,14.47,0.48,54.16,February,Winter,Winter Wedding,168.96862068965515,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-08,82.24,145.35,20.5,11.76,15.1,0.56,56.36,February,Winter,Winter Wedding,173.50896551724136,Moderate,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-09,128.3,209.06,32.31,13.05,21.86,0.82,52.55,February,Winter,Winter Wedding,306.60232558139535,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
2024-02-10,171.3,256.85,32.85,17.54,21.02,0.87,51.19,February,Winter,Winter Wedding,339.60232558139535,Very Poor,Muzaffarnagar,Uttar Pradesh,29.4496978,77.7429333
