TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,140.53,236.03,80.74,41.66,12.59,1.17,11.89,January,Winter,Christmas & New Year,315.9881395348837,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-02,136.65,249.74,75.92,39.5,11.19,1.21,14.94,January,Winter,Christmas & New Year,313.0104651162791,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-03,150.32,247.89,62.05,33.18,11.87,1.57,13.92,January,Winter,Christmas & New Year,323.5013953488372,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-04,184.22,310.83,65.96,35.1,11.78,1.26,9.07,January,Winter,Christmas & New Year,349.51767441860466,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-05,141.56,253.75,60.08,39.28,11.5,1.24,11.22,January,Winter,Christmas & New Year,316.77860465116277,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-06,146.49,259.23,59.23,38.14,12.15,1.47,17.13,January,Winter,Christmas & New Year,320.56209302325584,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-07,148.45,239.75,59.73,36.18,13.87,1.2,28.43,January,Winter,Christmas & New Year,322.06627906976746,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-08,214.01,374.64,70.74,34.59,13.83,1.45,20.66,January,Winter,Christmas & New Year,372.37976744186045,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-09,119.91,214.0,45.26,40.44,10.11,1.04,17.31,January,Winter,Christmas & New Year,299.69275862068963,Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-10,115.72,216.08,47.54,41.35,9.35,1.23,17.16,January,Winter,Christmas & New Year,285.3889655172414,Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-11,150.04,278.4,60.1,44.77,10.84,1.31,22.1,January,Winter,Christmas & New Year,323.286511627907,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-12,162.85,268.39,67.36,47.08,13.85,1.38,18.49,January,Winter,Christmas & New Year,333.11744186046514,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-13,314.61,455.19,84.96,49.11,11.27,2.51,17.97,January,Winter,Christmas & New Year,415.6694705882353,Severe,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-14,361.04,445.59,90.47,51.76,11.24,2.26,20.74,January,Winter,Christmas & New Year,420.98720000000003,Severe,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-15,173.87,260.37,77.75,49.03,13.52,1.6,20.19,January,Winter,Christmas & New Year,341.5746511627907,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-16,142.84,231.24,47.03,51.3,8.08,1.36,15.83,January,Winter,Christmas & New Year,317.76093023255817,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-17,116.08,207.31,38.83,47.83,9.61,1.13,22.54,January,Winter,Christmas & New Year,286.61793103448275,Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-18,89.21,160.6,43.86,42.41,7.91,1.17,16.84,January,Winter,Christmas & New Year,197.30310344827583,Moderate,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-19,139.23,171.1,47.36,37.08,7.86,1.14,15.84,January,Winter,Christmas & New Year,314.99046511627904,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-20,157.12,230.71,43.71,35.96,11.75,1.49,21.13,January,Winter,Christmas & New Year,328.72,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-21,162.41,252.42,52.77,38.78,10.5,1.46,15.76,January,Winter,Christmas & New Year,332.7797674418605,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-22,158.85,241.57,38.06,38.64,13.88,1.2,18.92,January,Winter,Christmas & New Year,330.04767441860463,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-23,181.89,266.23,42.7,43.14,12.68,1.57,22.29,January,Winter,Christmas & New Year,347.72953488372093,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-24,193.3,324.19,61.84,46.94,17.41,1.75,18.85,January,Winter,Christmas & New Year,356.48604651162793,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-25,169.13,295.62,65.45,49.13,13.73,1.78,19.3,January,Winter,Christmas & New Year,337.93697674418604,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-26,211.98,333.3,49.32,52.38,13.13,2.01,21.08,January,Winter,Christmas & New Year,370.8218604651163,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-27,133.78,243.77,64.7,45.53,12.17,1.97,18.22,January,Winter,Christmas & New Year,310.80790697674416,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-28,189.86,325.2,62.08,49.58,10.41,2.04,2.9,January,Winter,Christmas & New Year,353.84604651162795,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-29,135.92,257.58,42.7,54.2,13.71,1.84,21.45,January,Winter,Christmas & New Year,312.45023255813953,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-30,198.1,348.48,68.34,50.95,12.2,1.97,19.53,January,Winter,Christmas & New Year,360.1697674418605,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-01-31,176.12,218.73,53.47,51.81,13.72,1.69,17.14,January,Winter,Christmas & New Year,343.3013953488372,Very Poor,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-02-01,70.72,70.95,28.98,57.78,12.58,1.02,17.93,February,Winter,Winter Wedding,134.18206896551723,Moderate,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-02-02,90.3,150.2,44.48,54.27,12.55,1.32,17.93,February,Winter,Winter Wedding,133.68993288590605,Moderate,Noida,Uttar Pradesh,28.5706333,77.3272147
2024-02-03,76.79,181.63,62.07,43.5,13.87,1.41,15.66,February,Winter,Winter Wedding,154.9037931034483,Moderate,Noida,Uttar Pradesh,28.5706333,77.3272147
