TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,75.48,158.85,7.72,26.58,31.78,1.34,5.94,January,Winter,Christmas & New Year,150.43172413793104,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-02,71.65,150.64,7.26,28.25,27.69,1.5,6.05,January,Winter,Christmas & New Year,137.35689655172416,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-03,76.68,146.85,6.93,28.93,24.88,1.39,5.07,January,Winter,Christmas & New Year,154.528275862069,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-04,62.85,123.77,6.87,28.07,25.95,1.09,4.62,January,Winter,Christmas & New Year,116.12906040268456,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-05,70.77,138.83,6.92,27.7,26.74,0.82,5.57,January,Winter,Christmas & New Year,134.35275862068966,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-06,55.53,116.12,7.52,26.71,27.58,0.92,4.83,January,Winter,Christmas & New Year,111.0461744966443,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-07,53.35,112.14,7.95,24.78,26.76,0.75,6.79,January,Winter,Christmas & New Year,108.40174496644295,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-08,52.52,117.84,7.93,25.26,25.9,1.09,6.39,January,Winter,Christmas & New Year,112.18899328859061,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-09,57.97,131.44,7.96,24.78,27.61,1.05,7.39,January,Winter,Christmas & New Year,121.22523489932885,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-10,40.72,84.88,8.62,25.04,25.59,0.61,6.84,January,Winter,Christmas & New Year,84.88,Satisfactory,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-11,39.07,89.86,8.07,25.17,24.08,0.78,6.52,January,Winter,Christmas & New Year,89.86,Satisfactory,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-12,61.48,130.41,7.11,24.15,25.22,1.11,6.19,January,Winter,Christmas & New Year,120.54087248322148,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-13,52.46,121.55,7.18,23.39,24.24,1.12,8.83,January,Winter,Christmas & New Year,114.65402684563759,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-14,79.44,153.62,7.24,27.53,26.69,1.78,5.92,January,Winter,Christmas & New Year,163.9503448275862,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-15,62.94,138.81,7.09,22.27,25.77,1.02,7.96,January,Winter,Christmas & New Year,126.12208053691276,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
2024-01-16,61.25,125.59,7.95,21.97,24.99,1.07,8.08,January,Winter,Christmas & New Year,117.33832214765101,Moderate,Prayagraj,Uttar Pradesh,25.4381302,81.8338005
