TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,38.02,83.36,17.3,6.78,22.27,0.76,7.74,January,Winter,Christmas & New Year,83.36,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-02,55.1,123.63,20.18,8.13,23.35,1.77,8.32,January,Winter,Christmas & New Year,116.03604026845638,Moderate,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-03,52.69,112.06,19.16,9.03,23.36,1.52,7.6,January,Winter,Christmas & New Year,108.34859060402685,Moderate,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-04,32.12,85.5,17.21,9.2,23.53,1.34,7.97,January,Winter,Christmas & New Year,85.5,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-05,24.96,67.84,14.23,6.29,19.69,0.92,7.36,January,Winter,Christmas & New Year,67.84,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-06,20.66,56.55,14.6,6.06,16.64,0.75,9.29,January,Winter,Christmas & New Year,56.55,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-07,20.26,55.03,13.6,5.89,16.77,0.61,10.12,January,Winter,Christmas & New Year,55.03,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-08,20.06,55.67,17.06,6.93,17.43,0.73,11.62,January,Winter,Christmas & New Year,55.67,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-09,21.76,59.68,18.58,8.11,17.69,0.79,11.82,January,Winter,Christmas & New Year,59.68,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-10,15.72,42.04,12.81,5.63,17.08,0.43,10.18,January,Winter,Christmas & New Year,42.04,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-11,16.24,43.94,15.63,6.47,17.65,0.51,9.93,January,Winter,Christmas & New Year,43.94,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-12,24.66,64.46,17.12,7.35,18.03,0.73,9.69,January,Winter,Christmas & New Year,64.46,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-13,22.62,59.57,16.06,6.66,17.66,0.72,11.02,January,Winter,Christmas & New Year,59.57,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-14,23.22,61.83,15.19,6.41,17.34,0.79,8.26,January,Winter,Christmas & New Year,61.83,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-15,27.28,70.04,14.22,6.09,17.4,0.72,11.24,January,Winter,Christmas & New Year,70.04,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-16,28.56,75.84,14.96,6.65,17.21,0.85,8.63,January,Winter,Christmas & New Year,75.84,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-17,21.64,59.02,11.69,5.9,16.73,0.4,9.34,January,Winter,Christmas & New Year,59.02,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-18,20.86,56.54,12.72,6.11,16.84,0.45,9.75,January,Winter,Christmas & New Year,56.54,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-19,23.46,62.96,12.98,6.07,17.1,0.76,11.36,January,Winter,Christmas & New Year,62.96,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-20,24.66,66.21,14.38,6.01,17.1,1.07,9.97,January,Winter,Christmas & New Year,66.21,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-21,22.67,60.57,13.02,4.44,16.63,0.61,9.94,January,Winter,Christmas & New Year,60.57,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-22,33.66,89.12,15.24,4.97,16.89,1.19,9.57,January,Winter,Christmas & New Year,89.12,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-23,25.87,69.76,14.54,5.65,17.07,0.96,9.47,January,Winter,Christmas & New Year,69.76,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-24,24.62,69.16,11.59,6.64,16.81,0.9,8.14,January,Winter,Christmas & New Year,69.16,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-25,28.22,78.16,10.75,6.4,17.13,0.86,9.33,January,Winter,Christmas & New Year,78.16,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-26,27.17,74.26,11.46,7.73,17.08,0.88,9.07,January,Winter,Christmas & New Year,74.26,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-27,26.94,73.76,12.78,7.33,18.01,1.3,12.31,January,Winter,Christmas & New Year,73.76,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-28,25.78,68.55,12.14,6.81,17.3,1.24,10.96,January,Winter,Christmas & New Year,68.55,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-29,24.58,66.27,11.17,5.43,17.36,0.5,11.68,January,Winter,Christmas & New Year,66.27,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-30,28.96,79.2,16.19,6.99,18.18,0.95,11.34,January,Winter,Christmas & New Year,79.2,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-01-31,32.72,92.44,21.21,12.47,18.38,1.28,13.04,January,Winter,Christmas & New Year,92.44,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-01,17.87,52.44,10.62,6.31,17.26,0.49,20.68,February,Winter,Winter Wedding,52.44,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-02,17.14,52.43,9.03,5.36,17.42,0.68,33.94,February,Winter,Winter Wedding,52.43,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-03,11.53,34.12,7.3,4.22,17.32,0.34,23.27,February,Winter,Winter Wedding,34.12,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-04,16.68,39.72,7.7,3.47,17.3,0.35,22.17,February,Winter,Winter Wedding,39.72,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-05,17.9,29.99,7.27,3.79,17.2,0.47,29.97,February,Winter,Winter Wedding,29.99,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-06,19.2,34.91,6.83,4.26,16.82,0.34,35.46,February,Winter,Winter Wedding,35.46,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-07,21.87,45.19,7.67,4.84,16.76,0.31,41.85,February,Winter,Winter Wedding,45.19,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-08,21.02,45.8,7.36,4.14,16.85,0.25,13.95,February,Winter,Winter Wedding,45.8,Good,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-09,31.84,69.02,13.58,4.05,17.56,0.65,14.45,February,Winter,Winter Wedding,69.02,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-10,57.55,118.32,11.19,5.48,17.8,1.05,18.61,February,Winter,Winter Wedding,112.50791946308725,Moderate,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-11,60.44,117.29,11.24,6.51,18.2,1.28,24.97,February,Winter,Winter Wedding,111.82355704697987,Moderate,Varanasi,Uttar Pradesh,25.3356491,83.0076292
2024-02-12,35.94,78.15,10.91,7.35,18.54,1.41,17.29,February,Winter,Winter Wedding,78.15,Satisfactory,Varanasi,Uttar Pradesh,25.3356491,83.0076292
