TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01,38.02,77.08,2.02,12.03,28.21,1.05,24.93,January,Winter,Christmas & New Year,77.08,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-02,43.8,88.62,2.04,12.48,28.4,1.32,25.68,January,Winter,Christmas & New Year,88.62,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-03,35.35,71.53,2.01,12.64,29.35,1.67,25.16,January,Winter,Christmas & New Year,82.03333333333333,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-04,54.42,110.19,1.99,13.56,28.67,1.34,24.8,January,Winter,Christmas & New Year,107.10610738255033,Moderate,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-05,41.97,84.9,2.01,12.4,27.7,1.01,24.78,January,Winter,Christmas & New Year,84.9,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-06,40.73,82.3,2.04,11.94,27.54,1.27,24.36,January,Winter,Christmas & New Year,82.3,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-07,43.35,87.79,2.06,11.53,27.61,1.47,24.35,January,Winter,Christmas & New Year,87.79,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-08,33.77,68.4,2.03,11.39,27.57,1.38,24.97,January,Winter,Christmas & New Year,68.4,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-09,35.55,71.94,2.03,12.2,28.03,1.44,24.7,January,Winter,Christmas & New Year,71.94,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-10,30.93,62.57,2.03,11.71,28.03,0.77,24.8,January,Winter,Christmas & New Year,62.57,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
2024-01-11,38.82,78.55,2.06,10.55,27.83,1.39,24.77,January,Winter,Christmas & New Year,78.55,Satisfactory,Vrindavan,Uttar Pradesh,27.5753726,77.6938045
