TIMESTAMP,PM2.5,PM10,NO2,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,122.6,134.92,5.31,1.02,2.09,0.03,January,Winter,Christmas & New Year,302.2279069767442,Very Poor,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 01:00:00,114.88,130.0,4.8,1.03,2.03,0.05,January,Winter,Christmas & New Year,282.5213793103448,Poor,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 02:00:00,111.74,122.87,4.56,0.99,1.96,0.02,January,Winter,Christmas & New Year,271.8020689655172,Poor,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 03:00:00,103.71,109.44,4.46,0.92,1.95,0.02,January,Winter,Christmas & New Year,244.38931034482755,Poor,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 04:00:00,91.02,97.88,4.24,0.88,1.82,0.06,January,Winter,Christmas & New Year,201.06827586206896,Poor,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 05:00:00,82.69,83.19,3.37,0.85,1.75,0.06,January,Winter,Christmas & New Year,175.0451724137931,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 06:00:00,66.23,68.86,3.12,0.94,1.76,0.06,January,Winter,Christmas & New Year,118.8541379310345,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 07:00:00,69.95,78.6,3.51,0.82,1.72,0.06,January,Winter,Christmas & New Year,131.55344827586208,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 08:00:00,75.89,82.97,3.57,0.85,1.69,0.06,January,Winter,Christmas & New Year,151.83137931034483,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 09:00:00,81.93,97.21,3.88,1.0,1.77,0.22,January,Winter,Christmas & New Year,172.45068965517243,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 10:00:00,69.83,113.77,5.39,0.96,1.79,1.23,January,Winter,Christmas & New Year,131.14379310344827,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
2024-01-01 11:00:00,75.4,149.01,5.09,1.06,1.69,4.92,January,Winter,Christmas & New Year,150.1586206896552,Moderate,Dehradun,Uttarakhand,30.3255646,78.0436813
