TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 01:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 02:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 03:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 04:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 05:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 06:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 07:00:00,41.715,86.3,10.74,25.78,6.11,0.62,11.79,January,Winter,Christmas & New Year,86.3,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 08:00:00,60.64,72.12,22.66,31.08,6.28,0.92,3.03,January,Winter,Christmas & New Year,72.12,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
2024-01-01 09:00:00,56.9,72.86,26.12,31.2,6.5,0.88,3.64,January,Winter,Christmas & New Year,94.76206896551724,Satisfactory,Kashipur,Uttarakhand,29.2117573,78.9617306
