TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,63.35,124.08,30.4,27.43,6.18,0.64,23.74,January,Winter,Christmas & New Year,116.33503355704698,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 01:00:00,60.48,115.44,26.68,26.98,5.93,0.6,26.26,January,Winter,Christmas & New Year,110.59436241610739,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 02:00:00,53.29,105.75,24.84,23.4,6.94,0.26,25.78,January,Winter,Christmas & New Year,104.15604026845638,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 03:00:00,54.96,98.56,26.68,23.95,8.35,0.42,22.32,January,Winter,Christmas & New Year,98.56,Satisfactory,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 04:00:00,53.65,98.89,23.55,25.72,6.96,0.7,24.98,January,Winter,Christmas & New Year,98.89,Satisfactory,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 05:00:00,50.86,97.49,21.27,24.47,6.37,0.58,31.71,January,Winter,Christmas & New Year,97.49,Satisfactory,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 06:00:00,53.14,96.44,23.24,21.67,7.42,0.58,27.03,January,Winter,Christmas & New Year,96.44,Satisfactory,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 07:00:00,55.13,107.95,23.78,22.3,8.22,0.87,27.63,January,Winter,Christmas & New Year,105.61778523489933,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 08:00:00,65.82,119.51,26.52,25.64,7.35,0.96,33.43,January,Winter,Christmas & New Year,117.45448275862067,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 09:00:00,72.08,135.18,28.89,25.55,8.44,0.87,46.76,January,Winter,Christmas & New Year,138.82482758620688,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 10:00:00,73.58,138.62,25.98,23.16,11.7,0.63,58.32,January,Winter,Christmas & New Year,143.94551724137932,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 11:00:00,80.42,147.66,31.15,25.35,19.05,0.84,61.7,January,Winter,Christmas & New Year,167.2958620689655,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 12:00:00,80.51,149.81,50.36,22.22,38.09,0.51,48.48,January,Winter,Christmas & New Year,167.60310344827587,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 13:00:00,71.84,134.82,58.89,25.16,44.97,0.6,49.99,January,Winter,Christmas & New Year,138.00551724137932,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 14:00:00,60.5,124.96,40.36,22.72,24.76,0.64,65.29,January,Winter,Christmas & New Year,116.91973154362415,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 15:00:00,60.57,122.01,41.29,22.87,28.62,0.63,65.36,January,Winter,Christmas & New Year,114.9596644295302,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 16:00:00,56.98,110.47,39.41,21.49,13.88,0.62,56.04,January,Winter,Christmas & New Year,107.29214765100672,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 17:00:00,55.36,114.13,45.7,25.52,11.86,0.82,42.43,January,Winter,Christmas & New Year,109.72395973154362,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 18:00:00,54.76,114.26,60.26,24.9,14.97,0.58,26.18,January,Winter,Christmas & New Year,109.8103355704698,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 19:00:00,63.78,122.45,60.8,25.52,13.26,0.67,19.93,January,Winter,Christmas & New Year,115.25201342281879,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 20:00:00,62.18,120.76,60.42,27.24,11.4,1.11,18.88,January,Winter,Christmas & New Year,114.12912751677852,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 21:00:00,63.94,122.03,50.81,27.9,10.55,1.17,24.06,January,Winter,Christmas & New Year,114.97295302013423,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 22:00:00,61.99,124.18,36.82,24.11,8.67,0.48,29.92,January,Winter,Christmas & New Year,116.40147651006711,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-01 23:00:00,63.98,124.57,29.64,24.1,8.61,0.37,36.98,January,Winter,Christmas & New Year,116.66060402684563,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 00:00:00,71.08,124.0,26.56,25.5,7.09,0.89,37.0,January,Winter,Christmas & New Year,135.41103448275862,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 01:00:00,68.54,130.37,28.62,25.24,6.7,0.88,31.43,January,Winter,Christmas & New Year,126.74000000000002,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 02:00:00,70.2,127.78,26.53,21.68,7.4,0.61,34.56,January,Winter,Christmas & New Year,132.40689655172415,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 03:00:00,77.59,136.0,26.36,21.6,8.48,0.9,30.19,January,Winter,Christmas & New Year,157.6348275862069,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 04:00:00,79.26,139.24,26.72,24.01,7.7,0.81,30.48,January,Winter,Christmas & New Year,163.33586206896553,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 05:00:00,77.31,140.28,26.29,25.51,7.2,1.0,27.39,January,Winter,Christmas & New Year,156.67896551724138,Moderate,Asansol,West Bengal,23.6871297,86.9746587
2024-01-02 06:00:00,78.02,144.84,27.54,25.65,6.96,0.88,24.14,January,Winter,Christmas & New Year,159.10275862068966,Moderate,Asansol,West Bengal,23.6871297,86.9746587
