TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,58.75,107.2,24.46,14.64,30.44,0.91,4.29,January,Winter,Christmas & New Year,105.11946308724832,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 01:00:00,59.13,115.28,23.15,14.33,29.27,0.86,6.0,January,Winter,Christmas & New Year,110.48805369127517,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 02:00:00,58.02,118.33,20.43,14.39,29.77,0.86,7.62,January,Winter,Christmas & New Year,112.51456375838926,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 03:00:00,54.4,111.83,19.33,13.86,32.86,0.89,6.01,January,Winter,Christmas & New Year,108.19577181208054,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 04:00:00,54.33,105.48,18.6,14.18,30.93,0.85,4.53,January,Winter,Christmas & New Year,103.97664429530202,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 05:00:00,48.98,99.98,18.62,14.32,29.6,0.8,4.9,January,Winter,Christmas & New Year,99.98,Satisfactory,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 06:00:00,46.17,82.76,18.92,14.04,31.13,0.74,2.84,January,Winter,Christmas & New Year,82.76,Satisfactory,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 07:00:00,42.6,88.57,19.15,14.24,29.54,0.75,4.86,January,Winter,Christmas & New Year,88.57,Satisfactory,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 08:00:00,45.93,90.02,19.66,13.87,29.61,0.76,9.22,January,Winter,Christmas & New Year,90.02,Satisfactory,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 09:00:00,49.67,94.37,18.33,13.84,29.76,0.82,21.13,January,Winter,Christmas & New Year,94.37,Satisfactory,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 10:00:00,53.65,110.82,17.44,13.62,27.05,0.79,32.1,January,Winter,Christmas & New Year,107.52469798657718,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 11:00:00,54.58,106.72,16.52,13.12,32.06,0.72,33.91,January,Winter,Christmas & New Year,104.80053691275168,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 12:00:00,57.62,107.78,18.6,13.79,29.42,0.72,36.01,January,Winter,Christmas & New Year,105.5048322147651,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 13:00:00,64.97,106.38,23.64,14.33,29.74,0.72,28.72,January,Winter,Christmas & New Year,114.55275862068964,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 14:00:00,67.5,117.04,20.36,13.74,30.27,0.6,32.86,January,Winter,Christmas & New Year,123.1896551724138,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
2024-01-01 15:00:00,63.28,116.26,21.3,13.89,32.06,0.6,26.87,January,Winter,Christmas & New Year,111.13919463087248,Moderate,Durgapur,West Bengal,23.5350475,87.3380425
