TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,78.33,200.52,27.44,15.51,31.42,1.71,21.32,January,Winter,Christmas & New Year,167.12402684563762,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 01:00:00,76.52,203.1,27.22,15.75,5.91,1.78,20.49,January,Winter,Christmas & New Year,168.83825503355706,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 02:00:00,74.99,204.02,30.86,16.34,16.66,1.79,20.56,January,Winter,Christmas & New Year,169.4495302013423,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 03:00:00,76.11,197.27,37.42,17.46,21.68,1.82,19.8,January,Winter,Christmas & New Year,164.96463087248324,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 04:00:00,69.9,203.74,37.32,17.46,19.55,1.78,20.54,January,Winter,Christmas & New Year,169.26348993288593,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 05:00:00,61.02,186.97,36.14,17.32,30.26,1.75,18.81,January,Winter,Christmas & New Year,158.1210067114094,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 06:00:00,63.93,187.39,36.32,17.64,11.83,1.75,20.1,January,Winter,Christmas & New Year,158.40006711409396,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 07:00:00,62.8,182.07,32.76,17.68,13.3,1.72,21.26,January,Winter,Christmas & New Year,154.86530201342282,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 08:00:00,64.22,163.95,31.36,17.32,16.88,1.6,21.99,January,Winter,Christmas & New Year,142.8258389261745,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 09:00:00,61.42,179.77,24.03,15.69,19.1,1.52,22.8,January,Winter,Christmas & New Year,153.33711409395974,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 10:00:00,59.0,154.74,22.19,15.18,7.13,1.5,31.49,January,Winter,Christmas & New Year,136.70644295302014,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 11:00:00,53.77,138.12,21.52,14.94,14.22,1.53,34.52,January,Winter,Christmas & New Year,125.66362416107383,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 12:00:00,58.78,151.33,21.41,14.82,12.48,1.42,27.97,January,Winter,Christmas & New Year,134.44073825503358,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 13:00:00,61.14,150.45,23.42,15.11,18.87,1.28,27.63,January,Winter,Christmas & New Year,133.85604026845635,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 14:00:00,53.28,141.98,28.71,15.9,37.86,1.2,31.0,January,Winter,Christmas & New Year,128.228322147651,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 15:00:00,51.54,116.38,17.58,14.16,12.39,1.17,33.88,January,Winter,Christmas & New Year,111.21892617449664,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 16:00:00,45.97,122.48,19.68,14.45,14.97,1.2,26.69,January,Winter,Christmas & New Year,115.27194630872484,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 17:00:00,51.54,133.14,24.85,15.26,15.56,1.36,22.96,January,Winter,Christmas & New Year,122.35476510067113,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 18:00:00,55.56,147.66,29.65,16.12,14.07,1.59,21.74,January,Winter,Christmas & New Year,132.00228187919464,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 19:00:00,67.27,170.27,29.92,16.18,9.72,1.64,20.43,January,Winter,Christmas & New Year,147.02503355704698,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 20:00:00,68.2,202.65,29.67,16.22,11.88,1.78,20.28,January,Winter,Christmas & New Year,168.53926174496644,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 21:00:00,73.45,190.84,38.02,19.88,19.84,1.94,20.92,January,Winter,Christmas & New Year,160.6923489932886,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 22:00:00,73.5,201.06,33.37,17.63,53.45,1.78,21.46,January,Winter,Christmas & New Year,167.48281879194633,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-01 23:00:00,70.08,204.08,25.16,15.66,44.96,1.71,19.7,January,Winter,Christmas & New Year,169.4893959731544,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 00:00:00,88.68,185.87,24.3,15.52,15.33,1.7,19.9,January,Winter,Christmas & New Year,195.4937931034483,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 01:00:00,73.29,174.87,22.77,15.34,12.18,1.72,20.73,January,Winter,Christmas & New Year,150.08140939597317,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 02:00:00,63.36,178.24,24.0,15.53,14.02,1.74,20.38,January,Winter,Christmas & New Year,152.3205369127517,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 03:00:00,62.11,162.94,24.05,15.54,23.9,1.78,20.9,January,Winter,Christmas & New Year,142.15476510067114,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 04:00:00,54.42,161.84,30.46,16.49,11.1,1.72,19.43,January,Winter,Christmas & New Year,141.42389261744967,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 05:00:00,58.57,163.82,29.82,16.45,14.31,1.72,20.07,January,Winter,Christmas & New Year,142.7394630872483,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 06:00:00,59.07,166.1,27.9,16.17,19.25,1.7,19.73,January,Winter,Christmas & New Year,144.25436241610737,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 07:00:00,58.28,176.47,30.72,16.98,11.56,1.79,21.62,January,Winter,Christmas & New Year,151.14449664429532,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 08:00:00,68.48,191.51,29.68,16.57,57.3,1.61,21.36,January,Winter,Christmas & New Year,161.1375167785235,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 09:00:00,62.11,177.14,23.98,15.52,15.02,1.52,26.44,January,Winter,Christmas & New Year,151.5896644295302,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 10:00:00,64.63,155.55,20.98,14.92,20.51,1.36,24.97,January,Winter,Christmas & New Year,137.24463087248324,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 11:00:00,57.21,148.17,23.13,15.12,18.52,1.3,27.78,January,Winter,Christmas & New Year,132.34114093959732,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 12:00:00,47.94,135.19,21.03,14.7,23.0,1.19,28.17,January,Winter,Christmas & New Year,123.71684563758389,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 13:00:00,52.14,121.04,19.35,14.38,6.43,1.18,48.3,January,Winter,Christmas & New Year,114.3151677852349,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 14:00:00,46.96,111.16,20.54,14.56,16.8,0.84,77.36,January,Winter,Christmas & New Year,107.75060402684564,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 15:00:00,24.45,62.08,19.72,15.99,11.04,0.92,54.99,January,Winter,Christmas & New Year,62.08,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 16:00:00,24.45,62.08,20.33,13.89,14.91,1.1,38.09,January,Winter,Christmas & New Year,62.08,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 17:00:00,65.81,86.15,21.87,14.1,7.37,1.26,27.68,January,Winter,Christmas & New Year,117.4203448275862,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 18:00:00,62.36,120.3,27.32,14.8,21.77,1.53,25.08,January,Winter,Christmas & New Year,113.8234899328859,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 19:00:00,64.52,146.38,32.24,15.42,22.35,1.81,21.22,January,Winter,Christmas & New Year,131.1518120805369,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 20:00:00,65.62,180.47,33.38,15.58,9.66,1.83,19.73,January,Winter,Christmas & New Year,153.80221476510067,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 21:00:00,71.25,186.91,32.46,15.5,14.08,1.76,19.78,January,Winter,Christmas & New Year,158.08114093959733,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 22:00:00,72.53,168.04,30.82,15.57,10.76,1.72,19.57,January,Winter,Christmas & New Year,145.543355704698,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-02 23:00:00,74.73,178.26,31.83,16.19,17.71,1.62,19.91,January,Winter,Christmas & New Year,152.3338255033557,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 00:00:00,74.08,174.87,37.16,16.46,17.87,1.59,17.98,January,Winter,Christmas & New Year,150.08140939597317,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 01:00:00,67.81,179.59,35.05,16.21,18.18,1.64,19.68,January,Winter,Christmas & New Year,153.2175167785235,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 02:00:00,61.44,172.33,36.93,16.53,16.18,1.67,18.54,January,Winter,Christmas & New Year,148.39375838926176,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 03:00:00,62.3,160.48,39.82,16.92,9.04,1.69,19.14,January,Winter,Christmas & New Year,140.52026845637585,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 04:00:00,71.23,162.74,40.33,17.12,20.38,1.64,17.87,January,Winter,Christmas & New Year,142.02187919463088,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 05:00:00,67.39,182.58,31.63,16.22,12.14,1.6,18.35,January,Winter,Christmas & New Year,155.2041610738255,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 06:00:00,62.72,184.08,29.19,15.79,11.69,1.66,19.49,January,Winter,Christmas & New Year,156.20080536912752,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 07:00:00,65.34,173.76,30.11,16.06,10.78,1.68,22.55,January,Winter,Christmas & New Year,149.34389261744965,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 08:00:00,65.95,157.64,27.32,15.51,15.66,1.56,23.97,January,Winter,Christmas & New Year,138.63328859060402,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 09:00:00,58.06,141.28,21.94,14.86,19.1,1.38,22.8,January,Winter,Christmas & New Year,127.76322147651007,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 10:00:00,51.76,120.8,22.78,14.48,11.42,1.27,26.02,January,Winter,Christmas & New Year,114.15570469798658,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 11:00:00,48.32,107.6,22.83,14.29,45.4,1.21,35.09,January,Winter,Christmas & New Year,105.38523489932885,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 12:00:00,44.4,111.02,19.34,14.0,15.79,1.19,40.06,January,Winter,Christmas & New Year,107.65758389261745,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 13:00:00,37.92,82.16,16.76,13.61,17.88,1.15,59.52,January,Winter,Christmas & New Year,82.16,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 14:00:00,32.96,81.92,18.26,13.44,20.63,0.76,33.78,January,Winter,Christmas & New Year,81.92,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 15:00:00,31.93,77.51,17.71,13.48,16.66,0.75,28.74,January,Winter,Christmas & New Year,77.51,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 16:00:00,35.98,66.7,20.89,13.75,6.34,0.81,29.46,January,Winter,Christmas & New Year,66.7,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 17:00:00,34.89,81.64,25.32,14.65,13.63,0.98,23.26,January,Winter,Christmas & New Year,81.64,Satisfactory,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 18:00:00,39.05,118.49,36.89,16.29,9.67,1.33,21.23,January,Winter,Christmas & New Year,112.62087248322148,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 19:00:00,44.9,178.88,61.82,20.3,17.61,1.62,21.18,January,Winter,Christmas & New Year,152.74577181208053,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 20:00:00,64.56,214.96,51.1,18.82,25.42,1.72,20.61,January,Winter,Christmas & New Year,176.71838926174496,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 21:00:00,75.83,213.16,40.94,17.57,11.4,1.63,20.55,January,Winter,Christmas & New Year,175.52241610738255,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 22:00:00,74.12,203.63,45.06,23.28,16.18,1.82,19.83,January,Winter,Christmas & New Year,169.19040268456376,Moderate,Haldia,West Bengal,22.028124,88.0632655
2024-01-03 23:00:00,77.24,198.5,38.06,21.25,12.35,1.6,19.41,January,Winter,Christmas & New Year,165.78187919463087,Moderate,Haldia,West Bengal,22.028124,88.0632655
