TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,85.26,178.2,29.5,30.07,7.77,1.21,11.67,January,Winter,Christmas & New Year,183.81862068965518,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 01:00:00,88.12,178.06,24.0,28.94,7.63,1.04,13.49,January,Winter,Christmas & New Year,193.58206896551724,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 02:00:00,89.12,174.97,17.58,28.34,7.33,0.93,17.38,January,Winter,Christmas & New Year,196.99586206896555,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 03:00:00,81.28,163.89,16.25,28.67,7.55,0.88,19.57,January,Winter,Christmas & New Year,170.23172413793105,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 04:00:00,76.15,153.11,13.97,27.45,7.25,0.85,19.75,January,Winter,Christmas & New Year,152.7189655172414,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 05:00:00,73.04,140.75,13.28,27.07,7.04,0.82,19.51,January,Winter,Christmas & New Year,142.10206896551728,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 06:00:00,70.43,134.54,16.94,27.61,8.01,0.87,14.68,January,Winter,Christmas & New Year,133.19206896551725,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 07:00:00,70.62,134.76,23.34,29.15,17.05,0.95,11.79,January,Winter,Christmas & New Year,133.8406896551724,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 08:00:00,72.65,141.6,22.35,28.44,21.04,0.93,17.16,January,Winter,Christmas & New Year,140.77068965517242,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 09:00:00,76.54,151.09,22.11,28.44,16.0,0.9,26.41,January,Winter,Christmas & New Year,154.05034482758623,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 10:00:00,77.94,163.69,24.59,29.4,17.01,0.91,38.66,January,Winter,Christmas & New Year,158.8296551724138,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 11:00:00,80.53,171.26,21.67,27.88,16.21,0.89,49.82,January,Winter,Christmas & New Year,167.67137931034483,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 12:00:00,82.52,177.48,18.74,28.1,13.36,0.83,56.47,January,Winter,Christmas & New Year,174.46482758620687,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 13:00:00,84.32,173.44,18.72,29.67,17.56,0.82,59.17,January,Winter,Christmas & New Year,180.60965517241377,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 14:00:00,79.33,165.53,17.48,28.49,19.16,0.8,63.34,January,Winter,Christmas & New Year,163.57482758620688,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 15:00:00,80.72,169.93,18.97,28.33,23.64,0.74,57.91,January,Winter,Christmas & New Year,168.32,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 16:00:00,77.33,163.27,24.77,27.29,26.35,0.7,46.48,January,Winter,Christmas & New Year,156.74724137931034,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 17:00:00,77.81,160.79,36.36,28.77,18.33,0.83,27.05,January,Winter,Christmas & New Year,158.38586206896554,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 18:00:00,78.07,163.93,41.88,30.48,13.66,0.96,17.82,January,Winter,Christmas & New Year,159.27344827586205,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 19:00:00,80.66,171.1,44.56,31.93,11.58,1.17,10.42,January,Winter,Christmas & New Year,168.1151724137931,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 20:00:00,82.17,179.16,46.74,32.61,10.39,1.47,9.54,January,Winter,Christmas & New Year,173.27,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 21:00:00,87.75,194.12,46.18,34.91,9.86,1.77,8.46,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 22:00:00,95.32,210.39,45.43,34.95,9.43,1.89,8.02,January,Winter,Christmas & New Year,215.74758620689653,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-01 23:00:00,100.34,221.03,42.61,36.99,8.95,2.03,7.36,January,Winter,Christmas & New Year,232.8848275862069,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 00:00:00,106.17,226.08,41.18,39.23,8.87,1.92,7.31,January,Winter,Christmas & New Year,252.78724137931036,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 01:00:00,106.65,226.2,37.22,36.8,8.02,1.66,7.88,January,Winter,Christmas & New Year,254.42586206896553,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 02:00:00,102.72,215.02,26.38,32.65,7.67,1.28,11.88,January,Winter,Christmas & New Year,241.00965517241377,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 03:00:00,95.52,189.31,21.43,30.92,6.72,1.09,12.74,January,Winter,Christmas & New Year,216.4303448275862,Poor,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 04:00:00,84.43,167.36,20.86,30.01,7.11,1.01,12.37,January,Winter,Christmas & New Year,180.98517241379312,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 05:00:00,78.57,160.64,16.88,28.37,7.66,0.88,11.85,January,Winter,Christmas & New Year,160.98034482758618,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 06:00:00,76.36,157.15,21.07,28.64,8.02,0.91,10.64,January,Winter,Christmas & New Year,153.43586206896552,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 07:00:00,80.43,159.17,26.15,29.87,11.81,0.95,9.9,January,Winter,Christmas & New Year,167.33000000000004,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 08:00:00,81.48,165.5,27.46,28.46,21.98,0.93,13.7,January,Winter,Christmas & New Year,170.9144827586207,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 09:00:00,84.17,175.48,24.02,27.77,15.28,0.85,21.38,January,Winter,Christmas & New Year,180.09758620689655,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 10:00:00,87.27,179.72,22.54,29.51,17.76,0.77,35.3,January,Winter,Christmas & New Year,190.6803448275862,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 11:00:00,86.92,177.52,20.15,29.69,25.16,0.65,54.57,January,Winter,Christmas & New Year,189.4855172413793,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 12:00:00,78.63,162.84,15.66,28.56,16.7,0.52,63.12,January,Winter,Christmas & New Year,161.18517241379308,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 13:00:00,70.78,147.4,15.43,31.23,14.75,0.51,65.43,January,Winter,Christmas & New Year,134.38689655172413,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 14:00:00,60.43,132.24,15.54,27.0,14.72,0.51,68.11,January,Winter,Christmas & New Year,121.75677852348994,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
2024-01-02 15:00:00,57.64,121.93,14.97,25.86,13.93,0.49,63.43,January,Winter,Christmas & New Year,114.9065100671141,Moderate,Kolkata,West Bengal,22.5726459,88.3638953
