TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,68.04,136.44,37.47,46.63,6.64,1.11,7.45,January,Winter,Christmas & New Year,125.03310344827588,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 01:00:00,62.89,122.59,32.64,49.66,6.76,1.21,7.35,January,Winter,Christmas & New Year,115.34503355704699,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 02:00:00,54.68,101.18,33.56,45.5,6.95,1.1,7.74,January,Winter,Christmas & New Year,101.11959731543625,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 03:00:00,46.67,84.8,30.06,55.4,6.24,0.95,7.65,January,Winter,Christmas & New Year,84.8,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 04:00:00,45.55,74.23,28.27,51.98,6.02,0.83,8.39,January,Winter,Christmas & New Year,75.58448275862068,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 05:00:00,43.81,64.2,25.58,52.43,6.72,0.86,9.3,January,Winter,Christmas & New Year,72.6444827586207,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 06:00:00,39.4,57.67,27.96,49.17,6.62,0.79,8.68,January,Winter,Christmas & New Year,65.19310344827586,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 07:00:00,36.63,55.04,24.79,51.41,6.22,0.86,9.64,January,Winter,Christmas & New Year,60.51275862068966,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 08:00:00,34.58,54.77,23.51,49.8,6.57,0.83,10.63,January,Winter,Christmas & New Year,57.04896551724138,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 09:00:00,35.26,55.54,24.69,52.64,7.07,0.86,11.45,January,Winter,Christmas & New Year,58.19793103448276,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 10:00:00,37.22,56.84,26.83,50.86,7.29,0.78,14.24,January,Winter,Christmas & New Year,61.509655172413794,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 11:00:00,39.07,58.24,25.73,49.47,7.4,0.83,21.96,January,Winter,Christmas & New Year,64.63551724137932,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 12:00:00,39.7,59.39,24.01,48.4,7.78,0.71,34.99,January,Winter,Christmas & New Year,65.7,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 13:00:00,38.19,65.03,23.47,51.54,8.0,0.65,43.41,January,Winter,Christmas & New Year,65.03,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 14:00:00,39.43,71.0,24.2,48.58,7.17,0.65,49.28,January,Winter,Christmas & New Year,71.0,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 15:00:00,44.02,74.25,25.49,53.34,7.06,0.76,43.06,January,Winter,Christmas & New Year,74.25,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 16:00:00,46.15,81.13,27.47,51.74,6.76,0.76,27.32,January,Winter,Christmas & New Year,81.13,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 17:00:00,49.01,95.2,31.14,56.42,5.64,0.9,17.48,January,Winter,Christmas & New Year,95.2,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 18:00:00,55.4,114.0,33.14,52.59,7.2,0.94,10.89,January,Winter,Christmas & New Year,109.63758389261744,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 19:00:00,67.56,130.77,33.43,53.08,7.91,1.13,8.59,January,Winter,Christmas & New Year,123.3944827586207,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 20:00:00,78.51,142.97,34.3,54.53,7.3,0.98,8.62,January,Winter,Christmas & New Year,160.77551724137933,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 21:00:00,79.44,150.6,36.47,50.41,7.04,1.1,7.8,January,Winter,Christmas & New Year,163.9503448275862,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 22:00:00,78.59,159.7,35.91,48.84,7.39,1.19,7.4,January,Winter,Christmas & New Year,161.0486206896552,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-01 23:00:00,76.74,160.55,35.82,48.68,7.94,1.15,7.95,January,Winter,Christmas & New Year,154.73310344827584,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 00:00:00,69.85,146.14,28.82,52.33,8.05,0.92,9.43,January,Winter,Christmas & New Year,131.21206896551723,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 01:00:00,64.68,130.37,28.64,51.18,7.52,1.03,9.48,January,Winter,Christmas & New Year,120.51429530201342,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 02:00:00,59.72,114.48,28.1,47.74,6.68,1.06,8.28,January,Winter,Christmas & New Year,109.9565100671141,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 03:00:00,55.18,98.29,26.89,51.14,6.91,0.94,9.01,January,Winter,Christmas & New Year,98.29,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 04:00:00,52.65,85.4,28.27,48.42,6.64,0.84,8.46,January,Winter,Christmas & New Year,87.58103448275861,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 05:00:00,49.12,78.38,27.36,49.46,6.52,0.99,7.55,January,Winter,Christmas & New Year,81.61655172413793,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 06:00:00,41.82,73.84,28.6,49.42,6.8,0.98,7.85,January,Winter,Christmas & New Year,73.84,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 07:00:00,37.86,67.28,27.48,48.46,6.9,0.9,9.09,January,Winter,Christmas & New Year,67.28,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 08:00:00,35.94,60.19,26.54,47.56,6.77,0.84,10.5,January,Winter,Christmas & New Year,60.19,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 09:00:00,36.7,63.26,28.3,50.42,6.78,1.09,11.32,January,Winter,Christmas & New Year,63.26,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 10:00:00,42.14,65.26,28.65,49.73,7.12,1.05,18.3,January,Winter,Christmas & New Year,69.82275862068965,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 11:00:00,45.52,69.62,28.27,51.75,7.55,0.93,34.58,January,Winter,Christmas & New Year,75.53379310344829,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 12:00:00,10.25,61.95,31.01,52.17,6.9,0.83,49.82,January,Winter,Christmas & New Year,61.95,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 13:00:00,54.29,89.17,20.23,38.91,2.75,0.92,60.89,January,Winter,Christmas & New Year,90.35206896551725,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 14:00:00,53.96,90.92,20.23,38.91,6.96,0.53,64.02,January,Winter,Christmas & New Year,90.92,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 15:00:00,52.21,92.06,20.23,38.91,6.6,0.68,63.97,January,Winter,Christmas & New Year,92.06,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 16:00:00,51.28,93.06,32.32,48.92,7.63,1.01,38.14,January,Winter,Christmas & New Year,93.06,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 17:00:00,54.91,105.05,32.16,48.47,7.74,1.47,18.42,January,Winter,Christmas & New Year,103.69093959731543,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 18:00:00,63.11,125.84,28.84,49.46,7.7,1.4,15.09,January,Winter,Christmas & New Year,117.50442953020135,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 19:00:00,75.45,152.38,26.96,50.65,7.89,1.64,16.44,January,Winter,Christmas & New Year,150.3293103448276,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 20:00:00,90.12,183.6,31.26,54.42,8.66,1.47,9.27,January,Winter,Christmas & New Year,155.88187919463087,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 21:00:00,106.2,201.49,32.51,48.14,9.23,1.62,8.16,January,Winter,Christmas & New Year,252.8896551724138,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 22:00:00,113.5,201.82,40.5,28.2,8.24,1.8,7.4,January,Winter,Christmas & New Year,277.8103448275862,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-02 23:00:00,112.03,206.25,39.64,35.33,7.97,2.24,7.52,January,Winter,Christmas & New Year,272.7920689655173,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 00:00:00,115.61,216.81,34.1,46.88,8.28,1.55,7.2,January,Winter,Christmas & New Year,285.01344827586206,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 01:00:00,112.32,210.0,30.66,60.2,8.1,0.98,7.42,January,Winter,Christmas & New Year,273.7820689655172,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 02:00:00,98.88,183.06,29.28,62.97,7.23,0.8,7.22,January,Winter,Christmas & New Year,227.90068965517239,Poor,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 03:00:00,86.08,149.67,27.86,48.4,7.54,0.74,7.19,January,Winter,Christmas & New Year,186.61793103448275,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 04:00:00,79.93,121.98,24.4,50.2,8.03,0.62,7.12,January,Winter,Christmas & New Year,165.62310344827588,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 05:00:00,69.45,100.26,29.44,44.05,7.94,0.55,7.24,January,Winter,Christmas & New Year,129.84655172413795,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 06:00:00,61.21,92.68,27.84,49.75,8.7,0.5,7.2,January,Winter,Christmas & New Year,101.71689655172415,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 07:00:00,59.84,90.13,29.54,57.16,9.14,0.62,7.7,January,Winter,Christmas & New Year,99.7296551724138,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 08:00:00,60.14,98.68,35.87,60.55,9.52,0.6,10.22,January,Winter,Christmas & New Year,98.68,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 09:00:00,58.46,106.95,36.43,52.18,9.24,0.53,21.76,January,Winter,Christmas & New Year,104.95335570469798,Moderate,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 10:00:00,49.34,88.36,19.41,53.04,8.52,0.48,47.5,January,Winter,Christmas & New Year,88.36,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 11:00:00,41.04,70.58,18.47,51.55,9.1,0.45,58.47,January,Winter,Christmas & New Year,70.58,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 12:00:00,43.08,64.3,15.35,53.26,9.24,0.36,63.91,January,Winter,Christmas & New Year,71.41103448275862,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 13:00:00,48.56,63.35,14.66,48.74,8.94,0.51,68.84,January,Winter,Christmas & New Year,80.6703448275862,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 14:00:00,41.26,58.11,15.46,47.66,8.4,0.66,67.06,January,Winter,Christmas & New Year,68.33586206896551,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 15:00:00,33.28,51.31,19.2,53.64,7.61,0.56,55.8,January,Winter,Christmas & New Year,55.8,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 16:00:00,31.46,53.27,20.83,54.19,6.76,0.31,43.63,January,Winter,Christmas & New Year,53.27,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 17:00:00,30.91,61.95,20.23,38.91,6.9,0.53,16.44,January,Winter,Christmas & New Year,61.95,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
2024-01-03 18:00:00,30.91,61.95,20.23,38.91,6.9,0.53,16.44,January,Winter,Christmas & New Year,61.95,Satisfactory,Siliguri,West Bengal,26.7164127,88.4309916
